Schema,Tabela,Coluna,Tipo,Anulavel,ChavePrimaria,ChaveEstrangeira,TabelaReferenciada,TamanhoMaximo,Precisao,Escala,Unicode,Unico
auditoria,AlteracaoDeCampo,AlteradoEm,datetime2(3),nao,sim,nao,,,3,,,nao
auditoria,AlteracaoDeCampo,AlteradoPorId,bigint,nao,nao,sim,seguranca.Usuario,,,,,nao
auditoria,AlteracaoDeCampo,Campo,varchar(60),nao,nao,nao,,60,,,nao,nao
auditoria,AlteracaoDeCampo,CorrelacaoId,uniqueidentifier,sim,nao,nao,,,,,,nao
auditoria,AlteracaoDeCampo,EmpresaId,int,nao,nao,sim,organizacao.Empresa,,,,,nao
auditoria,AlteracaoDeCampo,Entidade,varchar(40),nao,nao,nao,,40,,,nao,nao
auditoria,AlteracaoDeCampo,Id,bigint,nao,sim,nao,,,,,,nao
auditoria,AlteracaoDeCampo,RegistroId,bigint,nao,nao,nao,,,,,,nao
auditoria,AlteracaoDeCampo,ValorAnterior,nvarchar(400),sim,nao,nao,,400,,,sim,nao
auditoria,AlteracaoDeCampo,ValorNovo,nvarchar(400),sim,nao,nao,,400,,,sim,nao
auditoria,CampoAuditado,Campo,varchar(60),nao,nao,nao,,60,,,nao,sim
auditoria,CampoAuditado,Entidade,varchar(40),nao,nao,nao,,40,,,nao,sim
auditoria,CampoAuditado,EstaAtivo,bit,nao,nao,nao,,,,,,nao
auditoria,CampoAuditado,Id,int,nao,sim,nao,,,,,,nao
auditoria,CampoAuditado,RetencaoMeses,smallint,nao,nao,nao,,,,,,nao
auditoria,EventoDeAcesso,AgenteUsuario,nvarchar(400),sim,nao,nao,,400,,,sim,nao
auditoria,EventoDeAcesso,Detalhe,nvarchar(1000),sim,nao,nao,,1000,,,sim,nao
auditoria,EventoDeAcesso,EnderecoIp,varchar(45),sim,nao,nao,,45,,,nao,nao
auditoria,EventoDeAcesso,Entidade,varchar(40),sim,nao,nao,,40,,,nao,nao
auditoria,EventoDeAcesso,Id,bigint,nao,sim,nao,,,,,,nao
auditoria,EventoDeAcesso,NomePrincipal,nvarchar(200),sim,nao,nao,,200,,,sim,nao
auditoria,EventoDeAcesso,OcorreuEm,datetime2(3),nao,sim,nao,,,3,,,nao
auditoria,EventoDeAcesso,RegistroId,bigint,sim,nao,nao,,,,,,nao
auditoria,EventoDeAcesso,Tipo,varchar(30),nao,nao,nao,,30,,,nao,nao
auditoria,EventoDeAcesso,UsuarioId,bigint,sim,nao,sim,seguranca.Usuario,,,,,nao
comercial,Alerta,AlteradoEm,datetime2(3),sim,nao,nao,,,3,,,nao
comercial,Alerta,AlteradoPorId,bigint,sim,nao,nao,,,,,,nao
comercial,Alerta,ChavePublica,uniqueidentifier,nao,nao,nao,,,,,,sim
comercial,Alerta,ClienteId,bigint,nao,nao,sim,comercial.Cliente,,,,,nao
comercial,Alerta,CriadoEm,datetime2(3),nao,nao,nao,,,3,,,nao
comercial,Alerta,CriadoPorId,bigint,nao,nao,nao,,,,,,nao
comercial,Alerta,Detalhe,nvarchar(2000),sim,nao,nao,,2000,,,sim,nao
comercial,Alerta,EmpresaId,int,nao,nao,sim,organizacao.Empresa,,,,,nao
comercial,Alerta,EstaAtivo,bit,nao,nao,nao,,,,,,nao
comercial,Alerta,ExcluidoEm,datetime2(3),sim,nao,nao,,,3,,,nao
comercial,Alerta,Id,bigint,nao,sim,nao,,,,,,nao
comercial,Alerta,Severidade,varchar(20),nao,nao,nao,,20,,,nao,nao
comercial,Alerta,Titulo,nvarchar(200),nao,nao,nao,,200,,,sim,nao
comercial,Alerta,Versao,rowversion,sim,nao,nao,,,,,,nao
comercial,Alerta,VigenteAte,date,sim,nao,nao,,,,,,nao
comercial,Alerta,VigenteDe,date,nao,nao,nao,,,,,,nao
comercial,CanalContato,ClienteId,bigint,sim,nao,sim,comercial.Cliente,,,,,nao
comercial,CanalContato,ContatoId,bigint,sim,nao,sim,comercial.Contato,,,,,nao
comercial,CanalContato,CriadoEm,datetime2(3),nao,nao,nao,,,3,,,nao
comercial,CanalContato,EhPrincipal,bit,nao,nao,nao,,,,,,nao
comercial,CanalContato,EhValido,bit,nao,nao,nao,,,,,,nao
comercial,CanalContato,EmpresaId,int,nao,nao,sim,organizacao.Empresa,,,,,nao
comercial,CanalContato,ExcluidoEm,datetime2(3),sim,nao,nao,,,3,,,nao
comercial,CanalContato,Id,bigint,nao,sim,nao,,,,,,nao
comercial,CanalContato,Rotulo,nvarchar(40),sim,nao,nao,,40,,,sim,nao
comercial,CanalContato,Tipo,varchar(20),nao,nao,nao,,20,,,nao,nao
comercial,CanalContato,ValidadoEm,datetime2(3),sim,nao,nao,,,3,,,nao
comercial,CanalContato,Valor,nvarchar(200),nao,nao,nao,,200,,,sim,nao
comercial,CanalContato,ValorNormalizado,varchar(200),nao,nao,nao,,200,,,nao,nao
comercial,Cliente,AlteradoEm,datetime2(3),sim,nao,nao,,,3,,,nao
comercial,Cliente,AlteradoPorId,bigint,sim,nao,nao,,,,,,nao
comercial,Cliente,AtividadeEconomica,varchar(7),sim,nao,nao,,7,,,nao,nao
comercial,Cliente,CatalogoDaOrigemId,int,nao,nao,sim,metadado.CatalogoItem,,,,,nao
comercial,Cliente,CatalogoDoMotivoInativacaoId,int,nao,nao,sim,metadado.CatalogoItem,,,,,nao
comercial,Cliente,ChavePublica,uniqueidentifier,nao,nao,nao,,,,,,sim
comercial,Cliente,ClienteMatrizId,bigint,sim,nao,sim,comercial.Cliente,,,,,nao
comercial,Cliente,CriadoEm,datetime2(3),nao,nao,nao,,,3,,,nao
comercial,Cliente,CriadoPorId,bigint,nao,nao,nao,,,,,,nao
comercial,Cliente,Documento,varchar(14),sim,nao,nao,,14,,,nao,sim
comercial,Cliente,EmpresaId,int,nao,nao,sim,organizacao.Empresa,,,,,sim
comercial,Cliente,ExcluidoEm,datetime2(3),sim,nao,nao,,,3,,,nao
comercial,Cliente,Id,bigint,nao,sim,nao,,,,,,nao
comercial,Cliente,InscricaoEstadual,varchar(20),sim,nao,nao,,20,,,nao,nao
comercial,Cliente,MotivoInativacaoId,int,sim,nao,sim,metadado.CatalogoItem,,,,,nao
comercial,Cliente,NomeFantasia,nvarchar(200),sim,nao,nao,,200,,,sim,nao
comercial,Cliente,NomeRazao,nvarchar(200),nao,nao,nao,,200,,,sim,nao
comercial,Cliente,OrigemId,int,sim,nao,sim,metadado.CatalogoItem,,,,,nao
comercial,Cliente,ProprietarioEquipeId,bigint,sim,nao,sim,seguranca.Equipe,,,,,nao
comercial,Cliente,ProprietarioId,bigint,nao,nao,sim,seguranca.Usuario,,,,,nao
comercial,Cliente,Situacao,varchar(20),nao,nao,nao,,20,,,nao,nao
comercial,Cliente,SituacaoDesde,datetime2(3),nao,nao,nao,,,3,,,nao
comercial,Cliente,TipoDePessoa,varchar(10),nao,nao,nao,,10,,,nao,nao
comercial,Cliente,Versao,rowversion,sim,nao,nao,,,,,,nao
comercial,ClienteCarteira,CarteiraId,bigint,nao,nao,sim,organizacao.Carteira,,,,,sim
comercial,ClienteCarteira,Classe,char(1),nao,nao,nao,,1,,,nao,nao
