"tabela","existe","linhas","colunas","colunas_omitidas","arquivo"
"IV_CodProcesso","True","62","35","","catalogos-bpm/IV_CodProcesso.csv"
"IV_CodPrcEmpr","True","17","2","","catalogos-bpm/IV_CodPrcEmpr.csv"
"IV_CodProcComent","True","1","4","","catalogos-bpm/IV_CodProcComent.csv"
"IV_ProcFase","True","273","5","","catalogos-bpm/IV_ProcFase.csv"
"IV_ProcSt","True","250","4","","catalogos-bpm/IV_ProcSt.csv"
"IV_ProcPersp","True","67","4","","catalogos-bpm/IV_ProcPersp.csv"
"IV_ProcVinc","True","192","6","","catalogos-bpm/IV_ProcVinc.csv"
"IV_ProcAcao","True","740","3","","catalogos-bpm/IV_ProcAcao.csv"
"IV_ProcResultado","True","2161","5","","catalogos-bpm/IV_ProcResultado.csv"
"IV_ObjFlow","True","726","9","","catalogos-bpm/IV_ObjFlow.csv"
"IV_Acao","True","980","37","","catalogos-bpm/IV_Acao.csv"
"IV_AcaoCtrl","True","44","13","","catalogos-bpm/IV_AcaoCtrl.csv"
"IV_AcaoRem","True","266","9","","catalogos-bpm/IV_AcaoRem.csv"
"IV_Resultado","True","4209","63","","catalogos-bpm/IV_Resultado.csv"
"IV_ClasseRes","True","40","5","","catalogos-bpm/IV_ClasseRes.csv"
"IV_Motivo","True","45","4","","catalogos-bpm/IV_Motivo.csv"
"IV_AcaoAuto","True","5958","31","","catalogos-bpm/IV_AcaoAuto.csv"
"IV_AcaoAutoCtrl","True","0","6","","catalogos-bpm/IV_AcaoAutoCtrl.csv"
"IV_ResultadoReq","True","0","6","","catalogos-bpm/IV_ResultadoReq.csv"
"IV_ResParam","True","0","37","","catalogos-bpm/IV_ResParam.csv"
"IV_RetProcRegra","True","0","7","","catalogos-bpm/IV_RetProcRegra.csv"
"IV_Evento","True","132","27","","catalogos-bpm/IV_Evento.csv"
"IV_Distribui","True","620","3","","catalogos-bpm/IV_Distribui.csv"
"IV_Operador","True","941","51","","catalogos-bpm/IV_Operador.csv"
"IV_OpBloq","True","4","8","","catalogos-bpm/IV_OpBloq.csv"
"IV_Formulario","True","176","16","","catalogos-bpm/IV_Formulario.csv"
"IV_Questao","True","2303","19","","catalogos-bpm/IV_Questao.csv"
"IV_QuestaoLista","True","3995","8","","catalogos-bpm/IV_QuestaoLista.csv"
"IV_Atributo","True","10","11","","catalogos-bpm/IV_Atributo.csv"
"IV_AtribLista","True","37","2","","catalogos-bpm/IV_AtribLista.csv"
"IV_Pcte","True","1","3","","catalogos-bpm/IV_Pcte.csv"
"IV_PcteAtrFx","True","22","3","","catalogos-bpm/IV_PcteAtrFx.csv"
"IV_TxtPadrao","True","212","11","","catalogos-bpm/IV_TxtPadrao.csv"
"IV_Propriedade","True","52","70","","catalogos-bpm/IV_Propriedade.csv"
"IV_GlobalPar","True","3403","43","","catalogos-bpm/IV_GlobalPar.csv"
"IV_GlobalParLista","True","197","4","","catalogos-bpm/IV_GlobalParLista.csv"
"IV_GlobalParCtrl","True","48","54","","catalogos-bpm/IV_GlobalParCtrl.csv"
"IV_ListSQL","True","360","5","","catalogos-bpm/IV_ListSQL.csv"
"IV_Campanha","True","179","33","","catalogos-bpm/IV_Campanha.csv"
"IV_ResMsgPapel","True","1338","28","","catalogos-bpm/IV_ResMsgPapel.csv"
"IV_OPTEMAIL","True","21","7","","catalogos-bpm/IV_OPTEMAIL.csv"
"IV_OPTFONE","True","2","7","","catalogos-bpm/IV_OPTFONE.csv"
"GE_EMAILTEMPLATE","True","8","6","","catalogos-bpm/GE_EMAILTEMPLATE.csv"
"GE_EMAILAGD","True","2","13","","catalogos-bpm/GE_EMAILAGD.csv"
"IV_CBRCRITERIOMSG","True","3","6","","catalogos-bpm/IV_CBRCRITERIOMSG.csv"
"IV_CbrCriterio","True","122","26","","catalogos-bpm/IV_CbrCriterio.csv"
"IV_CbrCriterioDef","True","231","16","","catalogos-bpm/IV_CbrCriterioDef.csv"
"IVS_Depto","True","29","29","","catalogos-bpm/IVS_Depto.csv"
"IVS_DeptoEmpr","True","13","5","","catalogos-bpm/IVS_DeptoEmpr.csv"
"IVS_DeptoRes","True","63","7","","catalogos-bpm/IVS_DeptoRes.csv"
"IVS_DEPTOPOT","True","126","8","","catalogos-bpm/IVS_DEPTOPOT.csv"
"IVS_Carteira","True","655","16","","catalogos-bpm/IVS_Carteira.csv"
"IVS_CartDepto","True","206","4","","catalogos-bpm/IVS_CartDepto.csv"
"IVS_CartCid","True","673","4","","catalogos-bpm/IVS_CartCid.csv"
"IVS_Segm","True","8","5","","catalogos-bpm/IVS_Segm.csv"
"IVS_UsrMeta","True","1","13","","catalogos-bpm/IVS_UsrMeta.csv"
"IV_VENDEDOR","True","351","18","","catalogos-bpm/IV_VENDEDOR.csv"
"GE_Sistema","True","11","3","","catalogos-bpm/GE_Sistema.csv"
"GE_Modulo","True","48","8","","catalogos-bpm/GE_Modulo.csv"
"GE_Mod","True","32","9","","catalogos-bpm/GE_Mod.csv"
"GE_AppModulo","True","30","3","","catalogos-bpm/GE_AppModulo.csv"
"GE_Aplicacao","True","184","9","","catalogos-bpm/GE_Aplicacao.csv"
