"referencing_id","esquema_ref","entidade_ref","referenced_id","referenced_class_desc","servidor_ref","banco_ref"
"159196","dbo","IV_CLASSERES","78623323","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_GLOBALPAR","974626515","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_GLOBALPARCTRL","1006626629","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_HISTORICO","1102626971","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_PROCDADO","1646628909","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_PROCESSO","1710629137","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_PROCPRODUTO","1934629935","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_Q$ACOMPANH_VENDA_JDE","98255555","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_Q$ACOMPANHAM_VENDA_IMP","1381736125","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_RESCLASSE","475148738","OBJECT_OR_COLUMN","",""
"159196","dbo","IV_RESULTADO","603149194","OBJECT_OR_COLUMN","",""
"875220","dbo","IV_GLOBALPAR","974626515","OBJECT_OR_COLUMN","",""
"875220","dbo","IV_GLOBALPARCTRL","1006626629","OBJECT_OR_COLUMN","",""
"9923257","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
"9923257","dbo","IV_FORMULARIO","942626401","OBJECT_OR_COLUMN","",""
"9923257","dbo","IV_Q_HORIMETRO_AGREGA","2109406734","OBJECT_OR_COLUMN","",""
"9923257","dbo","IV_QUESTIONARIO","379148396","OBJECT_OR_COLUMN","",""
"10639281","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
"10639281","dbo","IV_FORMULARIO","942626401","OBJECT_OR_COLUMN","",""
"10639281","dbo","IV_Q_VENDA_PERDIDA_FY25","1461072441","OBJECT_OR_COLUMN","",""
"10639281","dbo","IV_QUESTIONARIO","379148396","OBJECT_OR_COLUMN","",""
"16875277","dbo","X_P_IMP_CRM_NF_POS_VENDA","","OBJECT_OR_COLUMN","",""
"16875277","dbo","X_P_IMP_CRM_TITULO","","OBJECT_OR_COLUMN","",""
"26639338","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
"26639338","dbo","IV_FORMULARIO","942626401","OBJECT_OR_COLUMN","",""
"26639338","dbo","IV_Q_VP_SEM_PARTICIPACAO","993594778","OBJECT_OR_COLUMN","",""
"26639338","dbo","IV_QUESTIONARIO","379148396","OBJECT_OR_COLUMN","",""
"27303307","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
"27303307","dbo","IV_FORMULARIO","942626401","OBJECT_OR_COLUMN","",""
"27303307","dbo","IV_Q_AVAL_USADO_ENTRADA","286780229","OBJECT_OR_COLUMN","",""
"27303307","dbo","IV_QUESTIONARIO","379148396","OBJECT_OR_COLUMN","",""
"37627227","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
"37627227","dbo","IV_FORMULARIO","942626401","OBJECT_OR_COLUMN","",""
"37627227","dbo","IV_Q_RECEBIMENTO_FINANC","2137110704","OBJECT_OR_COLUMN","",""
"37627227","dbo","IV_QUESTIONARIO","379148396","OBJECT_OR_COLUMN","",""
"39827354","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
"39827354","dbo","IV_FORMULARIO","942626401","OBJECT_OR_COLUMN","",""
"39827354","dbo","IV_Q_GESTAO_PRODUTO_IMPL","382780571","OBJECT_OR_COLUMN","",""
"39827354","dbo","IV_QUESTIONARIO","379148396","OBJECT_OR_COLUMN","",""
"42639395","dbo","GE_EMPRESA","1301579675","OBJECT_OR_COLUMN","",""
"42639395","dbo","GE_PESSOA","1957582012","OBJECT_OR_COLUMN","",""
