"tabela","coluna","situacao"
"EXT_AGUARDENTREGA","DTAGERACAO","so em PRODUCAO"
"EXT_AGUARDENTREGA","PROCESSO","so em PRODUCAO"
"EXT_AGUARDENTREGA","processodna","so em PRODUCAO"
"EXT_APROVACAO","DTAGERACAO","so em PRODUCAO"
"EXT_APROVACAO","PROCESSO","so em PRODUCAO"
"EXT_APROVACAO","processodna","so em PRODUCAO"
"EXT_CONDPAGTO","DTAGERACAO","so em PRODUCAO"
"EXT_CONDPAGTO","PROCESSO","so em PRODUCAO"
"EXT_CONDPAGTO","processodna","so em PRODUCAO"
"EXT_VEICFAMREF","FAMILIA","so em PRODUCAO"
"EXT_VEICFAMREF","SEQPROPRIEDADE","so em PRODUCAO"
"EXT_VEICREF","CAMPODEST","so em PRODUCAO"
"EXT_VEICREF","CAMPOORIGEM","so em PRODUCAO"
"EXT_VEICREF","SEQPROPRIEDADE","so em PRODUCAO"
"GE_CTRL2","CHKSUM","so em PRODUCAO"
"GE_CTRL2","DA","so em PRODUCAO"
"GE_CTRL2","DA1","so em PRODUCAO"
"GE_CTRL2","DD","so em PRODUCAO"
"GE_CTRL2","K01","so em PRODUCAO"
"GE_CTRL2","N1","so em PRODUCAO"
"GE_CTRLUSR","CHKSUM","so em PRODUCAO"
"GE_CTRLUSR","DATU","so em PRODUCAO"
"GE_CTRLUSR","DGER","so em PRODUCAO"
"GE_CTRLUSR","K01","so em PRODUCAO"
"GE_CTRLUSR","SNVL","so em PRODUCAO"
"GE_CTRLUSR","SPW","so em PRODUCAO"
"GEP_ImportAprovacao","Acao","so em PRODUCAO"
"GEP_ImportAprovacao","Banco","so em PRODUCAO"
"GEP_ImportAprovacao","Coluna","so em PRODUCAO"
"GEP_ImportAprovacao","ColunaIdentific","so em PRODUCAO"
"GEP_ImportAprovacao","Dado","so em PRODUCAO"
"GEP_ImportAprovacao","DadoIdentificador","so em PRODUCAO"
"GEP_ImportAprovacao","Dono","so em PRODUCAO"
"GEP_ImportAprovacao","DtaGeracao","so em PRODUCAO"
"GEP_ImportAprovacao","Origem","so em PRODUCAO"
"GEP_ImportAprovacao","Prioridade","so em PRODUCAO"
"GEP_ImportAprovacao","Processo","so em PRODUCAO"
"GEP_ImportAprovacao","Separador","so em PRODUCAO"
"GEP_ImportAprovacao","Seq","so em PRODUCAO"
"GEP_ImportAprovacao","Status","so em PRODUCAO"
"GEP_ImportAprovacao","Tabela","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Anofabricacao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","AnoModelo","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CanalVenda","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CNPJx","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CodFamilia","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CodModelo","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CODVENDEDOR","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Combustivel","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CorExterna","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","CorInterna","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DigCNPJCPF","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DtaAlteracao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DtaGeracao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DtaImport","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DtaKMAtual","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Dtaprevquitacao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DTAPRIMVENDA","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","DtaProxRevisao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Dtavenda","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","EstadoVenda","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Familia","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Financiador","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","FormaPgto","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Idveicseq","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Idveiculo","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","KMAtual","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","KMProxRevisao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Marca","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Modelo","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","NroChassi","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","NroChassiRed","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","NroCNPJCPF","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","NROCPFVENDEDOR","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","NroEmpresa","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Nronf","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Observacao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Origem","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Pessoalink","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","PessoaLinkOrigem","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Placa","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Potencia","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","QtdeEixo","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Revenda","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Serienf","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","StatusIMP","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","TipoUso","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","TipoVeiculo","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","UsuarioAlteracao","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","Vendedor","so em PRODUCAO"
"IMP_VEICULO_INTEGRADO","VlrVenda","so em PRODUCAO"
"IV_ACAOANEXA","ACAO","so em PRODUCAO"
"IV_ACAOANEXA","ACAOANEXA","so em PRODUCAO"
"IV_ACAOANEXA","DESCRICAO","so em PRODUCAO"
"IV_ACAOANEXA","DESTINATARIO","so em PRODUCAO"
"IV_ACAOANEXA","INDATUALIZA","so em PRODUCAO"
"IV_ACAOANEXA","INDINTERATIVO","so em PRODUCAO"
"IV_ACAOANEXA","INDOBRIGATORIO","so em PRODUCAO"
"IV_ACAOANEXA","INDRECRIA","so em PRODUCAO"
"IV_ACAOANEXA","QTDEDIAS","so em PRODUCAO"
"IV_ACAOANEXA","QTDEHU","so em PRODUCAO"
"IV_ACAOANEXA","SEQACAOANEXA","so em PRODUCAO"
"IV_AGENDAITEM","DTAALTERACAO","so em PRODUCAO"
"IV_AGENDAITEM","ITEM","so em PRODUCAO"
"IV_AGENDAITEM","ORDEM","so em PRODUCAO"
"IV_AGENDAITEM","SEQAGDITEM","so em PRODUCAO"
"IV_AGENDAITEM","SEQAGENDA","so em PRODUCAO"
"IV_AGENDAITEM","STATUS","so em PRODUCAO"
"IV_AGENDAITEM","USUALTEROU","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_JD","CLIENTE_JOHN_DEERE","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_JD","ITEM_TECNOLOGIA","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_JD","OBJETIVO_DEMO","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_JD","POSSUI_JD","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_JD","QTD_PRODUTOS_NEG","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_JD","VALOR_DEMONSTRACAO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","_SINAL","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","BANCO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","BONIFICACAO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","CNPJ_CPF","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","COMISSAO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","CONDICAO_DE_PAGAMENT","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","COTACAO_MODELO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","CPF_PROC_CLIENTE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","CPF_TEST_CLIENTE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","CPF_TEST_CONC","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","DATA_VENCIMENTO_SINA","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","EMAIL_PROC_CLIENTE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","EMAIL_TEST_CLIENTE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","EMAIL_TEST_CONC","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","INSCRICAO_ESTADUAL","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","MARCA_EQUIPAMENTO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","MODELO_DO_PRODUTO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","NOME_PROC_CLIENTE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","NOME_TEST_CLIENTE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","NOME_TEST_CONC","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","PRAZO_DE_ENTREGA","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","PRECO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","QUANTIDADE","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","SALDO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","SEQQUESTIONARIO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","SINAL","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","TIPO_EQUIPAMENTO","so em PRODUCAO"
"IV_Q_PEDIDO_KAM","TIPO_VENDA","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","_SINAL","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","BANCO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","BONIFICACAO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","CNPJ_CPF","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","COMISSAO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","CONDICAO_DE_PAGAMENT","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","COTACAO_MODELO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","DATA_VENCIMENTO_SINA","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","INSCRICAO_ESTADUAL","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","MARCA_EQUIPAMENTO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","MODELO_DO_PRODUTO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","PRAZO_DE_ENTREGA","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","PRECO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","QUANTIDADE","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","SALDO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","SEQQUESTIONARIO","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","SINAL","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","TIPO_DE_VENDA","so em PRODUCAO"
"IV_Q_PEDIDO_SAM","TIPO_EQUIPAMENTO","so em PRODUCAO"
"IV_Q_VENDA","CONSULTOR_1","so em PRODUCAO"
"IV_Q_VENDA","CONSULTOR_2","so em PRODUCAO"
"IV_Q_VENDA","FORMA_DE_PAGAMENTO","so em PRODUCAO"
"IV_Q_VENDA","TIPO_DE_VENDA","so em PRODUCAO"
