"objeto","tipo","situacao","chars_prod","chars_homo"
"BI_AGENDA","VIEW","TEXTO DIFERENTE","2175","0"
"BI_AGENDA_CEN","VIEW","TEXTO DIFERENTE","1219","0"
"BI_AGENDA_PROSPECCAO","VIEW","TEXTO DIFERENTE","5681","0"
"BI_CARTEIRA_EQUIP","VIEW","TEXTO DIFERENTE","1745","0"
"BI_CARTEIRA_MANITOU","VIEW","TEXTO DIFERENTE","1734","0"
"BI_CARTEIRA_PUK","VIEW","so em PRODUCAO","3736",""
"BI_CARTEIRA_USADO","VIEW","TEXTO DIFERENTE","1733","0"
"BI_CARTEIRA_VN","VIEW","TEXTO DIFERENTE","3603","0"
"bi_cobertura","VIEW","TEXTO DIFERENTE","1560","0"
"BI_COBERTURA_PROSPECCAO","VIEW","TEXTO DIFERENTE","8652","0"
"BI_COBERTURA_PROSPECCAO_MAQUINAS","VIEW","TEXTO DIFERENTE","8934","0"
"BI_DEPTO","VIEW","TEXTO DIFERENTE","99","0"
"BI_DTAPROVCREDITO","VIEW","TEXTO DIFERENTE","1661","0"
"BI_EMPRESA","VIEW","TEXTO DIFERENTE","217","0"
"bi_faturamentos","VIEW","TEXTO DIFERENTE","1111","0"
"BI_FROTA","VIEW","TEXTO DIFERENTE","995","0"
"BI_GRUPO_USR","VIEW","TEXTO DIFERENTE","264","0"
"BI_OPORT_ABERTAS","VIEW","TEXTO DIFERENTE","10691","0"
"BI_OPORT_ABERTASRESUMO","VIEW","TEXTO DIFERENTE","10342","0"
"BI_OPORT_FUNIL","VIEW","TEXTO DIFERENTE","2868","0"
"BI_OPORT_FUNIL2","VIEW","TEXTO DIFERENTE","5016","0"
"BI_OPORT_FUNIL2_BKP","VIEW","TEXTO DIFERENTE","3185","0"
"bi_oportunidade","VIEW","TEXTO DIFERENTE","2014","0"
"BI_OPORTUNIDADE_ENC","VIEW","TEXTO DIFERENTE","4869","0"
"bi_oportunidade_produto","VIEW","TEXTO DIFERENTE","1907","0"
"bi_Oportunidades","VIEW","TEXTO DIFERENTE","1511","0"
"BI_ORIGEM_RECEITA","VIEW","TEXTO DIFERENTE","1338","0"
"bi_pedidos","VIEW","TEXTO DIFERENTE","1288","0"
"BI_PESSOA","VIEW","TEXTO DIFERENTE","4435","0"
"BI_PESSOAOP","VIEW","TEXTO DIFERENTE","4737","0"
"BI_PROCESSO_333","SQL_STORED_PROCEDURE","so em PRODUCAO","7120",""
"BI_QUALIDADE","VIEW","TEXTO DIFERENTE","6200","0"
"BI_RELATORIO_PROSPECCAO","SQL_STORED_PROCEDURE","so em PRODUCAO","9999",""
"BI_USUARIO","VIEW","TEXTO DIFERENTE","164","0"
"BI_VENDA_MAQ","VIEW","TEXTO DIFERENTE","12203","0"
"BI_VENDA_MAQ_ENC","VIEW","TEXTO DIFERENTE","12487","0"
"BI_VENDA_MAQ_NEW","VIEW","TEXTO DIFERENTE","1687","0"
"BI_VENDA_PERDIDA","VIEW","TEXTO DIFERENTE","1534","0"
"BI_VENDA_PERDIDA_PROD","VIEW","TEXTO DIFERENTE","3107","0"
"BI_VISITA","VIEW","TEXTO DIFERENTE","2562","0"
