"objeto","tipo","situacao"
"Espaco_Tabelas","TABELA","so em PRODUCAO"
"EXT_VeicAvalFoto","TABELA","so em PRODUCAO"
"EXT_VeicAvalia","TABELA","so em PRODUCAO"
"GE_Membro_BKP20250520","TABELA","so em PRODUCAO"
"GE_Pessoa_BKP28052025","TABELA","so em PRODUCAO"
"GE_Usuario_BKP20250520","TABELA","so em PRODUCAO"
"GEP_IMPORT_GUI","TABELA","so em PRODUCAO"
"IMP_LOGAPROVACAO","TABELA","so em PRODUCAO"
"IMP_REL_TBA101","TABELA","so em PRODUCAO"
"IMP_REL_TBA101_PG2","TABELA","so em PRODUCAO"
"IV_Agenda_bkp20250717","TABELA","so em PRODUCAO"
"IV_Processo_bkp20250717","TABELA","so em PRODUCAO"
"IV_Q_ABERTURA_OS_REVISAO","TABELA","so em PRODUCAO"
"IV_Q_ACOMP_VENDA_FINANC","TABELA","so em PRODUCAO"
"IV_Q_ALTERADO_PAGAMENTO","TABELA","so em PRODUCAO"
"IV_Q_ATUALIZACAO_PUK","TABELA","so em PRODUCAO"
"IV_Q_CANCEL_RENOVACAO_SEG","TABELA","so em PRODUCAO"
"IV_Q_CANHOTO_DIGITAL","TABELA","so em PRODUCAO"
"IV_Q_COM_INTERESSE_FUTURO","TABELA","so em PRODUCAO"
"IV_Q_CONDICOES_DE_VENDAS","TABELA","so em PRODUCAO"
"IV_Q_COTA_CONSORCIO","TABELA","so em PRODUCAO"
"IV_Q_DEMO_EQUIP_JD","TABELA","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_LOG","TABELA","so em PRODUCAO"
"IV_Q_DEMONSTRACAO_NF","TABELA","so em PRODUCAO"
"IV_Q_DEVOLUCAO_PUK","TABELA","so em PRODUCAO"
"IV_Q_LIBERAR_DEMONSTRACAO","TABELA","so em PRODUCAO"
"IV_Q_LICENCAS_PUK","TABELA","so em PRODUCAO"
"IV_Q_PEDIDO_GC","TABELA","so em PRODUCAO"
"IV_Q_PERCEPCAO_JD","TABELA","so em PRODUCAO"
"IV_Q_PESQUISA_NPS","TABELA","so em PRODUCAO"
"IV_Q_PRODUTO_RD","TABELA","so em PRODUCAO"
"IV_Q_RECEBIMENTO_A_PRAZO","TABELA","so em PRODUCAO"
"IV_Q_REVISAO_100H","TABELA","so em PRODUCAO"
"IV_Q_REVISAO_1100_1150H","TABELA","so em PRODUCAO"
"IV_Q_REVISAO_1500H","TABELA","so em PRODUCAO"
"IV_Q_REVISAO_450_600H","TABELA","so em PRODUCAO"
"IV_Q_REVISAO_800H","TABELA","so em PRODUCAO"
"IV_Q_REVISAO_FIM_GARANTIA","TABELA","so em PRODUCAO"
"IV_Q_SEPARACAO_PEDIDO","TABELA","so em PRODUCAO"
"IV_Q_VENDA_DIRETA","TABELA","so em PRODUCAO"
"IV_Q_VENDA_MAQUINA_FY25","TABELA","so em PRODUCAO"
"IV_Q_VENDA_PERDIDA_FY25","TABELA","so em PRODUCAO"
"IV_Q_VENDA_PNEUS","TABELA","so em PRODUCAO"
"IV_Q_VENDA_VP_PNEUS","TABELA","so em PRODUCAO"
"IV_Q_VP_COLHEDORA","TABELA","so em PRODUCAO"
"IV_Q_VP_COLHEITADEIRA","TABELA","so em PRODUCAO"
"IV_Q_VP_PLANTADEIRA","TABELA","so em PRODUCAO"
"IV_Q_VP_PULVERIZADOR","TABELA","so em PRODUCAO"
"IV_Q_VP_SEM_PARTICIPACAO","TABELA","so em PRODUCAO"
"IV_Q_VP_TRATOR","TABELA","so em PRODUCAO"
"IVS_PES_NELSON","TABELA","so em PRODUCAO"
"EXT_CLIENTEPROPR","TABELA","so em HOMOLOGACAO"
"EXT_Titulo_BKP_20_03_2023","TABELA","so em HOMOLOGACAO"
"GE_LINK","TABELA","so em HOMOLOGACAO"
"GE_PESSOA_SALVACOD","TABELA","so em HOMOLOGACAO"
"GE_PESSOALINK_bkp_17_06_2023","TABELA","so em HOMOLOGACAO"
"IMP_CLIENTEPROPR","TABELA","so em HOMOLOGACAO"
"IMP_COMANDO","TABELA","so em HOMOLOGACAO"
"IMP_NFSFROM_BKP_15_09_2023","TABELA","so em HOMOLOGACAO"
"IMP_NFSItem_BKP_15_09_2023","TABELA","so em HOMOLOGACAO"
"IV_ClientePropr_BKP20220323","TABELA","so em HOMOLOGACAO"
"IV_PROCDEVOLUCAO","TABELA","so em HOMOLOGACAO"
"IV_Processo_bkp20230314","TABELA","so em HOMOLOGACAO"
"IV_ProcProduto_bkp20250521","TABELA","so em HOMOLOGACAO"
"IV_Q_GESTAO_CREDITO_AMS_bkp20230331","TABELA","so em HOMOLOGACAO"
"IV_Q_GESTAO_PRODUTO___AMS_bkp20230331","TABELA","so em HOMOLOGACAO"
"IV_Questao_bkp20230331","TABELA","so em HOMOLOGACAO"
"IV_WHATSAPPSENT","TABELA","so em HOMOLOGACAO"
