"tabela","coluna","motivo"
"EXT_EMAIL","INDEMUSO","tabela vazia"
"EXT_EMAIL","INDPREFERENCIAL","tabela vazia"
"EXT_EMAIL","INDUSOMKT","tabela vazia"
"EXT_EMAIL","INDUSOPESSOAL","tabela vazia"
"EXT_EMAIL","STATUSIMP","tabela vazia"
"EXT_Pedido","AtivoReceptivo","tabela vazia"
"EXT_Pedido","Status","tabela vazia"
"EXT_Pedido","IndEstRservado","tabela vazia"
"EXT_Pedido","IndEnvioERP","tabela vazia"
"EXT_Pedido","ExigeAssinatura","tabela vazia"
"EXT_Pedido","EntradaSaida","tabela vazia"
"EXT_Pedido","TipoEntrega","tabela vazia"
"EXT_Pedido","TipoFrete","tabela vazia"
"EXT_Pedido","STATUSCMPL","tabela vazia"
"EXT_PedidoItem","IndEstRservado","tabela vazia"
"EXT_PedidoItem","Status","tabela vazia"
"EXT_PedidoItem","IndSugestao","tabela vazia"
"EXT_Pessoa","TipoLogradouro","mais de 30 valores distintos"
"EXT_Pessoa_bkpago22","Status","tabela de backup/teste"
"EXT_Pessoa_bkpago22","FisicaJuridica","tabela de backup/teste"
"EXT_Pessoa_bkpago22","SEXO","tabela de backup/teste"
"EXT_Pessoa_bkpago22","UF","tabela de backup/teste"
"EXT_Pessoa_bkpago22","TipoLogradouro","tabela de backup/teste"
"EXT_Pessoa_bkpago22","UFEmissor","tabela de backup/teste"
"EXT_Pessoa_bkpago22","StatusIMP","tabela de backup/teste"
"EXT_Pessoa_bkpago22","CLASSES","tabela de backup/teste"
"EXT_Pessoa_bkpago22","SITUACAOCREDITO","tabela de backup/teste"
"EXT_Pessoa_bkpago22","STATUSSINTEGRA","tabela de backup/teste"
"EXT_PESSOACONTATO","SEXO","tabela vazia"
"EXT_PESSOACONTATO","TIPOCONTATO","tabela vazia"
"EXT_PESSOACONTATO","STATUSIMPSP","tabela vazia"
"EXT_PESSOACONTATO","STATUSIMP","tabela vazia"
"EXT_PESSOACONTATO","INDWHATSAPPF1","tabela vazia"
"EXT_PESSOACONTATO","INDWHATSAPPF2","tabela vazia"
"EXT_PESSOAFONE","OPERACAO","tabela vazia"
"EXT_PESSOAFONE","TIPOFONE","tabela vazia"
"EXT_PESSOAFONE","INDUSOMKT","tabela vazia"
"EXT_PESSOAFONE","INDFONEPREF","tabela vazia"
"EXT_PESSOAFONE","INDEMUSO","tabela vazia"
"EXT_PESSOAFONE","INDWHATSAPP","tabela vazia"
"EXT_PESSOAFONE","STATUSIMP","tabela vazia"
"EXT_Titulo_bkp_11_04","TipoCobranca","tabela de backup/teste"
"EXT_Titulo_bkp_11_04","IndAtivo","tabela de backup/teste"
"EXT_Titulo_bkp_11_04","IndQuitado","tabela de backup/teste"
"EXT_Titulo_bkp_11_04","IndCobrJuridica","tabela de backup/teste"
"EXT_Titulo_bkp_11_04","Status","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023","TipoCobranca","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023","IndAtivo","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023","IndQuitado","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023","IndCobrJuridica","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023","Status","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","TipoCobranca","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","IndAtivo","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","IndQuitado","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","IndCobrJuridica","tabela de backup/teste"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","Status","tabela de backup/teste"
"EXT_VeicAgd","IndDtaAgendaConf","tabela vazia"
"EXT_VeicAgd","StatusFinal","tabela vazia"
"EXT_VeicAgd","IndAgdAvulso","tabela vazia"
"EXT_VeicAgd","Gerador","tabela vazia"
"EXT_VEICAGDERP","TIPOAGD","tabela vazia"
"EXT_VEICAGDERP","INDEMABERTO","tabela vazia"
"EXT_VeicAvalia","Status","tabela vazia"
"EXT_VeicPlanoMnFX","Gerador","tabela vazia"
"GE_CampoExig","Tipo","tabela vazia"
"GE_CFinConj","OcpFoneDDD","tabela vazia"
"GE_CFinConj","OcpUF","tabela vazia"
"GE_CFinFis","Situacao","tabela vazia"
"GE_CFinFis","OcpFoneDDD","tabela vazia"
"GE_CFinFis","OcpUF","tabela vazia"
"GE_CFinFis","OcpAFoneDDD","tabela vazia"
"GE_CFinFis","TipDocExigido","tabela vazia"
"GE_CFinFis","OcpFisicaJuridica","tabela vazia"
"GE_CFinRPes","TipoRelacSeqPar","tabela vazia"
"GE_CFinRPes","Fone1DDD","tabela vazia"
"GE_CFinRPes","Fone2DDD","tabela vazia"
"GE_Cidade","Uf","mais de 30 valores distintos"
"GE_Cidade_BKPJUN","Uf","tabela de backup/teste"
"GE_Cidade_BKPJUN","ExgBairro","tabela de backup/teste"
"GE_Cidade_BKPJUN","ExgLogradouro","tabela de backup/teste"
"GE_Cidade_BKPJUN","INDDESCARTADDD","tabela de backup/teste"
"GE_CONSVAR","TIPODADO","tabela vazia"
"GE_Contato","TipoContato","mais de 30 valores distintos"
"GE_Contato_BKPJUN","TipoContato","tabela de backup/teste"
"GE_Contato_BKPJUN","Sexo","tabela de backup/teste"
"GE_Contato_BKPJUN","EstadoCivil","tabela de backup/teste"
"GE_Contato_BKPJUN","NivelDecisao","tabela de backup/teste"
"GE_Contato_BKPJUN","Posicionamento","tabela de backup/teste"
"GE_Contato_BKPJUN","INDWHATSAPPF1","tabela de backup/teste"
"GE_Contato_BKPJUN","INDWHATSAPPF2","tabela de backup/teste"
"GE_Contato_BKPJUN","INDWHATSAPPFX","tabela de backup/teste"
"GE_Contato_ITA","TipoContato","tabela de backup/teste"
"GE_Contato_ITA","Sexo","tabela de backup/teste"
"GE_Contato_ITA","EstadoCivil","tabela de backup/teste"
"GE_Contato_ITA","NivelDecisao","tabela de backup/teste"
"GE_Contato_ITA","Posicionamento","tabela de backup/teste"
"GE_Contato_ITA","INDWHATSAPPF1","tabela de backup/teste"
"GE_Contato_ITA","INDWHATSAPPF2","tabela de backup/teste"
"GE_Contato_ITA","INDWHATSAPPFX","tabela de backup/teste"
"GE_CONTATOAPP","INDATIVO","tabela vazia"
"GE_CTRLMU","INDATIVO","tabela vazia"
"GE_CTRLMU","INDTEMPORARIO","tabela vazia"
"GE_FCadConj","OcpTipo","tabela vazia"
"GE_FCadConj","OcpUF","tabela vazia"
"GE_FCadConj","Ocp2UF","tabela vazia"
"GE_FCadF","Situacao","tabela vazia"
"GE_FCadF","OcpTipo","tabela vazia"
"GE_FCadF","OcpUF","tabela vazia"
"GE_FCadF","Ocp2UF","tabela vazia"
"GE_FCadF","MorTipo","tabela vazia"
"GE_FCadInstCred","TipoFcad","tabela vazia"
"GE_FCadInstCred","PendCheque","tabela vazia"
"GE_FCadInstCred","Protesto","tabela vazia"
"GE_FCadInstCred","Acao","tabela vazia"
"GE_FCadInstCred","Pontual","tabela vazia"
"GE_FcadRBanc","TipoFcad","tabela vazia"
"GE_FcadRCom","TipoFcad","tabela vazia"
"GE_FcadRCom","TipoRef","tabela vazia"
"GE_FcadRCom","CnfPontual","tabela vazia"
"GE_FCadRPes","UF","tabela vazia"
"GE_FCadRPes","IndAssinaEmpr","tabela vazia"
"GE_FCadRPes","EstadoCivil","tabela vazia"
"GE_FERIADO","INDFIXO","tabela vazia"
"GE_FERIADO","TIPO","tabela vazia"
"GE_Grafico","Tipo","tabela vazia"
"GE_IntCtrl","Tipo","tabela vazia"
"GE_IntCtrl","Ind1","tabela vazia"
"GE_IntCtrl","Ind2","tabela vazia"
"GE_LOG_CARTCRED","NIVEL","tabela vazia"
"GE_LogAtividade","Tipo","tabela vazia"
"GE_Membro_BKP20250520","INDATIVO","tabela de backup/teste"
"GE_Pessoa","Uf","mais de 30 valores distintos"
"GE_Pessoa","TipoLogradouro","mais de 30 valores distintos"
"GE_Pessoa","UFEmissor","mais de 30 valores distintos"
"GE_Pessoa_BKP28052025","Status","tabela de backup/teste"
"GE_Pessoa_BKP28052025","FisicaJuridica","tabela de backup/teste"
"GE_Pessoa_BKP28052025","Sexo","tabela de backup/teste"
"GE_Pessoa_BKP28052025","Uf","tabela de backup/teste"
"GE_Pessoa_BKP28052025","TipoLogradouro","tabela de backup/teste"
"GE_Pessoa_BKP28052025","UFEmissor","tabela de backup/teste"
"GE_Pessoa_BKP28052025","IndContribICMS","tabela de backup/teste"
"GE_Pessoa_BKPJUN","Status","tabela de backup/teste"
"GE_Pessoa_BKPJUN","FisicaJuridica","tabela de backup/teste"
"GE_Pessoa_BKPJUN","Sexo","tabela de backup/teste"
"GE_Pessoa_BKPJUN","Uf","tabela de backup/teste"
"GE_Pessoa_BKPJUN","TipoLogradouro","tabela de backup/teste"
"GE_Pessoa_BKPJUN","UFEmissor","tabela de backup/teste"
"GE_Pessoa_BKPJUN","IndContribICMS","tabela de backup/teste"
"GE_Pessoa_ITA","Status","tabela de backup/teste"
"GE_Pessoa_ITA","FisicaJuridica","tabela de backup/teste"
"GE_Pessoa_ITA","Sexo","tabela de backup/teste"
"GE_Pessoa_ITA","Uf","tabela de backup/teste"
"GE_Pessoa_ITA","TipoLogradouro","tabela de backup/teste"
"GE_Pessoa_ITA","UFEmissor","tabela de backup/teste"
"GE_Pessoa_ITA","IndContribICMS","tabela de backup/teste"
"GE_PessoaAlt","Status","tabela vazia"
"GE_PessoaAlt","FisicaJuridica","tabela vazia"
"GE_PessoaAlt","SEXO","tabela vazia"
"GE_PessoaAlt","UF","tabela vazia"
"GE_PessoaAlt","TipoLogradouro","tabela vazia"
"GE_PessoaAlt","UFEmissor","tabela vazia"
"GE_PessoaAlt","IndContribICMS","tabela vazia"
"GE_PessoaDel","Status","tabela vazia"
"GE_PessoaDel","FisicaJuridica","tabela vazia"
"GE_PessoaDel","SEXO","tabela vazia"
"GE_PessoaDel","UF","tabela vazia"
"GE_PessoaDel","TipoLogradouro","tabela vazia"
"GE_PessoaDel","UFEmissor","tabela vazia"
"GE_PessoaDel","IndContribICMS","tabela vazia"
"GE_PessoaDestino","IndEnvia","tabela vazia"
"GE_PessoaEnd","TipoLogradouro","mais de 30 valores distintos"
"GE_PessoaEnd_BKPJUN","TipoEndereco","tabela de backup/teste"
"GE_PessoaEnd_BKPJUN","Uf","tabela de backup/teste"
"GE_PessoaEnd_BKPJUN","TipoLogradouro","tabela de backup/teste"
"GE_PessoaEnd_ITA","TipoEndereco","tabela de backup/teste"
"GE_PessoaEnd_ITA","Uf","tabela de backup/teste"
"GE_PessoaEnd_ITA","TipoLogradouro","tabela de backup/teste"
"GE_PessoaEndAlt","TipoLogradouro","tabela vazia"
"GE_PessoaFone_BKPJUN","TipoFoneSeqPar","tabela de backup/teste"
"GE_PessoaFone_BKPJUN","IndFonePref","tabela de backup/teste"
"GE_PessoaFone_BKPJUN","INDEMUSO","tabela de backup/teste"
"GE_PessoaFone_BKPJUN","INDUSOMKT","tabela de backup/teste"
"GE_PessoaFone_BKPJUN","INDWHATSAPP","tabela de backup/teste"
"GE_PessoaFone_ITA","TipoFoneSeqPar","tabela de backup/teste"
"GE_PessoaFone_ITA","IndFonePref","tabela de backup/teste"
