"object_id","esquema","tabela","prefixo","qtd_colunas","qtd_indices","tem_pk","qtd_fks","create_date","modify_date"
"736161818","dbo","andre","OUTRAS","1","0","False","0","2019-08-15","2019-08-15"
"1785213560","dbo","CBR_CLIENTECONTA","CBR","7","2","True","0","2020-11-16","2020-11-16"
"1203639481","dbo","CLARITY_BINA","CLARITY","5","1","False","0","2019-02-05","2019-02-05"
"1576496795","dbo","CONTAS","OUTRAS","8","3","False","0","2017-07-21","2017-07-21"
"1672497137","dbo","CONTAS2","OUTRAS","7","0","False","0","2017-07-21","2017-07-21"
"565577053","dbo","DMN_Doc","DMN","17","3","True","0","2011-12-19","2025-02-17"
"597577167","dbo","DMN_DocArq","DMN","5","2","True","1","2011-12-19","2018-08-14"
"629577281","dbo","DMN_DocHst","DMN","6","3","True","0","2011-12-19","2018-08-14"
"887010241","dbo","DMN_DocObs","DMN","2","2","True","1","2011-12-20","2018-08-14"
"661577395","dbo","DMN_DocPes","DMN","4","4","True","3","2011-12-19","2018-08-14"
"967010526","dbo","DMN_DocProj","DMN","4","4","True","2","2011-12-20","2018-08-14"
"999010640","dbo","DMN_DocProp","DMN","4","4","True","2","2011-12-20","2018-08-14"
"693577509","dbo","DMN_DocTp","DMN","24","2","True","0","2011-12-19","2025-02-17"
"725577623","dbo","DMN_DocVrs","DMN","7","3","True","1","2011-12-19","2018-08-14"
"2073058421","dbo","DUAL","OUTRAS","1","0","False","0","2011-12-19","2011-12-19"
"2120550788","dbo","Espaco_Tabelas","Espaco","6","0","False","0","2025-06-09","2025-06-09"
"1633597058","dbo","EXT_AGUARDENTREGA","EXT","3","0","False","0","2025-09-16","2025-09-16"
"517069078","dbo","EXT_APROVACAO","EXT","3","1","True","0","2025-06-27","2025-07-15"
"1617597001","dbo","EXT_CONDPAGTO","EXT","3","0","False","0","2025-09-16","2025-09-16"
"110063578","dbo","EXT_EMAIL","EXT","15","4","True","3","2018-03-06","2020-07-14"
"431444711","dbo","EXT_FormaPgto","EXT","6","2","True","1","2017-02-03","2018-08-14"
"463444825","dbo","EXT_NFS","EXT","39","12","True","8","2017-02-03","2023-10-04"
"495444939","dbo","EXT_NFSCmpl","EXT","5","2","True","1","2017-02-03","2018-08-14"
"527445053","dbo","EXT_NFSItem","EXT","27","5","True","5","2017-02-03","2023-03-23"
"1861685780","dbo","EXT_NFSOper","EXT","9","3","True","0","2017-01-02","2018-08-14"
"1893685894","dbo","EXT_NFSOperEmp","EXT","3","3","True","1","2017-01-02","2018-08-14"
"591445281","dbo","EXT_OS","EXT","40","6","True","3","2017-02-03","2021-08-02"
"1685737208","dbo","EXT_OSITEM","EXT","15","3","True","0","2021-08-02","2023-03-23"
"655445509","dbo","EXT_OSSolic","EXT","6","2","True","1","2017-02-03","2019-02-05"
"687445623","dbo","EXT_Pedido","EXT","57","9","True","4","2017-02-03","2023-06-05"
"719445737","dbo","EXT_PedidoItem","EXT","22","4","True","4","2017-02-03","2018-08-14"
"751445851","dbo","EXT_Pessoa","EXT","77","5","True","2","2017-02-03","2025-02-17"
"507305017","dbo","EXT_Pessoa_bkpago22","EXT","77","0","False","0","2022-08-11","2022-08-11"
"142063692","dbo","EXT_PESSOACONTATO","EXT","29","3","True","0","2018-03-06","2023-06-05"
"1680165181","dbo","EXT_PESSOAFONE","EXT","20","1","True","0","2019-12-19","2019-12-19"
"695113667","dbo","EXT_Pot_Pecas","EXT","13","1","True","0","2018-09-10","2018-09-10"
"783445965","dbo","EXT_Produto","EXT","27","4","True","0","2017-02-03","2023-03-23"
"599113325","dbo","EXT_TIT_ACRESC","EXT","2","2","True","0","2018-09-10","2018-09-10"
"815446079","dbo","EXT_Titulo","EXT","37","7","True","3","2017-02-03","2023-03-23"
"839830204","dbo","EXT_Titulo_bkp_11_04","EXT","37","0","False","0","2023-04-11","2023-04-11"
"487828950","dbo","EXT_Titulo_BKP_22_03_2023","EXT","37","0","False","0","2023-03-22","2023-03-22"
"535829121","dbo","EXT_Titulo_BKP_22_03_2023_BAIXADOS","EXT","37","0","False","0","2023-03-22","2023-03-22"
"847446193","dbo","EXT_TituloCmpl","EXT","2","1","True","1","2017-02-03","2018-08-14"
"879446307","dbo","EXT_TituloMov","EXT","9","3","True","1","2017-02-03","2023-03-23"
"911446421","dbo","EXT_Veic","EXT","28","8","True","8","2017-02-03","2019-02-05"
"943446535","dbo","EXT_VeicAgd","EXT","28","10","True","3","2017-02-03","2018-08-14"
"1451972349","dbo","EXT_VEICAGDERP","EXT","12","2","True","1","2017-04-18","2018-08-14"
"975446649","dbo","EXT_VeicAvalFoto","EXT","3","3","True","1","2017-02-03","2018-08-14"
"1007446763","dbo","EXT_VeicAvalia","EXT","31","8","True","2","2017-02-03","2018-08-14"
"343776382","dbo","EXT_VeicFam","EXT","6","3","True","18","2017-01-17","2021-07-30"
"110115633","dbo","EXT_VEICFAMREF","EXT","2","0","False","0","2025-10-29","2025-10-29"
"1055446934","dbo","EXT_VeicKM","EXT","11","5","True","5","2017-02-03","2019-02-05"
"407776610","dbo","EXT_VeicMarca","EXT","5","4","True","10","2017-01-17","2018-08-14"
"1103447105","dbo","EXT_VeicMarcaEmp","EXT","4","5","True","1","2017-02-03","2018-08-14"
"1135447219","dbo","EXT_VeicModelo","EXT","5","2","True","2","2017-02-03","2023-03-23"
"1167447333","dbo","EXT_VeicModPlano","EXT","2","4","True","4","2017-02-03","2023-03-23"
"535777066","dbo","EXT_VeicPlanoMan","EXT","4","3","True","9","2017-01-17","2023-03-23"
"1215447504","dbo","EXT_VeicPlanoMnFX","EXT","7","5","True","1","2017-02-03","2018-08-14"
"1263447675","dbo","EXT_VeicProp","EXT","24","5","True","4","2017-02-03","2018-08-14"
"126115690","dbo","EXT_VEICREF","EXT","3","0","False","0","2025-10-29","2025-10-29"
"647777465","dbo","EXT_VeicTipoMan","EXT","8","2","True","0","2017-01-17","2018-08-14"
"1311447846","dbo","EXT_Vendedor","EXT","6","4","True","0","2017-02-03","2019-02-05"
"1885301826","dbo","GE_Alias","GE","9","2","True","0","2014-09-15","2018-08-15"
"789577851","dbo","GE_Aplicacao","GE","9","4","True","1","2011-12-19","2025-02-17"
"821577965","dbo","GE_AppModulo","GE","3","2","True","0","2011-12-19","2018-08-14"
"853578079","dbo","GE_AtributoFixo","GE","9","4","True","0","2011-12-19","2018-08-14"
"885578193","dbo","GE_Bairro","GE","3","3","True","1","2011-12-19","2019-02-05"
"713105631","dbo","GE_CampoExig","GE","7","3","True","1","2012-04-13","2018-08-14"
"1866593838","dbo","GE_CampoMemo","GE","4","3","True","1","2018-08-15","2018-08-15"
"1914594009","dbo","GE_CampoPerm","GE","7","3","True","1","2018-08-15","2018-08-15"
"1901301883","dbo","GE_CFinConj","GE","22","1","False","0","2014-09-15","2018-08-14"
"1917301940","dbo","GE_CFinDocto","GE","7","4","False","0","2014-09-15","2018-08-14"
"1933301997","dbo","GE_CFinFis","GE","51","2","False","0","2014-09-15","2018-08-14"
"1949302054","dbo","GE_CFinRPes","GE","12","2","False","0","2014-09-15","2018-08-14"
"1799781569","dbo","GE_Cidade","GE","19","2","True","0","2017-01-22","2019-02-05"
"1193927475","dbo","GE_Cidade_BKPJUN","GE","19","0","False","0","2024-12-26","2024-12-26"
"949578421","dbo","GE_Cidade_CRM","GE","18","2","True","0","2011-12-19","2018-08-14"
"981578535","dbo","GE_CIdadePref","GE","3","3","True","1","2011-12-19","2018-08-14"
"1833825645","dbo","GE_Col","GE","6","3","True","2","2014-09-15","2018-08-14"
"1013578649","dbo","GE_ColPosition","GE","5","3","True","0","2011-12-19","2018-08-14"
"1865825759","dbo","GE_ColRegra","GE","8","5","True","1","2014-09-15","2018-08-14"
"62011352","dbo","GE_CONSHST","GE","5","2","True","1","2016-07-12","2018-08-14"
"94011466","dbo","GE_CONSSQL","GE","10","3","True","1","2016-07-12","2025-02-17"
"1045578763","dbo","GE_Consulta","GE","29","4","True","0","2011-12-19","2018-08-14"
"1077578877","dbo","GE_ConsultaVar","GE","10","3","True","1","2011-12-19","2018-08-14"
"126011580","dbo","GE_CONSVAR","GE","10","3","True","1","2016-07-12","2018-08-14"
"158011694","dbo","GE_CONSVARLST","GE","3","2","True","1","2016-07-12","2018-08-14"
"1109578991","dbo","GE_Contato","GE","41","6","True","0","2011-12-19","2023-06-05"
"1209927532","dbo","GE_Contato_BKPJUN","GE","41","0","False","0","2024-12-26","2024-12-26"
"1369928102","dbo","GE_Contato_ITA","GE","41","0","False","0","2024-12-26","2024-12-26"
"1219639538","dbo","GE_CONTATOAPP","GE","12","3","True","0","2019-02-05","2019-12-19"
"425820629","dbo","GE_ContatoEmail","GE","5","1","False","0","2014-09-15","2018-08-14"
"1141579105","dbo","GE_ContatoPapel","GE","5","3","True","0","2011-12-19","2018-08-14"
"1161927361","dbo","GE_ContatoPapel_BKPJUN","GE","5","0","False","0","2024-12-26","2024-12-26"
"1353928045","dbo","GE_ContatoPapel_ITA","GE","5","0","False","0","2024-12-26","2024-12-26"
"1890977963","dbo","GE_CTRL2","GE","6","1","True","0","2025-02-17","2025-02-17"
"1173579219","dbo","GE_CtrlE","GE","9","2","True","0","2011-12-19","2025-02-17"
"1205579333","dbo","GE_CtrlM","GE","11","2","True","0","2011-12-19","2025-02-17"
"1237579447","dbo","GE_CtrlME","GE","6","2","True","0","2011-12-19","2025-02-17"
"1091639082","dbo","GE_CTRLMU","GE","6","2","False","0","2019-02-05","2025-02-17"
"1922978077","dbo","GE_CTRLUSR","GE","6","1","True","0","2025-02-17","2025-02-17"
"1269579561","dbo","GE_DiaNaoUtil","GE","5","2","True","0","2011-12-19","2018-08-14"
"441820686","dbo","GE_Email","GE","16","3","True","0","2014-09-15","2021-06-16"
"190011808","dbo","GE_EMAILAGD","GE","13","4","True","2","2016-07-12","2024-12-17"
"206063920","dbo","GE_EMAILINVALIDO","GE","3","1","True","0","2018-03-06","2018-08-14"
"457820743","dbo","GE_EmailSpam","GE","4","3","True","0","2014-09-15","2019-02-05"
"222011922","dbo","GE_EMAILTEMPLATE","GE","6","2","True","0","2016-07-12","2019-02-05"
"1301579675","dbo","GE_Empresa","GE","33","3","True","0","2011-12-19","2018-08-14"
"1333579789","dbo","GE_FCadConj","GE","43","2","True","1","2011-12-19","2018-08-14"
"1365579903","dbo","GE_FCadF","GE","97","4","True","2","2011-12-19","2018-08-14"
"1397580017","dbo","GE_FCadInstCred","GE","13","4","True","1","2011-12-19","2018-08-14"
"1429580131","dbo","GE_FcadRBanc","GE","18","4","True","1","2011-12-19","2018-08-14"
"1461580245","dbo","GE_FcadRCom","GE","20","4","True","2","2011-12-19","2018-08-14"
"1493580359","dbo","GE_FCadRPes","GE","33","3","True","1","2011-12-19","2018-08-14"
"243636061","dbo","GE_FERIADO","GE","7","2","True","0","2019-02-05","2019-02-05"
"1525580473","dbo","GE_Figura","GE","8","2","True","0","2011-12-19","2025-02-17"
"595637315","dbo","GE_FONEINVALIDO","GE","3","1","True","0","2019-02-05","2019-02-05"
"1435204213","dbo","GE_Grafico","GE","26","1","False","0","2013-12-20","2018-08-14"
"1557580587","dbo","GE_Help","GE","3","2","True","1","2011-12-19","2018-08-14"
"1777545516","dbo","GE_IMPORTA_CART","GE","52","0","False","0","2018-02-02","2018-02-02"
"1589580701","dbo","GE_IntCtrl","GE","14","2","True","0","2011-12-19","2018-08-14"
"1605580758","dbo","GE_LgTb","GE","10","5","True","0","2011-12-19","2023-03-23"
"1655833111","dbo","GE_LOG_CARTCRED","GE","10","5","True","0","2023-06-05","2025-02-17"
"1687833225","dbo","GE_LOG_CONFIG","GE","10","5","True","0","2023-06-05","2025-02-17"
"1719833339","dbo","GE_LOG_CONTATO","GE","10","5","True","0","2023-06-05","2025-02-17"
"1751833453","dbo","GE_LOG_EXT","GE","10","5","True","0","2023-06-05","2025-02-17"
"1783833567","dbo","GE_LOG_HISTORICO","GE","10","5","True","0","2023-06-05","2025-02-17"
"1815833681","dbo","GE_LOG_PESSOA","GE","10","5","True","0","2023-06-05","2025-02-17"
"1847833795","dbo","GE_LOG_PROCESSO","GE","10","5","True","0","2023-06-05","2025-02-17"
"1879833909","dbo","GE_LOG_TRANS","GE","10","5","True","0","2023-06-05","2025-02-17"
"1637580872","dbo","GE_Log2","GE","14","5","True","0","2011-12-19","2025-02-17"
"638013404","dbo","GE_LogAtividade","GE","10","2","True","0","2016-07-12","2018-08-14"
"1669580986","dbo","GE_Membro","GE","3","4","True","1","2011-12-19","2025-02-17"
"1224547596","dbo","GE_Membro_BKP20250520","GE","3","0","False","0","2025-05-20","2025-05-20"
"1486016425","dbo","GE_MobileConfig","GE","14","6","True","1","2016-07-12","2019-02-05"
"1267639709","dbo","GE_MOBILEPROP","GE","2","3","True","2","2019-02-05","2019-02-05"
