"Host","Nome","Papel","Ping","Porta","Servico","Status","Coletado"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","21","FTP (Doc Manager)","ABERTA","2026-09-02 22:58:58"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","80","HTTP/IIS","ABERTA","2026-09-02 22:58:58"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","135","RPC/WMI","ABERTA","2026-09-02 22:58:58"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","139","NetBIOS","ABERTA","2026-09-02 22:58:58"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","443","HTTPS","fechada/filtrada","2026-09-02 22:59:00"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","445","SMB / share admin c$","ABERTA","2026-09-02 22:59:00"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","1433","SQL Server","ABERTA","2026-09-02 22:59:00"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","3389","RDP","ABERTA","2026-09-02 22:59:00"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","5985","WinRM HTTP","ABERTA","2026-09-02 22:59:00"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","5986","WinRM HTTPS","fechada/filtrada","2026-09-02 22:59:02"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","8080","HTTP alternativo","fechada/filtrada","2026-09-02 22:59:03"
"10.150.14.65","COLWCRM","Banco SQL Server 2019 + FileZilla FTP (Doc Manager) + IIS","responde","14148","FileZilla Admin (loopback-only esperado)","fechada/filtrada","2026-09-02 22:59:05"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","21","FTP (Doc Manager)","fechada/filtrada","2026-09-02 22:59:06"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","80","HTTP/IIS","ABERTA","2026-09-02 22:59:07"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","135","RPC/WMI","ABERTA","2026-09-02 22:59:07"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","139","NetBIOS","ABERTA","2026-09-02 22:59:07"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","443","HTTPS","ABERTA","2026-09-02 22:59:07"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","445","SMB / share admin c$","ABERTA","2026-09-02 22:59:07"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","1433","SQL Server","fechada/filtrada","2026-09-02 22:59:08"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","3389","RDP","ABERTA","2026-09-02 22:59:08"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","5985","WinRM HTTP","ABERTA","2026-09-02 22:59:09"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","5986","WinRM HTTPS","fechada/filtrada","2026-09-02 22:59:10"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","8080","HTTP alternativo","ABERTA","2026-09-02 22:59:10"
"10.150.6.230","agrocrm/VRTCSERVER","App server: IIS (CRMWeb, wsVorticeCrmApi), VtcAppMonitorService, C:\Vortice\NT","responde","14148","FileZilla Admin (loopback-only esperado)","fechada/filtrada","2026-09-02 22:59:12"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","21","FTP (Doc Manager)","fechada/filtrada","2026-09-02 22:59:13"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","80","HTTP/IIS","fechada/filtrada","2026-09-02 22:59:15"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","135","RPC/WMI","ABERTA","2026-09-02 22:59:15"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","139","NetBIOS","ABERTA","2026-09-02 22:59:15"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","443","HTTPS","fechada/filtrada","2026-09-02 22:59:17"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","445","SMB / share admin c$","ABERTA","2026-09-02 22:59:17"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","1433","SQL Server","fechada/filtrada","2026-09-02 22:59:18"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","3389","RDP","ABERTA","2026-09-02 22:59:19"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","5985","WinRM HTTP","ABERTA","2026-09-02 22:59:19"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","5986","WinRM HTTPS","fechada/filtrada","2026-09-02 22:59:20"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","8080","HTTP alternativo","fechada/filtrada","2026-09-02 22:59:22"
"10.150.5.54","COLWRDP01","Terminal server antigo (dominio coloradomaq)","responde","14148","FileZilla Admin (loopback-only esperado)","fechada/filtrada","2026-09-02 22:59:23"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","21","FTP (Doc Manager)","fechada/filtrada","2026-09-02 22:59:25"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","80","HTTP/IIS","fechada/filtrada","2026-09-02 22:59:26"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","135","RPC/WMI","ABERTA","2026-09-02 22:59:27"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","139","NetBIOS","ABERTA","2026-09-02 22:59:27"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","443","HTTPS","fechada/filtrada","2026-09-02 22:59:28"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","445","SMB / share admin c$","ABERTA","2026-09-02 22:59:28"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","1433","SQL Server","fechada/filtrada","2026-09-02 22:59:30"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","3389","RDP","ABERTA","2026-09-02 22:59:30"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","5985","WinRM HTTP","ABERTA","2026-09-02 22:59:30"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","5986","WinRM HTTPS","ABERTA","2026-09-02 22:59:30"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","8080","HTTP alternativo","fechada/filtrada","2026-09-02 22:59:32"
"10.150.5.172","ECS-ST-TSPLUS","Terminal server novo (dominio tracbel)","responde","14148","FileZilla Admin (loopback-only esperado)","fechada/filtrada","2026-09-02 22:59:33"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","21","FTP (Doc Manager)","fechada/filtrada","2026-09-02 22:59:38"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","80","HTTP/IIS","fechada/filtrada","2026-09-02 22:59:39"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","135","RPC/WMI","fechada/filtrada","2026-09-02 22:59:41"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","139","NetBIOS","fechada/filtrada","2026-09-02 22:59:42"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","443","HTTPS","fechada/filtrada","2026-09-02 22:59:44"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","445","SMB / share admin c$","fechada/filtrada","2026-09-02 22:59:45"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","1433","SQL Server","fechada/filtrada","2026-09-02 22:59:47"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","3389","RDP","fechada/filtrada","2026-09-02 22:59:48"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","5985","WinRM HTTP","fechada/filtrada","2026-09-02 22:59:50"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","5986","WinRM HTTPS","fechada/filtrada","2026-09-02 22:59:51"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","8080","HTTP alternativo","fechada/filtrada","2026-09-02 22:59:53"
"192.168.109.220","COLWCRM (IP antigo)","MORTO - pre migracao de data center","sem resposta","14148","FileZilla Admin (loopback-only esperado)","fechada/filtrada","2026-09-02 22:59:54"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","21","FTP (Doc Manager)","fechada/filtrada","2026-09-02 22:59:59"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","80","HTTP/IIS","fechada/filtrada","2026-09-02 23:00:00"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","135","RPC/WMI","fechada/filtrada","2026-09-02 23:00:02"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","139","NetBIOS","fechada/filtrada","2026-09-02 23:00:03"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","443","HTTPS","fechada/filtrada","2026-09-02 23:00:05"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","445","SMB / share admin c$","fechada/filtrada","2026-09-02 23:00:06"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","1433","SQL Server","fechada/filtrada","2026-09-02 23:00:08"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","3389","RDP","fechada/filtrada","2026-09-02 23:00:10"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","5985","WinRM HTTP","fechada/filtrada","2026-09-02 23:00:11"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","5986","WinRM HTTPS","fechada/filtrada","2026-09-02 23:00:13"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","8080","HTTP alternativo","fechada/filtrada","2026-09-02 23:00:14"
"192.168.109.209","app server (IP antigo)","MORTO - pre migracao de data center","sem resposta","14148","FileZilla Admin (loopback-only esperado)","fechada/filtrada","2026-09-02 23:00:16"
