"Host","Nome","Share","Acessivel","Erro"
"10.150.14.65","COLWCRM","\10.150.14.65\c$","False","Não é possível localizar o caminho 'C:\10.150.14.65\c$' porque ele não existe."
"10.150.14.65","COLWCRM","\10.150.14.65\Vortice_Atualiza","False","Não é possível localizar o caminho 'C:\10.150.14.65\Vortice_Atualiza' porque ele não existe."
"10.150.14.65","COLWCRM","\10.150.14.65\admin$","False","Não é possível localizar o caminho 'C:\10.150.14.65\admin$' porque ele não existe."
"10.150.6.230","agrocrm/VRTCSERVER","\10.150.6.230\c$","False","Não é possível localizar o caminho 'C:\10.150.6.230\c$' porque ele não existe."
"10.150.6.230","agrocrm/VRTCSERVER","\10.150.6.230\Vortice_Atualiza","False","Não é possível localizar o caminho 'C:\10.150.6.230\Vortice_Atualiza' porque ele não existe."
"10.150.6.230","agrocrm/VRTCSERVER","\10.150.6.230\admin$","False","Não é possível localizar o caminho 'C:\10.150.6.230\admin$' porque ele não existe."
"10.150.5.54","COLWRDP01","\10.150.5.54\c$","False","Não é possível localizar o caminho 'C:\10.150.5.54\c$' porque ele não existe."
"10.150.5.54","COLWRDP01","\10.150.5.54\Vortice_Atualiza","False","Não é possível localizar o caminho 'C:\10.150.5.54\Vortice_Atualiza' porque ele não existe."
"10.150.5.54","COLWRDP01","\10.150.5.54\admin$","False","Não é possível localizar o caminho 'C:\10.150.5.54\admin$' porque ele não existe."
"10.150.5.172","ECS-ST-TSPLUS","\10.150.5.172\c$","False","Não é possível localizar o caminho 'C:\10.150.5.172\c$' porque ele não existe."
"10.150.5.172","ECS-ST-TSPLUS","\10.150.5.172\Vortice_Atualiza","False","Não é possível localizar o caminho 'C:\10.150.5.172\Vortice_Atualiza' porque ele não existe."
"10.150.5.172","ECS-ST-TSPLUS","\10.150.5.172\admin$","False","Não é possível localizar o caminho 'C:\10.150.5.172\admin$' porque ele não existe."
