Origem,Pasta,Arquivo,Extensao,TamanhoBytes,ModificadoUtc,Sha256,TipoDetectado,PeArquitetura,PeSubsystem,PeTimestampUtc,FileVersion,ProductVersion,CompanyName,ProductName,FileDescription,Copyright,AssemblyNome,AssemblyVersao,TargetFramework,TiposPublicos,QtdReferencias,Referencias,Observacao
agrocrm:Vortice_Atualiza,<raiz>\TDev,AgendaCinza.ico,.ico,1150,2011-07-13 00:37:20,,outro,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev,AgendaVerde.ico,.ico,1150,2011-09-21 19:47:11,,outro,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev,AgendaVermelho.ico,.ico,1150,2011-07-13 00:16:38,,outro,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev,SQL.INI,.INI,657,2025-02-17 21:19:18,d1a6ef549c6514f052549c501574ab62b99a2b8a09806b7c110609a92bacf245,configuracao,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev,vaControlSet1.cll,.cll,97075,2026-07-27 20:18:41,e50c17b14141f6afeee83397178b020339b06fc2f05387ad661a6e044922778a,licenca Vortice,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev,vaControlSet2.cll,.cll,150,2026-07-27 20:18:43,4b471e9ec6208f447fb083dadf0e91a2e3ec06f55ba3303dcae8b792deea684c,licenca Vortice,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev,vaControlSet_GLOBAL.cll,.cll,250,2026-07-27 20:18:45,e70e647749e74fb349675869154e8184165391fd6ddbcfc0e3acd631f2b8a574,licenca Vortice,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev,vaControlSet_INTERVISION.cll,.cll,250,2026-07-27 20:18:38,94575a85a15981496c629dee02180e351ec3e993def56f03a4b37db74467fc41,licenca Vortice,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev,vaMENSLIB.INI,.INI,9801,2008-02-14 13:46:44,21c05d2055bf4edef09246a8c316d1d5773c879a71314c6dc48e409b459b4972,configuracao,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev,Vortice_Config.INI,.INI,1542,2025-02-17 21:33:49,a6d5100fc4d134a841c2e9c02432574117411afecd5f6756b8f3d38b8de33ad4,configuracao,,,,,,,,,,,,,,,,
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CONSHIS1.QRP,.QRP,9692,2009-02-28 00:15:31,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CONSHISTORICO.QRP,.QRP,17837,2010-07-14 14:41:48,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CRM2GES101.QRP,.QRP,40970,2012-10-29 15:58:27,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CRM2GES201.QRP,.QRP,32950,2009-03-13 13:54:18,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CRM2GOP101.QRP,.QRP,14594,2008-02-28 21:48:35,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CRM2GOP103.QRP,.QRP,31051,2023-04-12 17:46:10,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CRM2GOP104.Qrp,.Qrp,30949,2017-09-04 19:29:05,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
agrocrm:Vortice_Atualiza,<raiz>\TDev\app,CRM2GOP105.QRP,.QRP,14284,2019-08-26 12:38:48,,relatorio Gupta Report Builder,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
