Origem,Pasta,Arquivo,Extensao,TamanhoBytes,ModificadoUtc,Sha256,TipoDetectado,PeArquitetura,PeSubsystem,PeTimestampUtc,FileVersion,ProductVersion,CompanyName,ProductName,FileDescription,Copyright,AssemblyNome,AssemblyVersao,TargetFramework,TiposPublicos,QtdReferencias,Referencias,Observacao
ECS-ST-TSPLUS:TDBin,<raiz>,ActiproSoftware.Docking.Wpf.dll,.dll,700928,2020-12-30 08:08:30,11b7fab49151bdb33ff64506433de329d575922a499693c348f140ce9b8a2b81,.NET,I386,WindowsCui,2014-09-12 11:50:10,14.2.610.0,14.2.610.0,Actipro Software LLC,Docking,Actipro Docking & MDI (for WPF),Copyright (c) 2007-2014 Actipro Software LLC.  All rights reserved.,ActiproSoftware.Docking.Wpf,14.2.610.0,".NETFramework,Version=v4.0,Profile=Client",137,11,ActiproSoftware.Shared.Wpf 14.2.610.0 | mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Xaml 4.0.0.0 | System.Xml 4.0.0.0 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,ActiproSoftware.Navigation.Wpf.dll,.dll,310784,2020-12-30 08:08:30,7b760fc68cabd30ccf9aae9464ccba3980a69ec33dde6d9f01a966b5989485d6,.NET,I386,WindowsCui,2014-09-12 11:52:26,14.2.610.0,14.2.610.0,Actipro Software LLC,Navigation,Actipro Navigation (for WPF),Copyright (c) 2007-2014 Actipro Software LLC.  All rights reserved.,ActiproSoftware.Navigation.Wpf,14.2.610.0,".NETFramework,Version=v4.0,Profile=Client",52,10,ActiproSoftware.Shared.Wpf 14.2.610.0 | mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Xaml 4.0.0.0 | System.Xml 4.0.0.0 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,ActiproSoftware.Shared.Wpf.dll,.dll,2193920,2020-12-30 08:08:30,0f99a631a586d4c106415487d352263ce26d49c7c56cbe00653751884a957c1f,.NET,I386,WindowsCui,2014-09-12 11:46:56,14.2.610.0,14.2.610.0,Actipro Software LLC,Shared,Actipro Shared Library (for WPF),Copyright (c) 2001-2014 Actipro Software LLC.  All rights reserved.,ActiproSoftware.Shared.Wpf,14.2.610.0,".NETFramework,Version=v4.0,Profile=Client",256,10,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Xaml 4.0.0.0 | System.Xml 4.0.0.0 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,ActiproSoftware.Themes.Metro.Wpf.dll,.dll,284672,2020-12-30 08:08:30,9ef43dc0ea5b6f405129a5f192266c094b4a6452bff27fb9c7479de86eb93628,.NET,I386,WindowsCui,2014-09-12 11:48:15,14.2.610.0,14.2.610.0,Actipro Software LLC,Shared,Actipro Metro Themes (for WPF),Copyright (c) 2001-2014 Actipro Software LLC.  All rights reserved.,ActiproSoftware.Themes.Metro.Wpf,14.2.610.0,".NETFramework,Version=v4.0,Profile=Client",9,5,ActiproSoftware.Shared.Wpf 14.2.610.0 | mscorlib 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Xaml 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,ActiproSoftware.Themes.Office.Wpf.dll,.dll,462848,2020-12-30 08:08:30,41d1c6715ffd82c767c0527b80454e69e139935725968f1d35be228e66948744,.NET,I386,WindowsCui,2014-09-12 11:48:32,14.2.610.0,14.2.610.0,Actipro Software LLC,Shared,Actipro Office Themes (for WPF),Copyright (c) 2001-2014 Actipro Software LLC.  All rights reserved.,ActiproSoftware.Themes.Office.Wpf,14.2.610.0,".NETFramework,Version=v4.0,Profile=Client",4,5,ActiproSoftware.Shared.Wpf 14.2.610.0 | mscorlib 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Xaml 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,BouncyCastle.Crypto.dll,.dll,2531328,2019-01-31 22:53:56,a64531cbda6e442cd3f3e351d73d4086bce009fb979ef90b28f6fa45122f5c8f,.NET,I386,WindowsCui,2019-01-31 15:53:55,1.8.19031.1,1.8.5,The Legion of the Bouncy Castle Inc.,Bouncy Castle for .NET,BouncyCastle.Crypto,Copyright (C) 2000-2019,BouncyCastle.Crypto,1.8.5.0,,1424,1,mscorlib 1.0.5000.0,
ECS-ST-TSPLUS:TDBin,<raiz>,cbawi73.dll,.dll,421368,2021-01-21 19:28:40,d4d5cd3e8ba23745acf9fdc103ccb7f62135358aa97c056b894c5ff49ebf09f6,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:04:50,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,SQLWindows ActiveX Explorer,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,cbtti73.dll,.dll,19960,2021-01-21 19:28:40,745a36a457deb781a625bd30a9214644419a3aa210530fb3353561a4ccc81b7d,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:18:44,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,Tool Tips for SQLWindows,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,cdki73.dll,.dll,437240,2021-01-21 19:28:40,ab80dfbb8fec4cd4a9ae6b70106ec8a5fd96f27b12bc2f94fce6285de270de7d,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:04:25,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,Component Developer Kit for SQLWindows,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,cdlli21.dll,.dll,2605056,2003-06-04 20:58:04,b05325d7f2a211711b395e8bb0e6e5dc801a4b7c26d0d6f568d4814fd2ae8a19,nativo (PE sem CLI header),I386,WindowsGui,2003-06-05 00:57:59,"2.1-PTF4, Build 12999",2.1-PTF4,Centura Software Corporation,Centura Team Developer,Centura Builder,Copyright © 2001 Centura Software Corporation,,,,,,,
