"SeqDocTp","DocTp","Descr","QtdDiaProcEncer","QtdDiaValidade","ExigArq","ExigAutent","ExigDtaBase","ExigValidade","Formato","VincPessoa","VincProcesso","VincPropriedade","VincProjeto","UmPorPessoa","UmPorProcesso","UmPorPropriedade","UmPorProjeto","TamanhoMax","TrocaPropriedade","REFPESSOA","VINCOS","UMPOROS","EXTENSOES"
"2","EXPERIE_CLIENTE","Inquérito de Experiência do Cliente","","","1","1","0","0","DIG","1","1","0","0","0","0","0","0","600","","","0","0",""
"3","FINANCEIRO","Documentos Financeiro","","","1","1","1","1","DIG","1","1","0","0","0","0","0","0","0","","","0","0",""
"4","OUTROS","Documentos Diversos","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","900","","","0","0",""
"5","NF","NF","","","1","1","0","0","DIG","1","1","0","0","0","0","0","0","800","","","0","0",""
"7","NF VEN. DIRETA","NF Venda Direta","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"8","PEDIDO VENDA","Pedido Venda","","","1","1","0","0","DIG","1","1","1","0","0","0","0","0","","","","0","0",""
"9","NF DE REFATURAM","Nota Fiscal Refaturamento","","","1","1","0","0","DIG","1","1","1","0","0","0","0","0","","","","0","0",""
"10","SERASA","Consulta de Serasa","","","0","0","0","1","DIG","1","1","0","0","0","0","0","0","","","","0","0",""
"11","IBM","Inspeção Básica de Máquina","","","1","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"12","CONTR.LOCAÇÃO","Contrato de Locação","","","1","1","1","1","DIG","0","1","1","0","0","0","0","0","","","","0","0",""
"13","AUTOR.AGREGA","Autorização de agrega e desagrega especial","","","1","1","0","0","DIG","1","1","0","0","0","0","0","0","","","","0","0",""
"14","AVALIAÇÃO USADO","Avaliação Equipamento/Implemento Usado","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"15","AUTOR FATURA","Autorizacao de Faturamento","","","1","1","0","0","DIG","1","1","0","0","0","0","0","0","","","","0","0",""
"16","DECLARACAO","Declaracao de Onus","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","1500","","","0","0",""
"17","NOTA FISCAL","Nota de Venda","","","1","1","0","0","IMG","0","1","0","0","0","0","0","0","","","","0","0",""
"18","VALIDADO AVALIA","Validação de Avaliação e Fotos","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"19","AUTORIZACAO","Autorizacao entregar novo sem retirar usado","","","1","1","0","0","DIG","0","1","0","0","0","1","0","0","900","","","0","0",""
"20","NF SERVICO AMS","Nota Fiscal Faturamento Serviço AMS","","","1","1","0","0","DIG","1","1","0","0","0","0","0","0","","","","0","0",""
"21","AVALI LOGISTICA","Avaliação retirada logistica","","","1","1","0","0","IMG","0","1","0","0","0","0","0","0","","","","0","0",""
"22","AVALI OFICINA","Avaliação Receber Maquina Oficina","","","1","1","0","0","IMG","0","1","0","0","0","0","0","0","","","","0","0",""
"23","NF USADO CLIENT","Nota Fiscal Usado Cliente","","","1","1","0","0","IMG","0","1","0","0","0","0","0","0","","","","0","0",""
"24","FOR USADOS","Formulario Venda Usado","","","1","1","0","0","DIG","1","1","0","0","0","0","0","0","","","","0","0",""
"25","DECL ONUS IMP","Declaração de Onus IMP","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"26","CALCULO COMISSA","Calculo de comissão venda direta","","","1","0","0","0","IMG","1","1","0","0","0","0","0","0","","","","0","0",""
