"Servidor","CodProcesso","Tipo","Aplicativo","DtaExecucao","ExeMinuto","Prioridade","Solicitante","SeqProcesso","Descricao","Obs","LinkNro","LinkStr","Argumento","DNet","PrioridadeThread","ThreadNro","SEQFILA"
"2","SYNC","SEMPRE","INTERNO","02/09/2026 19:41:06","0,01","2","SERVPROCESSO","2","Sincronismo via GEP_Import"," Fila iniciada em 31/08/2026 09:10, no comput. COLWCRMBD","","","","","","","38188192"
"2","SERVPROCESSO","SEMPRE","INTERNO","02/09/2026 19:40:57","0,01","0","SERVPROCESSO","9","Servidor de processos 2"," Fila iniciada em 31/08/2026 09:10, no comput. COLWCRMBD","","","","","","","38188193"
"1","SERVPROCESSO","SEMPRE","INTERNO","02/09/2026 19:41:03","0,00","1","SERVPROCESSO","5","Servidor de processos"," Fila iniciada em 31/08/2026 09:10, no comput. COLWCRMBD","","","","","","","38188194"
"1","AGENDACTRL","SEMPRE","INTERNO","02/09/2026 19:49:03","10,00","5","SERVPROCESSO","8","Controla atrasos e andamentos da agenda"," Fila iniciada em 31/08/2026 09:10, no comput. COLWCRMBD","","","","","","","38188195"
"1","MOV_PESSOA","AUTO","INTERNO","02/09/2026 22:07:26","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","123967","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1#FONETICA=1#SIMILAR=1","","","","38199253"
"1","MOV_PESSOA","AUTO","INTERNO","02/09/2026 22:07:28","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","123968","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1#FONETICA=1#SIMILAR=1","","","","38199254"
"1","MOV_PESSOA","AUTO","INTERNO","02/09/2026 22:07:28","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","123967","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1#IVSPES=1","","","","38199255"
"1","MOV_PESSOA","AUTO","INTERNO","02/09/2026 22:07:28","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","123968","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1#IVSPES=1","","","","38199256"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:29","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1620461","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199257"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:29","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1620461","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199258"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:30","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1620462","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199259"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:30","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1620462","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199260"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:07:31","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1827977","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199261"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:31","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1620461","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199262"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:07:31","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1827978","","#ORIGEM=MOBILELITE#TRANS=1#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199263"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:31","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1620462","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199264"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1615624","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199265"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1820020","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199266"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1615624","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199267"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1820020","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199268"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1615624","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199269"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1525388","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199270"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1823613","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199271"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:07:39","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1525388","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199272"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:07:40","","3","MATHEUS.TEIXEIRA","","Movimentação de tabelas","","1823613","","#ORIGEM=MOBILELITE#TRANS=2#USR=MATHEUS.TEIXEIRA#MSGC=1#PSTT=1","","","","38199273"
