"Seq","Processo","Origem","Acao","Banco","Dono","Tabela","Separador","Status","Coluna","Dado","ColunaIdentific","DadoIdentificador","DtaGeracao","Prioridade"
"188222","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;CARLOS.ASSUMPÇÃO;LINCON;ESTOU AGUARDANDO VALORES DA NOTAS FISCAIS PARA QUE POSSA COLOCAR NO JDQUOTE.;D:202502211731;A;9;1470198;2563;2153287;8601;;N","","","25/02/2025 10:44:42",""
"188221","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;CARLOS.ASSUMPÇÃO;LINCON;FOI PASSADO AO CLIENTE A NEGOCIAÇÃO, ONDE O MESMO DISSE QUE ACEITA COM ALGUMAS RESSALVAS, QUE JÁ FOI INFORMADA AO LEANDRO.;D:202502201629;A;9;1470198;2563;2153286;8601;;N","","","25/02/2025 10:44:41",""
"188220","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;CARLOS.ASSUMPÇÃO;LINCON;CLIENTE NO AGUARDO DA NEGOCIAÇÃO;D:202502190928;A;9;1470198;2563;2153285;8601;;N","","","25/02/2025 10:44:40",""
"188219","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;CARLOS.ASSUMPÇÃO;LINCON;CLIENTE ESTÁ COBRANDO UMA POSIÇÃO SOBRE A NEGOCIAÇÃO. AGUARDANDO RETORNO DO LEANDRO E RICARDO.;D:202502170927;A;9;1470198;2563;2153284;8601;;N","","","25/02/2025 10:44:40",""
"188218","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;CARLOS.ASSUMPÇÃO;LINCON;ESTIVE NO SITIO COM SISDELI PARA MOSTAR A MAQUINA USADO PARA UM CLIENTE DE VIRADOURO. ;D:202502080924;A;9;1470198;2563;2153283;8601;;N","","","25/02/2025 10:44:39",""
"188195","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;LUIZ.FERREIRA;MARCOS;já detalhado acima;D:202502241505;A;11;1470111;2563;2152976;4013;;N","","","24/02/2025 17:51:36",""
"188167","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;RAFAEL.FELIPE;pedido realizado, podadeira de citrus GTM PLT 350 TC;D:202502241247;A;15;1470017;2548;2152627;103236;;N","","","24/02/2025 12:48:09",""
"188166","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;RESULTADOCMPL;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Externo;RAFAEL.FELIPE;interesse em uma podadeira ;D:202502241242;A;15;1470016;2547;MÁQUINA/IMPLEMENTO;2152626;103236;;N","","","24/02/2025 12:48:08",""
"188163","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;RAFAEL.FELIPE;vamos subir um parecer com o formato de parcelamento desejado;D:202502210802;A;15;1469936;2563;2152485;103197;RAFAEL FELIPE;N","","","24/02/2025 10:57:11",""
"188162","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","608;NENHUMA;Externo;RAFAEL.FELIPE;procedimento ;D:202502210801;A;15;1469935;2556;2152484;103197;RAFAEL FELIPE;N","","","24/02/2025 10:57:10",""
"188159","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Showroom;EDUARDO.SANTANA;NO-REINALDO;Venda Realizada ;D:202502230948;A;16;1469877;2548;2152348;96470;;N","","","24/02/2025 09:49:55",""
"188124","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;LINEKER.PIVETA;passei da propriedade e falei com o Edinho, me disse sobre os interesses de compra que ainda estão, pois ainda não compraram, liguei pra Milena e falei com ela novamente, ela me disse pra passar novamente os preços que conseguimos fazer no 7M 230 tanto DUAL, single e eixo 3m, próxima safra eles irá partir pro amendoim e irá aumentar a demanda de máquinas, na outra condição ela havia pedido o preço de 1 8R o 270, ela me disse pra agora passar um de 300 ou mais CV, irei passar a demanda pro João pra ele me passar os preços para mim montar os orçamentos e passar para a cliente e continuarmos com as negociações ;D:202502211609;A;14;1469792;2563;2152098;94363;LINEKER.PIVETA;N","","","23/02/2025 23:17:55",""
"188113","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;IGOR.MODESTO;em visita ao cliente comentei de marcarmos outra visita para juntarmos seus documentos e atualizar a sua dap ;D:202502232239;A;16;1469791;2563;2152058;118502;IGOR MODESTO;N","","","23/02/2025 22:41:28",""
"188111","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Telefone;IGOR.MODESTO;Passei a condição da campanha para o cliente, disse que estava com prazo para abril já os tratores, ele disse que assim que entrar um dinheiro vai fazer o pagamento da entrada para segurar a disponibilidade já ;D:202502232233;A;16;1469790;2563;2152056;103327;IGOR MODESTO;N","","","23/02/2025 22:41:27",""
"188107","CRM","JUNO","I","","","IV_HISTORICO",";","E","ACAOGERADORA;CAMPANHA;CANAL;CODUSUARIO;CONTATO;DETALHE;DTAREALIZACAO;NATUREZA;NROEMPRESA;PROCESSO;RESULTADO;SEQHISTORICO;SEQPESSOA;VENDEDOR;GERAACAO","609;NENHUMA;Externo;IGOR.MODESTO;RAFAEL;Pedido realizado ;D:202502232200;A;16;1469788;2548;2152052;118501;IGOR MODESTO;N","","","23/02/2025 22:41:26",""
