"SeqJOBAgd","Tipo","NroZUMBI","DtaInicio","Codigo","Descricao","Aplicacao","Prioridade","THREADEXCLUSIVA","Argumento","IntervaloExec","UltimaExecucao","NroTENTATIVA","IntervaloTENTATIVA","DiasVIdALOG","PlanoExec","ExecucaoExclusiva","SEQJOB"
"2","CICLICA","1","02/09/2026 23:15:15","CRMOUT_AGD_SEND","REALIZA O AGENDAMENTO E ENVIO DE EMAILS DO OUTCRM","","3","","","15","02/09/2026 23:00:16","","","","","","7"
"4","CICLICA","","02/09/2026 23:09:18","APPVTC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","C:\VORTICE\TDEV\APPSRV\VCRM_RUNIMPORTIMP.EXE","3","","#MONITORA=1","5","02/09/2026 23:04:18","","","","","1",""
"5","CICLICA","","30/07/2999 09:17:56","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\KITCHEN_VEICULO.LNK","3","","","1440","30/07/2021 17:48:37","","","","","0",""
"6","CICLICA","","29/07/2999 23:00:00","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\KITCHEN_PECAS.LNK","3","","","1440","29/07/2021 16:00:00","","","","#HR=07:00,12:00,16:00,23:00","0",""
"7","CICLICA","","29/07/2999 20:00:00","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\PAN_IMP_VEICULO.LNK","3","","","1440","29/07/2021 14:00:00","","","","#HR=14,20;","0",""
"8","CICLICA","","02/09/2026 23:30:00","GT_STATUS_SEND","ENVIA O STATUS DOS SERVIDORES À VÓRTICE.","","3","","","30","02/09/2026 23:00:01","","","","","","24"
"9","CICLICA","","03/09/2026 14:30:00","APPVTC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","C:\CLIENTVTC\GLOBAL\VCRM_IMPORTADORAGDSDI_AUTO.EXE","3","","#MONITORA=1#SESSAO=GLOBAL#TPIMPORT=1","1440","02/09/2026 20:30:00","","","","#HR=14:30,20:30;","1",""
"10","CICLICA","","30/07/2999 07:00:00","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\INTEGRA BLOQ DOCUMENTAÇÃO.LNK","3","","","1440","29/07/2021 12:00:01","","","","#HR=07,12","0",""
"12","CICLICA","","22/05/2039 10:30:00","COBRANCA_CRIT","REALIZA O PROCESSAMENTO DOS CRITÉRIOS DE COBRANÇA","","5","","","1440","21/05/2025 16:30:01","","","","#HR=10:30,12:30,14:30,16:30","","38"
"13","CICLICA","","30/07/2999 09:00:00","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","D:\VORTICE\PDI\PAN_TITULOS_SISDIA.LNK","3","","","","29/07/2021 16:00:00","","","","#HR=09:00,13:00,16:00","0",""
"14","CICLICA","","30/07/2999 09:30:00","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","D:\VORTICE\PDI\KITCHEN_TITULOS_ACRESC.LNK","3","","","1440","29/07/2021 16:30:01","","","","#HR=09:30,13:30,16:30","0",""
"15","CICLICA","","02/09/2026 23:08:00","EMAIL_SEND","EFETUA O ENVIO DE EMAILS","","3","","","3","02/09/2026 23:05:00","","","","","","14"
