"SeqJOB","Codigo","Tipo","LICENCA","Descricao","Argumento","ESTIMULOFILA","TIPOJOB","OBJETIVO","RESTRICOES","PRIORIDADEFILA"
"1","SAP_IMPORT_PEDIDO","C","GLOBAL","Realiza importação de dados de Pedido do SAP","","0","JOB","","",""
"2","SAP_IMPORT_EXT","C","GLOBAL","Realiza importação de dados do SAP","","0","JOB","","",""
"3","SIMU_BRADESCO","C","GLOBAL","Realiza simulação F&I com Bradesco","","0","JOB","","",""
"4","GERA_MIX","C","GLOBAL","Realiza cálculos dos Mixes","","0","JOB","","",""
"5","DWH_IMPORT_EXT","C","GLOBAL","Realiza carga de NFS pro DWH","","0","JOB","","",""
"6","DWH_ACUMULADORES","C","GLOBAL","Realiza acúmulos do DWH","","0","JOB","","",""
"7","CRMOUT_AGD_SEND","C","GLOBAL","Realiza o agendamento e envio de emails do OUTCRM","","0","JOB","","",""
"10","SMS_SEND","I","GLOBAL","Realiza o envio de SMS","","0","JOB","","",""
"11","SMS_RETORNO_GET","C","GLOBAL","Checa os retornos de SMS enviados pelos clientes","","0","JOB","","",""
"12","SMS_SEM_RETORNO","C","GLOBAL","Checa SMS enviado sem retorno e processa","","0","JOB","","",""
"13","EMAIL_IN_CRM","C","GLOBAL","Efetua integração de emails ao CRM","","0","JOB","","",""
"14","EMAIL_SEND","C","GLOBAL","Efetua o envio de emails","","0","JOB","","",""
"15","GEOREFERENCIAMENTO","C","GLOBAL","Gera longitude e latitude para pessoas sem estes ","","0","JOB","","",""
"16","IMP_EVENTO","C","GLOBAL","Gera eventos de integração.","","0","JOB","","",""
"17","NETPOINT_ASSOC_SEND","I","GLOBAL","Envia associados à NetPoint.","","0","JOB","","",""
"18","NETPOINT_ASSOC_RET_GET","I","GLOBAL","Obtém o retorno de um associado enviado.","","0","JOB","","",""
"19","FIDELIDADE_SENDEMAIL","C","GLOBAL","Envia e-mails para pessoas que têm pontos para re","","0","JOB","","",""
"20","ANIVERS_GERA_AGD","C","GLOBAL","Gera agendas dos aniversariantes.","","0","JOB","","",""
"21","IVC_CARTDESBLOQ","I","GLOBAL","Realiza o desbloqueio de cartão","","0","JOB","","",""
"22","LOG_COMPACTA","C","GLOBAL","Compacta arquivos de Logs do mês anterior.","","0","JOB","","",""
"23","OUT_EVENTO","C","GLOBAL","Envia eventos de integração.","","0","JOB","","",""
"24","GT_STATUS_SEND","C","GLOBAL","Envia o Status dos servidores à Vórtice.","","0","JOB","","",""
"25","GT_MONIT_CHECK","C","GLOBAL","Verifica os status dos monitoramentos.","","0","JOB","","",""
"26","MOV_AGENDA","I","GLOBAL","Realiza a movimentação de agendas.","","0","JOB","","",""
"27","MOV_PROCESSO","I","GLOBAL","Realiza a movimentação de processos.","","0","JOB","","",""
"28","SVT_AGENDA_CHECK","I","GLOBAL","Verifica agendas no SVT para baixa no CRM.","","0","JOB","","",""
"29","AUTOAVALIAR_RETORNO","I","GLOBAL","Verifica retorno de avaliação do veículo do clien","","0","JOB","","",""
"30","AUTOAVALIAR_GET_AVALIACOES","C","GLOBAL","Busca as avaliações realizadas no AutoAvaliar em ","","0","JOB","","",""
"31","LEADS_GET","C","GLOBAL","Busca os clientes e as interações com o sistema d","","0","JOB","","",""
"32","CAMPANHA_SEND","C","GLOBAL","Realiza o disparo de campanhas.","","0","JOB","","",""
"33","MOV_QUESTIONARIO","I","GLOBAL","Realiza a movimentação de questionarios.","","0","JOB","","",""
"34","JD_QUOTE","I","GLOBAL","Realiza a integração de dados com a JD Quote.","","0","JOB","","",""
"35","PROCEDURE_FILA","I","GLOBAL","Executa procedures diretamente da fila.","","0","JOB","","",""
"36","IMP_FICHANEGVEIC","C","GLOBAL","Realiza importação de fichas de negócio da IMP.","","0","JOB","","",""
"37","IMP_TITULO","C","GLOBAL","Realiza importação de títulos.","","0","JOB","","",""
"38","COBRANCA_CRIT","C","GLOBAL","Realiza o processamento dos critérios de cobrança","","0","JOB","","",""
"39","FID_INTEGRACAO","C","GLOBAL","Importa dados do PDV para a IMP_EVENTO.","","0","JOB","","",""
"40","CONDUCTOR","I","GLOBAL","Realiza o envio de propostas de cartão à Conductor","","0","JOB","","",""
"41","SMS_STATUS_GET","C","GLOBAL","Obtem os status dos SMS enviados.","","0","JOB","","",""
"43","NEUROTECH","I","GLOBAL","Realiza integração com a Neurotech","","0","JOB","","",""
"44","MAIL2EASY_RET","C","GLOBAL","Obtém estatísticas do Mail 2 Easy.","","0","JOB","","",""
"45","MAIL2EASY_OPTOUT","C","GLOBAL","Obtém a lista de OptOut do Mail 2 Easy.","","0","JOB","","",""
"46","MOV_PESSOA","I","GLOBAL","Realiza a movimentação de pessoas.","","0","JOB","","",""
"47","CAMPANHA_GERA","C","GLOBAL","Gera as pessoas de uma campanha.","","0","JOB","","",""
"48","CAMPANHA_RETORNO","C","GLOBAL","Obtém estatísticas de campanhas enviadas.","","0","JOB","","",""
"49","CAMPANHA_OPTOUT","C","GLOBAL","Obtém a lista de OptOuts.","","0","JOB","","",""
"50","MOV_PESSOA_LOTE_SAAS","C","GLOBAL","Envia pessoas em lote para o Vortico SaaS.","","0","JOB","","",""
"51","CREDITO_BOA_VISTA","I","GLOBAL","Realiza integração com análise de crédito boa vis","","0","JOB","","",""
"52","URA_DISCADORA_IVR","C","URA","Realiza discagens a partir de uma URA IVR.","","0","JOB","","",""
"53","MELIUZ","C","GLOBAL","Obtém as transações efetuadas pela Méliuz","","0","JOB","","",""
"54","PIERLABS","C","GLOBAL","Obtém os clientes da Pier Labs","","0","JOB","","",""
"55","EMAIL_ESTATISTICA","C","GLOBAL","Obtém as estatísticas dos e-mails transacionais","","0","JOB","","",""
"56","CEP_CORREIOS_GET","C","GLOBAL","Obtém dados de endereço nos correios com base no ","","0","JOB","","",""
"57","MSGCENTER","I","GLOBAL","Gera o centro de mensagens.","","0","JOB","","",""
"58","PUSH","C","GLOBAL","Realiza o envio de Push","","0","JOB","","",""
"59","HYUNDAI_LEADS","C","GLOBAL","Realiza a importação de Leads da Hyundai","","0","JOB","","",""
"60","DISCADOR_POWER","I","GLOBAL","Realiza a integração de mailing de discagem com o","","0","JOB","","",""
"61","MKTZAP","C","GLOBAL","Realiza a integração de atendimentos realizados p","","0","JOB","","",""
"62","PR_INT_PROPROS","P","GLOBAL","PR_INT_PROPROS INTEGRACAO PROPRIEDADE DA OS","","0","PROCEDURE","INTEGRAR VEICULOS DA OS","","0"
"63","PR_ATU_FORMPRODTOTVS","P","GLOBAL","PR_ATU_FORMPRODTOTVS","","0","PROCEDURE","Atualizar produtos do Totvs para parametro dinamico","","0"
"64","VRTC_GOOGLEAGDPES","I","GLOBAL","Envia sinc de agenda Google para clientes","","0","JOB","","",""
"65","GOOGLEAGDSINC","I","GLOBAL","Sincroniza agendas Google","","0","JOB","","",""
"66","PR_ATU_STATUS_DEPTO","P","GLOBAL","Atualiza Status Depto","","0","PROCEDURE","Atualizar os Status de visita do depto.","","0"
