"SeqJOBFILA","NroZUMBI","DtaExecucao","Prioridade","Codigo","Descricao","LinkStr","LINKNro1","LINKNro2","Argumento","SeqUSRSolicitaNTE","DtaEXECORIGINAL","NroTENTATIVA","FILAWAIT","SeqJobAgd","INDAVISOINDIVIDUALSM"
"685536","1","23/08/2026 18:56:12","","VORTICOSERVER","VORTICO SERVER EM EXECUÇÃO","","","","COLWCRMBD","","","","","",""
"685537","1","02/09/2026 23:15:15","3","CRMOUT_AGD_SEND","REALIZA O AGENDAMENTO E ENVIO DE EMAILS DO OUTCRM","","","","","","","","","2",""
"685538","","02/09/2026 23:09:18","3","APPVTC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","C:\VORTICE\TDEV\APPSRV\VCRM_RU","","","#MONITORA=1","","","","","4",""
"685539","","30/07/2999 09:17:56","3","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\KITCHEN_VEICULO","","","","","","","","5",""
"685540","","29/07/2999 23:00:00","3","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\KITCHEN_PECAS.L","","","","","","","","6",""
"685541","","29/07/2999 20:00:00","3","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\PAN_IMP_VEICULO","","","","","","","","7",""
"685542","","02/09/2026 23:30:00","3","GT_STATUS_SEND","ENVIA O STATUS DOS SERVIDORES À VÓRTICE.","","","","","","","","","8",""
"685543","","03/09/2026 14:30:00","3","APPVTC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","C:\CLIENTVTC\GLOBAL\VCRM_IMPOR","","","#MONITORA=1#SESSAO=GLOBAL#TPIMPORT=1","","","","","9",""
"685544","","30/07/2999 07:00:00","3","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO ZUMBI DE ","D:\VORTICE\PDI\INTEGRA BLOQ DO","","","","","","","","10",""
"685545","","22/05/2039 10:30:00","5","COBRANCA_CRIT","REALIZA O PROCESSAMENTO DOS CRITÉRIOS DE COBRANÇA","","","","","","","","","12",""
"685546","","30/07/2999 09:00:00","3","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","D:\VORTICE\PDI\PAN_TITULOS_SIS","","","","","","","","13",""
"685547","","30/07/2999 09:30:00","3","APPEXEC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","D:\VORTICE\PDI\KITCHEN_TITULOS","","","","","","","","14",""
"685548","","02/09/2026 23:08:00","3","EMAIL_SEND","EFETUA O ENVIO DE EMAILS","","","","","","","","","15",""
"685549","","29/04/2028 08:06:00","3","EMAIL_IN_CRM","EFETUA INTEGRAÇÃO DE EMAILS AO CRM","","","","","","","","","35",""
"685550","","05/10/2125 16:00:00","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","PR_INT_PROPROS","","","","","","","","37",""
"685551","","03/09/2026 07:00:00","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","PR_ATU_FORMPRODTOTVS","","","","","","","","38",""
"685552","","03/09/2026 04:05:20","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","PR_ATU_STATUS_DEPTO","","","","","","","","39",""
"685553","","02/09/2026 23:20:00","3","APPVTC","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","C:\VORTICE\TDEV\APPSRV\VCRM_RU","","","#MONITORA=1","","","","","40",""
"685554","","03/09/2026 05:00:00","3","SYNCSAT_PRODUTOS_GERA_AUTO","GERA/ATUALIZA FILA SYNCUSRSAT DE PRODUTOS DE FORM","","","","","","","","","42",""
"685555","","02/09/2026 23:10:32","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","VTC_P_GERAAPROVACAO","","","","","","","","43",""
"685556","","02/09/2026 23:10:10","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","VTC_P_GERAAGUARDENTREGA","","","","","","","","44",""
"685557","","02/09/2026 23:10:28","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","VTC_P_GERACONDPAGTO","","","","","","","","45",""
"685558","","03/11/2028 09:32:28","3","PROCEDURE","EXECUTÁVEIS QUE SERÃO INICIALIZADOS PELO VORTICO S","PR_VTC_INTVEICULO","","","","","","","","46",""
"685978","1","31/08/2026 09:08:03","","VORTICOSERVER","VORTICO SERVER EM EXECUÇÃO","","","","COLWCRMBD","","","","","",""
"686314","1","02/09/2026 19:50:08","","VORTICOSERVER","VORTICO SERVER EM EXECUÇÃO","","","","COLWCRMBD","","","","","",""
