"Origem","IndAlteraPessoa","IndIdentPesCNPJ","IndSobrepoeFone","IndEnviaOut","DestinoOut","QtdDiasRemove","DtaAlteracao","UsuAlteracao","INDALTERAPESSOAEXT","INDMANTEMORDEMFONES","INDMANTEMATIVO"
"AUDIT","0","0","0","","","0","14/08/2019 20:11:00","VTCCONS","","",""
"COLORADO","0","1","0","","","","21/11/2018 16:11:00","DIEGO.MARQUES","","",""
"CRM-Manual","0","0","0","","","","10/10/2019 12:00:00","VTCCONS","","",""
"CRMTRAC","1","0","0","","","","02/07/2025 10:16:00","V:AMAURY","C","0","0"
"EEMOVEL","1","1","1","","","","20/06/2025 14:12:00","MATHEUS.AUGUSTO","C","0","0"
"IMPORT","0","0","0","","","","21/11/2018 16:11:00","DIEGO.MARQUES","","",""
"IMPORTACAO","1","1","0","","","","21/11/2018 16:11:00","DIEGO.MARQUES","C","",""
"INTEGRAÇÃONOROESTE","1","1","1","","","0","27/12/2024 20:34:00","VTCCONS","C","0","0"
"JUNO","1","1","0","","","","21/11/2018 16:11:00","DIEGO.MARQUES","","",""
"MOBILELITE","0","1","0","","","","21/02/2025 16:28:00","V:DANIEL","K","0","0"
"Protheus","1","1","1","","","","30/07/2021 18:23:00","VTCCONS","C","0",""
"RD","1","0","1","","","","20/04/2026 16:44:00","V:GUI.BATISTA","C","1","0"
"WEB_CRM","0","0","0","","","","21/11/2018 16:11:00","DIEGO.MARQUES","","",""
"WEBCRM","0","0","0","","","","12/05/2020 15:53:00","DIEGO.MARQUES","","",""
