"Destino","Usr","IDSatelite","DtaInicioRec","DtaUltimoRec","DtaInicioEnvio","DtaUltimoEnvio","IndSateliteLivre","SeqSyncUsrSat","UltServicoEnviado","SeqLogUsr","SeqUsrLog","SQL","VersaoSO","VersaoApp","SeqMobileConfig"
"JUNO","0","5ea80c52ef1230f7","23/11/2020 06:50:41","","23/11/2020 06:50:41","","0","","","0","","delete from j1_acaoauto where acao = 703","Android - 7.1.1","3.103.05",""
"JUNO","72","931783c1b650ff7b","22/11/2023 07:55:22","22/11/2023 07:56:37","22/11/2023 07:55:22","22/11/2023 07:56:37","0","","","0","","delete from j1_acaoauto where acao = 703","Android - 11","3.110.00",""
"JUNO","317","8263d7db-bd46-47e0-a4a8-6d112bdb3a07","","","","","","","","0","","delete from j1_acaoauto where acao = 703","","",""
"JUNO","653","52a4aa7de1a5cf52","19/08/2024 08:21:52","19/08/2024 08:22:03","19/08/2024 08:21:52","19/08/2024 08:22:03","0","","","0","","delete from j1_acaoauto where acao = 703","Android - 14","3.110.00",""
"JUNO","1263","cd3c8876f6477c2f","17/03/2025 06:28:28","17/03/2025 06:28:48","17/03/2025 06:28:28","17/03/2025 06:28:48","0","","","0","","delete from j1_acaoauto where acao = 703","Android - 14","3.110.00",""
"JUNO","1338","0d93f4105ef72fd8","06/03/2025 12:18:48","06/03/2025 12:19:55","06/03/2025 12:18:48","06/03/2025 12:19:55","0","","","0","","delete from j1_acaoauto where acao in (687,691,697,701,703,712)","Android - 9","3.110.00",""
"MOBILELITE","3","b89fef39-241c-425c-b659-699998b2951e","17/12/2024 10:25:16","17/12/2024 10:30:04","17/12/2024 10:25:16","17/12/2024 10:30:04","0","","","0","","delete from j1_acaoauto where acao = 703","SO - Android","4.0.120",""
"MOBILELITE","281","7558897a-412b-4aec-bf54-c77c040bbb9a","02/09/2026 10:47:28","02/09/2026 10:48:16","02/09/2026 10:47:28","02/09/2026 10:48:16","0","","","0","","","SO - Android","5.0.15",""
"MOBILELITE","310","f5ebfe0d-95c0-484e-a03a-346cd2176191","01/09/2026 15:56:56","01/09/2026 15:57:21","01/09/2026 15:56:56","01/09/2026 15:57:21","0","","","0","","","SO - Android","5.0.15",""
"MOBILELITE","459","ed2a67e8-a253-4734-8843-d5c1c2716346","27/08/2026 16:16:49","27/08/2026 16:16:59","27/08/2026 16:16:49","27/08/2026 16:16:59","0","","","0","","","SO - Android","5.0.15",""
"MOBILELITE","548","a391b147-d147-48c7-844d-0cef7e6f7dec","02/09/2026 17:19:58","02/09/2026 17:20:06","02/09/2026 17:19:58","02/09/2026 17:20:06","0","","","0","","","SO - Android","5.0.15",""
"MOBILELITE","566","2f2d702a-fe52-412d-a5f1-ea5960cb0f78","02/09/2026 16:51:35","02/09/2026 16:51:45","02/09/2026 16:51:35","02/09/2026 16:51:45","0","","","0","","","SO - Android","5.0.15",""
"MOBILELITE","656","4d1ea347-be64-4157-b258-92663fe0d4a7","02/09/2026 10:16:02","01/04/2026 09:50:51","02/09/2026 10:16:02","01/04/2026 09:50:51","0","","","0","","","SO - Android","4.0.136",""
"MOBILELITE","742","ee5e27d9-4b91-4e4c-a2be-7118bd033a1b","02/09/2026 16:11:10","02/09/2026 16:12:49","02/09/2026 16:11:10","02/09/2026 16:12:49","0","","","0","","","SO - Android","5.0.15",""
"MOBILELITE","755","95cbb935-c094-4189-90d4-c0d13868402a","02/09/2026 11:08:58","02/09/2026 10:00:02","02/09/2026 11:08:58","02/09/2026 10:00:02","0","","","0","","","SO - Android","5.0.15",""
