"SeqAlias","Tabela","SEQ","Origem","LinkStr","LinkNro","DtaAlteracao","UsuAlteracao","ChaveCMPL"
"1","EXT_VEICMARCA","1","SISDIA","DIVERSAS / TODAS","","02/02/2017 19:49:31","VTCCONS",""
"2","EXT_VEICMARCA","2","SISDIA","JOHN DEERE","","02/02/2017 19:49:49","VTCCONS",""
"3","EXT_VEICFAM","4","SISDIA","IMPLEMENTOS NOVOS OM","","02/02/2017 19:49:54","VTCCONS",""
"4","EXT_VEICFAM","8","SISDIA","AMS","","02/02/2017 19:50:16","VTCCONS",""
"5","EXT_VEICFAM","9","SISDIA","COLHEDORA DE CANA","","02/02/2017 19:50:21","VTCCONS",""
"6","EXT_VEICFAM","10","SISDIA","COLHEITADEIRA","","02/02/2017 19:50:28","VTCCONS",""
"7","EXT_VEICFAM","17","SISDIA","PULVERIZADOR","","02/02/2017 19:50:35","VTCCONS",""
"8","EXT_VEICFAM","1","SISDIA","TRATOR 5000","","02/02/2017 19:50:44","VTCCONS",""
"9","EXT_VEICFAM","2","SISDIA","TRATOR 6000","","02/02/2017 19:50:50","VTCCONS",""
"10","EXT_VEICFAM","3","SISDIA","TRATOR 7000","","02/02/2017 19:50:56","VTCCONS",""
"11","EXT_VEICFAM","22","SISDIA","TRATOR 8000","","02/02/2017 19:51:01","VTCCONS",""
"12","EXT_VEICFAM","18","SISDIA","TRATOR JARDIM","","02/02/2017 19:51:06","VTCCONS",""
"13","EXT_VEICMODELO","13","SISDIA","TR5090E CAB","","04/02/2017 15:31:41","VTCCONS",""
"14","EXT_VEICTIPOMAN","1","SISDIA","0","","02/02/2017 20:13:07","VTCCONS",""
"15","EXT_VEICMODELO","15","SISDIA","TR6110J","","04/02/2017 15:31:41","VTCCONS",""
"16","EXT_VEICMODELO","16","SISDIA","TR6125J","","04/02/2017 15:31:41","VTCCONS",""
"17","EXT_VEICMODELO","17","SISDIA","TR6145J","","04/02/2017 15:31:41","VTCCONS",""
"18","EXT_VEICMODELO","18","SISDIA","TR6165J","","04/02/2017 15:31:41","VTCCONS",""
"19","EXT_VEICMODELO","19","SISDIA","TR6180J","","04/02/2017 15:31:41","VTCCONS",""
"20","EXT_VEICMODELO","20","SISDIA","TR7195J","","04/02/2017 15:31:41","VTCCONS",""
"21","EXT_VEICMODELO","21","SISDIA","TR7205J","","04/02/2017 15:31:41","VTCCONS",""
"22","EXT_VEICMODELO","22","SISDIA","TR7210J","","04/02/2017 15:31:41","VTCCONS",""
"23","EXT_VEICMODELO","23","SISDIA","TR7225J","","04/02/2017 15:31:41","VTCCONS",""
"24","EXT_VEICMODELO","24","SISDIA","TR7715","","04/02/2017 15:31:41","VTCCONS",""
