"SeqAplicacao","CodAplicacao","Sistema","Modulo","Descricao","DTALIMITEUSO","TipoAcesso","RegistrarLog","Especial1"
"1","GES1USU01","GLOBAL","SEGURANCA","Manutenção de grupos de usuários","","L","N",""
"2","GES1USU00","GLOBAL","SEGURANCA","Manutenção de usuários","","L","N",""
"3","GES1SIS00","GLOBAL","SEGURANCA","Manutenção de sistemas e módulos","","L","N",""
"4","GES1PRM01","GLOBAL","SEGURANCA","Permissão em Aplicações","","L","N",""
"5","GES1MPM03","GLOBAL","SEGURANCA","Acesso a módulos","","L","N",""
"6","GES2USU01","GLOBAL","SEGURANCA","Relação de usuários","","L","N",""
"7","GES1EMP00","GLOBAL","SEGURANCA","Empresas","","L","N",""
"8","GES1POL01","GLOBAL","SEGURANCA","Políticas de segurança","","L","N",""
"9","GES1APL00","GLOBAL","SEGURANCA","Manutenção de aplicações","","L","N",""
"10","GES1PGB00","GLOBAL","SEGURANCA","Parâmetros Gerais","","L","N",""
"11","PES1PES00","INTERVISION","OPERADOR","Cadastro de pessoas","","L","N",""
"12","IVS1PAR01","INTERVISION","CONFIG","Parâmetros Globais do CRM","","L","N",""
"13","IVS1RES00","INTERVISION","ADMIN","Resultados","","C","N",""
"14","GES4EMP00","GLOBAL","SEGURANCA","Consulta a empresas","","L","N",""
"15","IVS1REC01","INTERVISION","SUPERVISOR","Recursos","","L","N",""
"16","IVS1SPR04","SERVPROCESSO","SETUP","Configuração de processos","","C","N",""
"17","OMN1SPR01","SERVPROCESSO","SETUP","Parâmetros do servidor de processos","","C","N",""
"18","IVS1ATE00","INTERVISION","SUPERVISOR","Informações do usuário como Atendente","","L","N",""
"19","CRM1IMP01","INTERVISION","IMPORT","Parâmetros para leitura de arquivos ","","C","N",""
"20","CRM4IMP00","INTERVISION","IMPORT","Ajuda sobre layout do cabeçalho","","C","N",""
"21","IVS1PR05","SERVPROCESSO","SETUP","CPFs e CNPJs que não unificam","","C","N",""
"22","IVS1CPR00","INTERVISION","ADMIN","Manutenção de modelos de processo","","C","N",""
"23","IVS4PRR00","INTERVISION","SUPERVISOR","Resultados do processo","","C","N",""
"24","CRM1EXT02","INTERVISION","IMPORTEXT","Parâmetros para integração por tabelas EXT","","C","N",""
"25","IVS1AGE01","INTERVISION","CONFIG","Prioridades da agenda","","L","N",""
"26","IVS1ACA00","INTERVISION","ADMIN","Manutenção de Ações","","C","N",""
"27","IVS1CMP00","INTERVISION","ADMIN","Campanhas","","C","N",""
"28","IVS1EVT00","INTERVISION","CONFIG","Manutenção de eventos externos","","C","N",""
"29","IVS1DOC00","INTERVISION","CONFIG","Manutenção de documentos e aplicações","","C","N",""
"30","IVS1GPC00","INTERVISION","CONFIG","Tipos de parâmetros globais","","C","N",""
"31","IVS1EQP00","INTERVISION","SUPERVISOR","Vendedores","","C","N",""
"32","IVS1WFL00","INTERVISION","ADMIN","Workflow","","C","N",""
"33","IVS1FRM00","INTERVISION","SUPERVISOR","Configuração do formulário","","C","N",""
"34","IVS1PRC00","INTERVISION","OPERADOR","Dados do processo","","L","N",""
"35","IVS1PRP00","INTERVISION","CONFIG","Configuração de Propriedades","","L","N",""
"36","IVSATF00","INTERVISION","CONFIG","Atributos fixos","","L","N",""
"37","IVS1MOT00","INTERVISION","ADMIN","Motivo do Contato (Atratividade)","","L","N",""
"38","IVCONTATO","INTERVISION","OPERADOR","Contatos da pessoa","","L","N",""
"39","IVS1TXP00","INTERVISION","SUPERVISOR","Textos padrões (Templates)","","C","N",""
"40","IVS1ATR01","INTERVISION","CONFIG","Atributos","","L","N",""
"41","IVS2HST01","INTERVISION","OPERADOR","Análise Históricos","","L","N",""
"42","IVS3SEL01","INTERVISION","ADMIN","Gerador de seleção de clientes (Data mining)","","C","N",""
"43","GES4EXP00","INTERVISION","SUPERVISOR","Editor de expressões SQL","","L","N",""
"44","GEPES0011","INTERVISION","OPERADOR","Advertências da pessoa","","L","N",""
"45","PES1PES02","INTERVISION","OPERADOR","Endereços adicionais da pessoa","","L","N",""
"46","PES1PES03","INTERVISION","OPERADOR","Endereço da pessoa","","L","N",""
"47","OMN3FON00","INTERVISION","ADMIN","Gera fonética de pessoas","","C","N",""
"48","GES1POL00","GLOBAL","SEGURANCA","Definições das Políticas de Segurança","","C","N",""
"49","GES1POL03","GLOBAL","SEGURANCA","Horários habilitados para acesso","","C","N",""
"50","IVS4ATE00","INTERVISION","OPERADOR","Períodos indisponíveis de ","","C","N",""
"51","IVS2AGE05","INTERVISION","OPERADOR","Relatório de atendimento","","L","N",""
"52","PES4PES03","INTERVISION","OPERADOR","Dados cadastrais complementares da pessoa","","L","N",""
"53","IVS1AGE04","INTERVISION","ADMIN","Conclusão/Exclusão de Agendas","","C","N",""
"54","IVS1ATR03","INTERVISION","CONFIG","Pacotes associados ao atributo","","C","N",""
"55","IVS4PRC01","INTERVISION","OPERADOR","Monitoramento do processo","","L","N",""
"56","IVS1BAC01","INTERVISION","SUPERVISOR","Base de conhecimento","","C","N",""
"57","IVS1PRR00","INTERVISION","CONFIG","Tipos de relacionamento de processos","","C","N",""
"58","IVS1ODY02","INTERVISION","CONFIG","Objetos de SQL dinâmicos associados ","","C","N",""
"59","IVS1ODY00","INTERVISION","CONFIG","Objetos dinâmicos","","C","N",""
"60","IVS1PAR02","INTERVISION","CONFIG","Parâmetros de SMS por empresa","","C","N",""
"61","DCM1TIP01","INTERVISION","CONFIG","Tipos de documentos","","C","N",""
"62","IVS1RES10","INTERVISION","SUPERVISOR","Classes de resultados","","C","N",""
"63","IVS1DMN01","INTERVISION","CONFIG","Parâmetros do Doc Manager","","C","N",""
"64","IVS3AGD03","INTERVISION","SUPERVISOR","Geração de agendas para monitoramento de carteira","","C","N",""
"65","IVS2AGE01","INTERVISION","OPERADOR","Geração de etiquetas e email marketing","","C","N",""
"66","IVS2PRC01","INTERVISION","OPERADOR","Análise de processos em aberto","","L","N",""
"67","IVS1MET01","INTERVISION","ADMIN","Metas ","","C","N",""
"68","IVS1ATE01","INTERVISION","ADMIN","Indisponibilidade de atendentes","","C","N",""
"69","IVS1AGE05","INTERVISION","ADMIN","Transferência de agendas entre atendentes","","C","N",""
"70","IVS1ATB01","INTERVISION","ADMIN","Liberação de atendentes","","C","N",""
"71","IVS4HST02","INTERVISION","ADMIN","Histórico para conclusão em bloco","","L","N",""
"72","OMN3PSM00","INTERVISION","ADMIN","Identifica pessoas similares no banco de dados","","C","N",""
"73","OMN1PSM01","INTERVISION","ADMIN","Analisa pessoas identificadas como similares e uni","","C","N",""
"74","OMN2PSM00","INTERVISION","ADMIN","Relatório de pessoas similares","","C","N",""
"75","IVS1AGE08","INTERVISION","ADMIN","Geração de agendas  com base em uma seleção","","C","N",""
"76","OMN3PES01","INTERVISION","ADMIN","Identifica pessoas similares e unifica","","C","N",""
"77","PES1CID00","INTERVISION","ADMIN","Cadastro de cidades","","C","N",""
"78","IVS2ACA00","INTERVISION","ADMIN","Relação de ações","","C","N",""
"79","IVS1ATR02","INTERVISION","CONFIG","Atributos dos contatos","","L","N",""
"80","IVS1PRD03","INTERVISION","CONFIG","Atributos especiais de produto","","C","N",""
"81","IVS2PRC00","INTERVISION","ADMIN","Configurações dos modelos de processo","","C","N",""
"82","IVS2ACA01","INTERVISION","ADMIN","Ações configuradas com bloqueios por atraso","","C","N",""
"83","IVS2ACA03","INTERVISION","ADMIN","Usuários inativos ligados ao workflow","","C","N",""
"84","IVS2RES00","INTERVISION","ADMIN","Relação de resultados receptivos","","C","N",""
"85","IVS2FRM01","INTERVISION","ADMIN","Relatório de formulários","","C","N",""
"86","IVM1MAT00","INTERVISION","CONFIG","Custeios de materiais","","C","N",""
"87","IVS1AGE13","INTERVISION","ADMIN","Agendamento de contato com aniversáriantes","","C","N",""
"88","IVS3VIS01","INTERVISION","SUPERVISOR","Gerando fluxo para o Microsoft Visio","","C","N",""
"89","IVS3VIS02","INTERVISION","SUPERVISOR","Gerando fluxo para o Microsoft Visio 2007 ou maior","","C","N",""
"90","OMN3PES02","INTERVISION","ADMIN","Corrige endereço das pessoas","","C","N",""
"91","IVS1REF01","INTERVISION","OPERADOR","Refereências de pesquisa","","L","N",""
"92","IVS1AGE15","INTERVISION","OPERADOR","Reagendamento de empresa e atendente","","L","N",""
"93","GES4SEL03","INTERVISION","SUPERVISOR","Cópia de critério de seleção existente","","C","N",""
"94","IVS1PAR03","INTERVISION","CONFIG","Parâmetros de SMTP por empresa","","L","N",""
"95","IVS1PRF01","INTERVISION","SUPERVISOR","Parâmetros especiais por empresa","","C","N",""
"96","IVS1PRF02","INTERVISION","SUPERVISOR","Informações do consultor comercial","","C","N",""
"97","IVS1PRF03","INTERVISION","SUPERVISOR","Formas de pagamento do veículo","","C","N",""
"98","IVM1CST01","INTERVISION","CONFIG","Custeios de materiais","","C","N",""
"99","IVS1JUP01","INTERVISION","CONFIG","Parâmetros de integração Júpiter","","C","N",""
"100","PES4PES02","INTERVISION","OPERADOR","Consulta a versões de alteração de pessoas","","C","N",""
"101","CRM4NFV01","INTERVISION","OPERADOR","Nota fiscal de saída (3.6.21)","","L","N",""
"102","IVS1PRF00","INTERVISION","SUPERVISOR","Parâmetros para ficha de negociação","","C","N",""
"103","IVS1PRD00","INTERVISION","SUPERVISOR","Produtos","","C","N",""
"104","IVSUP012","INTERVISION","ADMIN","Inclusão automática de histórico","","C","N",""
"105","IVS1AGE03","INTERVISION","SUPERVISOR","Agendamento Automático","","C","N",""
"106","QVW4CON11","QVW","SETUP","Ajuda à funções e variáveis internas","","C","N",""
