"Modulo","Descricao","DescRed"
"CRM_M001","CRM Atendente","CRM Atendente"
"CRM_M002","CRM Administrador","CRM Administrador"
"CRM_M003","CRM Supervisor","CRM Supervisor"
"CRM_M004","CRM Configurador","CRM Configurador"
"CRM_M010","Cobrança","Cobrança"
"CRM_M015","Controle de Atividades de Projetos","Atividades de Projet"
"CRM_M040","Fidelidade-Relacionamento","Fidelidade - Matriz"
"CRM_M042","Fidelidade-Acúmulo de Pontos","Fid. Ac.Pontos"
"CRM_M044","Fidelidade-Cupons de Sorteio","Fid. Cupons Sorteio"
"CRM_M051","Juno Mobile CRM","Juno Mobile"
"CRM_M080","Pedido de venda","Pedido de venda"
"CRM_R001","CRM Higienizador","CRM Higienizador"
"CRM_R005","CRM Higienizador","CRM Higienizador"
"CRM_R006","Message Center","Message Center"
"CRM_R007","CRM DataMining","CRM DataMining"
"CRM_R010","Ficha de Negócio para Veículos","Ficha Neg.Veículo"
"CRM_R015","Controle de Atividades de Projetos","Atividades de Projet"
"CRM_R020","Controle de Fones no Procon","Fones Procon"
"CRM_R021","Ficha Cadastral de Pessoas (Veículos)","Ficha Cadastral (Veí"
"CRM_R022","CRM F&I","CRM F&I"
"CRM_R025","Ficha Cadastral de Pessoas","Ficha Cadastral"
"CRM_R040","CRM Gestão de Carteira","CRM Gest. Carteira"
"CRM_R041","CRM GEstão RFV","CRM GEstão RFV"
"CRM_R051","Fidelidade-Relacionamento","Fidelidade - Matriz"
"DMN_M001","Doc Manager","Doc Manager"
"GLB_M000","Segurança","Segurança"
"GLB_M001","Segurança","Segurança"
"QVW_M001","Query Setup","Query Setup"
"QVW_M002","Query Setup","Query Setup"
"QVW_M003","Query Viewer","Query Viewer"
