"Atributo","Lista","UsaFisica","UsaJuridica","LinkExterno","NroAdic","DadoAdic","SeqAtrib","DtaAlteracao"
"AREAATUACAO","Administração","N","S","","","","171","08/03/2018 12:39:00"
"AREAATUACAO","Comercial","N","S","","","","170","08/03/2018 12:39:00"
"AREAATUACAO","Compras","N","S","","","","162","08/03/2018 12:39:00"
"AREAATUACAO","Contabilidade","N","S","","","","166","08/03/2018 12:39:00"
"AREAATUACAO","Financeiro","N","S","","","","165","08/03/2018 12:39:00"
"AREAATUACAO","Gestão de Pessoas","N","S","","","","180","08/03/2018 13:21:00"
"AREAATUACAO","Logística","N","S","","","","168","08/03/2018 12:39:00"
"AREAATUACAO","Marketing","N","S","","","","169","08/03/2018 12:39:00"
"AREAATUACAO","Secret Agricultura","N","S","","","","176","08/03/2018 13:04:00"
"AREAATUACAO","Secret Licitações","N","S","","","","161","08/03/2018 12:39:00"
"AREAATUACAO","Secret Meio Ambiente","N","S","","","","160","08/03/2018 12:39:00"
"AREAATUACAO","Secret Transporte","N","S","","","","179","08/03/2018 13:17:00"
"AREAATUACAO","Secretaria de Obras ","N","S","","","","163","08/03/2018 13:04:00"
"AREAATUACAO","Secretaria Educação","N","S","","","","178","08/03/2018 13:04:00"
"AREAATUACAO","Secretaria Saúde ","N","S","","","","177","08/03/2018 13:04:00"
"AREAATUACAO","TI","N","S","","","","164","08/03/2018 12:39:00"
"ATENDBLOQ","Férias","S","S","","","","63",""
"ATENDBLOQ","Folga","S","S","","","","64",""
"ATENDBLOQ","Licença Maternidade","S","S","","","","65",""
"ATENDBLOQ","Licença Médica","S","S","","","","66",""
"ATENDBLOQ","Licença Paternidade","S","S","","","","67",""
"ATENDBLOQ","Treinamento Externo","S","S","","","","68",""
"ATENDBLOQ","Treinamento Interno","S","S","","","","54",""
"ATENDBLOQ","Visita Externa","S","S","","","","55",""
"ATIVIDADE","Administrador(a)","S","S","","","","29",""
"ATIVIDADE","Aeroporto","S","S","","","","209","19/07/2024 17:37:14"
"ATIVIDADE","Aeroportos","S","S","","","","193","05/09/2019 16:25:32"
"ATIVIDADE","Agroindústria","N","S","","","","37",""
"ATIVIDADE","Agronegócio","S","S","","","","194","05/09/2019 16:32:51"
"ATIVIDADE","Agropecuária","N","S","","","","38",""
"ATIVIDADE","Associação","N","S","","","","69",""
"ATIVIDADE","Bancos","N","S","","","","39",""
"ATIVIDADE","Citricultor(a)","S","S","","","","36",""
"ATIVIDADE","Comprador(a)","S","S","","","","31",""
"ATIVIDADE","Construtora","S","S","","","","195","19/07/2024 17:40:36"
"ATIVIDADE","Consturtora","N","S","","","","202","05/09/2019 16:32:51"
"ATIVIDADE","Contador(a)","S","S","","","","32",""
"ATIVIDADE","Cooperado(a)","S","S","","","","41",""
"ATIVIDADE","Diretor(a)","S","S","","","","33",""
"ATIVIDADE","Economista","S","S","","","","70",""
"ATIVIDADE","Empresário(a)","S","S","","","","27",""
"ATIVIDADE","Engenheiro Agrônomo","S","S","","","","71",""
"ATIVIDADE","Fazendeiro(a)","S","S","","","","28",""
"ATIVIDADE","Financeira","S","S","","","","207","19/07/2024 17:40:37"
