"CodAplicacao","NroEmpresa","Campo","SeqUsuario","Permissao","UsuAlteracao","DtaAlteracao"
"IVS7HST01","1","pbtCientes","3","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","14","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","16","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","21","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","182","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","222","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","226","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","241","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","242","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","248","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","255","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","271","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","272","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","278","1","VTCCONS","12/01/2012 17:42:04"
"IVS7HST01","1","pbtCientes","287","1","VTCCONS","12/01/2012 17:42:04"
"PES1PES00","0","dfnLatitude","679","9","NETO.PRADO","02/07/2024 14:58:36"
"PES1PES00","0","dfnLongitude","679","9","NETO.PRADO","02/07/2024 14:58:46"
