"Tabela","Coluna","TipoDado","Descricao","Instrucoes","IndExigido"
"GE_BAIRRO","BAIRRO","string","Bairro","",""
"GE_BAIRRO","SEQBAIRRO","int?","Sequencial do Bairro","",""
"GE_BAIRRO","SEQCIDADE","int?","Sequencia da Cidade","",""
"GE_CIDADE","CEPFINAL","string","Cep Final","",""
"GE_CIDADE","CEPINICIAL","string","Cep Inicial","",""
"GE_CIDADE","CIDADE","string","Cidade","",""
"GE_CIDADE","DDD","string","DDD","",""
"GE_CIDADE","DESCFERIADO1","string","Descrição do Feriado 1","",""
"GE_CIDADE","DESCFERIADO2","string","Descrição do Feriado 2","",""
"GE_CIDADE","DTAALTERACAO","DateTime?","Data de alteração","",""
"GE_CIDADE","DTAANIVERSARIO","DateTime?","Data do Aniversário","",""
"GE_CIDADE","DTAFERIADO1","DateTime?","Data do Feriado 1","",""
"GE_CIDADE","DTAFERIADO2","DateTime?","Data do Feriado 2","",""
"GE_CIDADE","EXGBAIRRO","string","Exige Bairro","",""
"GE_CIDADE","EXGLOGRADOURO","string","Exige Logradouro","",""
"GE_CIDADE","PAIS","string","País","",""
"GE_CIDADE","POPULACAO","int?","População","",""
"GE_CIDADE","REGIAO","string","Região","",""
"GE_CIDADE","SEQCIDADE","int?","Sequencial da Cidade","",""
"GE_CIDADE","UF","string","UF","",""
"GE_CIDADE","USUALTERACAO","string","Usuário de alteração","",""
"GE_CONTATO","AREAATUACAO","string","Area de Atuação","",""
"GE_CONTATO","ATRIBDTA","DateTime?","Atributo data","",""
"GE_CONTATO","ATRIBNUM","decimal?","Atributo numérico","",""
"GE_CONTATO","ATRIBUTO1","string","Atributo 1","",""
"GE_CONTATO","ATRIBUTO2","string","Atributo 2","",""
"GE_CONTATO","ATRIBUTO3","string","Atributo 3","",""
"GE_CONTATO","CONTATO","string","Contato","",""
"GE_CONTATO","CPF","int?","Cpf","",""
"GE_CONTATO","DIGCPF","int?","Dígito do Cpf","",""
