"NroEmpresa","EmUso","Fantasia","RazaoSocial","NomeReduzido","Endereco","EnderecoNRO","Bairro","Cep","Cidade","Estado","InscrEstadual","InscrMunicipal","OutraInscricao","Pais","NroCGC","DigCGC","FoneNro","FaxDDD","FaxNro","ArqLogo","Matriz","DtaAlteracao","email","homepage","UsuAlteracao","EmpSeguranca","Ddd","Fone","Fax","Sigla","FusoHorario","Regional"
"1","1","TRACBEL AGRO - RIBEIRAO PRETO","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA RIB PRET","R MARIO FERREIRA DE ANDRADE,500","1711","JD PATRIACA","14078583","RIBEIRÃO PRETO","SP","582485179114","9368401","","Brasil","32588700001","53","39688080","","","","1","","","","","","16","","","CRPO","0",""
"2","1","TRACBEL AGRO - ARARAQUARA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA ARARAQ","AV ALBERTO BENASSI 3070, Nº 3070","","BANDEIRANTE","14804300","ARARAQUARA","SP","181292425115","10920510","","","32588700002","34","33313355","","","","1","","","","","","16","","","CARQ","0",""
"3","1","TRACBEL AGRO - BARRETOS","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA BARRETOS","ENG NECKER CARVALHO DE CAMARGOS,Nº 2380","","AMERICA","14783080","BARRETOS","SP","204179930116","010619000284","","","32588700003","15","33233300","","","","1","","","","","","17","","","CBAR","0",""
"4","1","TRACBEL AGRO - GUAIRA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA GUAIRA","AV JOSE QUINTINO DOS SANTOS 229","","DESM. SITIO SAO","14790000","GUAÍRA","SP","322079925110","68941031","","","32588700004","4","33320033","","","","1","","","","","","17","","","CGUA","0",""
"5","1","TRACBEL AGRO - ITUVERAVA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA ITUVERAV","AV DR PAULO BORGES DE OLIVEIRA Nº 1086","","JD CRISTINA","14500000","ITUVERAVA","SP","389026503110","","","","32588700005","87","38299400","","","","1","","","","","","16","","","CITU","0",""
"6","0","COLORADO DESATIVADO","COLORADO COMÉRCIO DE MAQUINAS AGRÍCOLAS LTDA","FRANCA","AV WILSON SABIO DE MELLO,2261","","PL IND S BERNAR","14406052","FRANCA","SP","310271180110","59059","","","32588700011","25","37077100","","","","6","","","","","","16","","","CFRA","0",""
"7","1","TRACBEL AGRO - ORLANDIA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA ORLANDIA","AV MARGINAL ESQUERDA, Nº 925","","CENTRO","14620000","ORLANDIA","SP","491099124113","6445","","","32588700007","49","38219600","","","","1","","","","","","16","","","CORL","0",""
"9","1","TRACBEL AGRO - BEBEDOURO","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA BEBEDOUR","M. JOSE CARLOS CAFFER 1000","","DIST. INDUSTRIA","14711318","BEBEDOURO","SP","210001483118","","","","32588700009","0","33451246","17","33451246","","1","","","","","","17","","","CBEB","0",""
"10","1","TRACBEL AGRO - MONTE ALTO","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA M ALTO","AV MARGINAL ITALO FANFREDI, Nº 101","","JD DAS NACOES","","MONTE ALTO","SP","461001400114","","","","32588700010","44","32427694","","","","1","","","","","","16","","","CMAL","0",""
"11","1","TRACBEL AGRO - FRANCA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA FRANCA","AV WILSON SABIO DE MELLO, Nº 2261","","PL IND S BERNAR","14406052","FRANCA","SP","310271180110","59059","","","32588700011","25","37077100","","","","1","","","","","","16","","","CFRA","0",""
"12","1","TRACBEL AGRO - ITAPOLIS","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA ITAPOLIS","RUA RIO DE JANEIRO, Nº 520","","","14900000","ITAPOLIS","SP","375039110110","","","","32588700012","6","32626280","","","","1","","","","","","16","","","CITA","0",""
"13","1","TRACBEL AGRO - S. J. RIO PRETO","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA SJRP","AV ALFREDO FOLCHINI, Nº 688.","","JOCKEY CLUBE","15081500","SÃO JOSÉ DO RIO PRETO","SP","647529100110","1446360","","","95073710001","39","33551300","","","","1","","","","","","17","","","SJRP","0",""
"14","1","TRACBEL AGRO - CATANDUVA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA CATANDUV","RUA BARAUNA, Nº 151","","AEROPORTO","15812100","CATANDUVA","SP","260.177.682.111","","","","95073710002","10","35312600","","","","1","","","","","","17","","","CTDV","0",""
"15","1","TRACBEL AGRO - JALES","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA JALES","RUA AUREO FERNANDES FARIAS Nº 1855","","DIS. INDUSTRIAL","15708000","JALES","SP","396.129.049.115","19399","","","95073710003","9","36220800","","","","1","","","","","","17","","","JALE","0",""
"16","1","TRACBEL AGRO - VOTUPORANGA","TRACBEL AGRO COM. DE MAQUINAS AGRICOLAS","TBA VOTUPORA","AV JOSE MARAO FILHO Nº 5106","","VILA LIONS","15502045","","","718.063.640.112","","","","95073710004","81","34268500","","","","1","","","","","","17","","","VOTU","0",""
