"Modulo","Descricao","Tpac","Vers","Datu","CHKSUM","SISTEMAGE","MODULOGE","TIPO"
"CRM_H011","Auditoria de agenda","","","29/04/2026 09:18:33","2873","","","H"
"CRM_H030","Visualizador de Notas Fiscais","","","29/04/2026 09:18:33","2879","","","H"
"CRM_H031","Visualizador de Pedidos","","","29/04/2026 09:18:33","2887","","","H"
"CRM_H034","Visualizador de Ordens de Serviço","","","29/04/2026 09:18:33","2911","","","H"
"CRM_M001","Vórtico CRM Atendente","","","29/04/2026 09:18:33","11100","INTERVISION","OPERADOR","M"
"CRM_M002","Vórtico CRM Administrador","","","29/04/2026 09:18:33","7331","INTERVISION","ADMIN","M"
"CRM_M003","Vórtico CRM Supervisor","","","29/04/2026 09:18:33","14539","INTERVISION","SUPERVISOR","M"
"CRM_M004","Vórtico CRM Configurador","","","29/04/2026 09:18:33","8456","INTERVISION","CONFIG","M"
"CRM_M006","Vórtico Workflow Modeler","","","29/04/2026 09:18:33","9758","VORTICO","MODELER","M"
"CRM_M007","Vórtico Config RD Station","","","29/04/2026 09:18:33","10928","VORTICO","RDCONFIG","M"
"CRM_M010","Cobrança","","","29/04/2026 09:18:33","10636","INTERVISION","COBRANCA","M"
"CRM_M020","Vórtico Web CRM","","","29/04/2026 09:18:33","8551","VORTICO","WEBCRM","M"
"CRM_M021","Vortico OUT CRM","","","29/04/2026 09:18:33","8845","VORTICO","OUTCRM","M"
"CRM_M050","JUPITER Control Center","","","29/04/2026 09:18:33","2963","","","M"
"CRM_M051","JUNO Mobile CRM","","","29/04/2026 09:18:33","6601","INTERVISION","JUNO","M"
"CRM_M052","Mobile Lite CRM","","","29/04/2026 09:18:33","13766","INTERVISION","MOBILELITE","M"
"CRM_M100","Vórtico CRM BPM 2025","","","29/04/2026 09:18:33","10019","VORTICO","VORTICO","M"
"CRM_M110","Vórtico Painel de Controle 2025","","","29/04/2026 09:18:33","13892","VORTICO","PAINELCTRL","M"
"CRM_R001","Higenizador e Loc. Duplicado","","","29/04/2026 09:18:33","3006","","","R"
"CRM_R002","Vórtico CRM Advanced **","","","29/04/2026 09:18:33","3014","","","R"
"CRM_R006","Message Center","","","29/04/2026 09:18:33","3046","","","R"
"CRM_R007","Gerador de Seleção de Pessoas","","","29/04/2026 09:18:33","3054","","","R"
"CRM_R031","CRM Integra EXT/Recebimento","","","29/04/2026 09:18:33","3027","","","R"
"CRM_R032","CRM Import/Importação de Pessoas","","","29/04/2026 09:18:33","2297","",""," "
"CRM_R040","Carteira de Clientes","","","29/04/2026 09:18:33","3026","","","R"
"DMN_M001","Doc Manager (Recurso)","","","29/04/2026 09:18:33","2930","","","M"
"GLB_M000","Global Segurança","","","29/04/2026 09:18:33","12141","GLOBAL","SEGURANCA","M"
"QLV_QSENSE","Qlik Sense","","","29/04/2026 09:18:33","5165","","","M"
"QVW_M001","Query Builder","","","29/04/2026 09:18:33","9766","QVW","BUILDER","M"
"QVW_M002","Query Setup","","","29/04/2026 09:18:33","7802","QVW","SETUP","M"
"QVW_M003","Query Viewer","","","29/04/2026 09:18:33","8818","QVW","VIEWER","M"
"VRTC_LIVRE","Todos os módulos gratuítos","","","29/04/2026 09:18:33","5230","","R"," "
