"Sistema","Modulo","Descricao","SiglaModulo","TipoAcesso","Versao","CHKSUM","TIPO"
"DMN","CONFIG","Módulo indefinido CONFIG","VRTC_LIVRE","C","4.04.01r01","17785","M"
"GLOBAL","IMPORTADORAGDSDI","Módulo GLOBAL / IMPORTADORAGDSDI","VRTC_LIVRE","C","4.03.01r01","45472","M"
"GLOBAL","OPERADOR","Módulo GLOBAL / OPERADOR","VRTC_LIVRE","C","4.01.01r43","27050","M"
"GLOBAL","RUNGEPIMPORT","Módulo GLOBAL / RUNGEPIMPORT","VRTC_LIVRE","C","4.04.01r01","36268","M"
"GLOBAL","RUNIMPORTIMP","Módulo GLOBAL / RUNIMPORTIMP","VRTC_LIVRE","C","4.04.01r05","36331","M"
"GLOBAL","RUNMOVOUT","Vortico CRM / Run Mov OUT","VRTC_LIVRE","C","4.04.01r01","29758","M"
"GLOBAL","SEGURANCA","Contrôle de segurança global","GLB_M000","C","4.04.01r05","22398","M"
"GLOBAL","TALK_USR","Módulo GLOBAL / TALK_USR","VRTC_LIVRE","C","4.04.01r01","27544","M"
"GLOBAL","TESTESMS","Módulo GLOBAL / TESTESMS","VRTC_LIVRE","C","3.7.00","27355","M"
"GT","ADMIN","[GT]/[ADMIN]","VRTC_LIVRE","C","4.04","14672","M"
"INTEGRADOR","IMPORTADOREXT","Módulo INTEGRADOR / IMPORTADOREXT","VRTC_LIVRE","C","3.90.00","49069","M"
"INTERVISION","ADMIN","Vórtico CRM Administrador","CRM_M002","C","4.04.01r16","24880","M"
"INTERVISION","COBRANCA","Módulo INTERVISION / COBRANCA","CRM_M010","C","4.04.01r02","30623","M"
"INTERVISION","CONFIG","Vórtico CRM Configurador","CRM_M004","C","4.04.01r18","26881","M"
"INTERVISION","ESTOQVEIC","Módulo INTERVISION / ESTOQVEIC","VRTC_LIVRE","C","4.04.01r01","41027","M"
"INTERVISION","IMPORT","Módulo INTERVISION / IMPORT","VRTC_LIVRE","C","4.04.01r01","34122","M"
"INTERVISION","IMPORTADOR","Módulo INTERVISION / IMPORTADOR","VRTC_LIVRE","C","4.04.01r01","43662","M"
"INTERVISION","IMPORTEXT","Módulo INTERVISION / IMPORTEXT","VRTC_LIVRE","C","4.04.01r01","41548","M"
"INTERVISION","JUNO","JUNO Mobile CRM","CRM_M051","P","4.04.01r01","23776","M"
"INTERVISION","MIGRACAO","Módulo INTERVISION / MIGRACAO","VRTC_LIVRE","C","4.04.01r01","38035","M"
"INTERVISION","MOBILELITE","Mobile Lite CRM","CRM_M052","P","4.04.01r01","36008","M"
"INTERVISION","OPERADOR","Vórtico CRM Atendente","CRM_M001","C","4.04.01r15","31192","M"
"INTERVISION","PREMIUM","Vórtico CRM Premium","VRTC_LIVRE","C","4.04.01r01","36290","M"
"INTERVISION","PROCONIMP","Módulo INTERVISION / PROCONIMP","VRTC_LIVRE","C","4.04.01r01","41136","M"
"INTERVISION","SDISUPER","Módulo INTERVISION / SDISUPER","VRTC_LIVRE","C","4.04.01r01","38755","M"
"INTERVISION","SUPERVISOR","Vórtico CRM Supervisor","CRM_M003","C","4.04.01r17","36487","M"
"JUNO","WS","MóduloSistema[JUNO]/[WS]","VRTC_LIVRE","C","4.04","13380","M"
"QUERYVIEW","ADMIN","Módulo indefinido ADMIN","VRTC_LIVRE","C","4.03.01r01","27161","M"
"QUERYVIEW","VIEWER","Módulo indefinido VIEWER","VRTC_LIVRE","C","4.03.01r01","29560","M"
"QVW","BUILDER","Query Builder","QVW_M001","P","4.03.01r01","15223","M"
"QVW","EXEC","Vortico CRM / Query Exec","VRTC_LIVRE","L","4.04.01r01","14872","M"
"QVW","RUN","Módulo QVW / RUN","VRTC_LIVRE","C","4.04.01r01","13388","M"
"QVW","SETUP","Módulo QVW / SETUP","QVW_M002","C","4.04.01r01","12334","M"
"QVW","VIEWER","Módulo QVW / VIEWER","QVW_M003","C","4.04.01r01","13673","M"
"SERVPROCESSO","ADMIN","Módulo SERVPROCESSO / ADMIN","VRTC_LIVRE","C","4.04.01r01","33587","M"
"SERVPROCESSO","SERVIDOR","Servidor de processos","VRTC_LIVRE","C","4.04.01r11","41230","M"
"SERVPROCESSO","SETUP","Módulo SERVPROCESSO / SETUP","VRTC_LIVRE","C","4.04.01r01","34166","M"
"Vortico","Admin","MóduloSistema[Vortico]/[Admin]","VRTC_LIVRE","C","4.04.01r01","25312","M"
"VORTICO","ADMINNT","[VORTICO]/[ADMINNT]","VRTC_LIVRE","C","4.04.01r01","27182","M"
"VORTICO","BIASSIST","Módulo VORTICO / BIASSIST","VRTC_LIVRE","C","4.04.01r01","29410","M"
"VORTICO","MODELER","Módulo VORTICO / MODELER","CRM_M006","C","4.04.01r03","21213","M"
"VORTICO","OUTCRM","Vortico OUT CRM","CRM_M021","P","","19978","M"
"VORTICO","PAINELCTRL","Vórtico Painel de Controle 2025","CRM_M110","P","","27232","M"
"VORTICO","RDCONFIG","Vórtico Config RD Station","CRM_M007","P","","23257","M"
"VORTICO","SERVER","[VORTICO]/[SERVER]","VRTC_LIVRE","C","4.04.01r01","25352","M"
"VORTICO","VORTICO","Vórtico CRM BPM 2025","CRM_M100","P","","21673","M"
"VORTICO","WEBCRM","Vórtico Web CRM","CRM_M020","P","","19697","M"
"ZUMBI","INTEGRADOR","MóduloSistema[ZUMBI]/[INTEGRADOR]","VRTC_LIVRE","C","","29158","M"
