"SeqObjDyn","Aplicativo","Chave","Vf"
"23","ACAOAUTODEST","6280","0"
"24","ACAOAUTODEST","6290","0"
"25","ACAOAUTODEST","6291","0"
"26","ACAOAUTODEST","6283","0"
"27","ACAOAUTODEST","6297","0"
"27","ACAOAUTODEST","6298","0"
"27","ACAOAUTODEST","6302","0"
"33","ACAOAUTODEST","6303","0"
"59","ACAOAUTOCTRL","750","1"
"61","ACAOAUTOCTRL","803","1"
"67","PESSOACAD","1","1"
"69","PERFIL","1","1"
"70","PERFIL","1","1"
"71","PERFIL","1","1"
"72","DETAGENDA","1","1"
"74","PERFIL","1","1"
"74","PESSOACAD","1","1"
"81","ACAOAUTOCTRL","3981","1"
"81","ACAOAUTOCTRL","3982","1"
"84","ACAOAUTOCTRL","3910","1"
"94","ACAOAUTOCTRL","3956","1"
"94","ACAOAUTOCTRL","3957","1"
"94","ACAOAUTOCTRL","3958","1"
"94","ACAOAUTOCTRL","3959","1"
"94","ACAOAUTOCTRL","3960","1"
"98","ACAOAUTOCTRL","2176","0"
"98","ACAOAUTOCTRL","2306","0"
"98","ACAOAUTOCTRL","2308","0"
"98","ACAOAUTOCTRL","2420","1"
"106","ACAOAUTODEST","2364",""
"108","ACAOAUTOCTRL","2931","0"
"109","ACAOAUTOCTRL","2426","1"
"118","ACAOAUTOCTRL","3267","1"
"119","ACAOAUTOCTRL","3265","1"
"120","ACAOAUTOCTRL","3266","1"
"136","ACAOAUTOCTRL","221","0"
"136","ACAOAUTOCTRL","1242","0"
"136","ACAOAUTOCTRL","1243","0"
"136","ACAOAUTOCTRL","1244","0"
"136","ACAOAUTOCTRL","1245","0"
"136","ACAOAUTOCTRL","1246","0"
"136","ACAOAUTOCTRL","1247","0"
"136","ACAOAUTOCTRL","1248","0"
"136","ACAOAUTOCTRL","1249","0"
"136","ACAOAUTOCTRL","1250","0"
"137","ACAOAUTOCTRL","2792","0"
"137","ACAOAUTOCTRL","2794","0"
"137","ACAOAUTOCTRL","2795","0"
"137","ACAOAUTOCTRL","2796","0"
"137","ACAOAUTOCTRL","2797","0"
"137","ACAOAUTOCTRL","2798","0"
"137","ACAOAUTOCTRL","2799","0"
"137","ACAOAUTOCTRL","2800","0"
"137","ACAOAUTOCTRL","2801","0"
"151","ACAOAUTOCTRL","3212","1"
"151","ACAOAUTOCTRL","3214","1"
"153","ACAOAUTOCTRL","3309","1"
"153","ACAOAUTOCTRL","3311","1"
"153","ACAOAUTOCTRL","3315","1"
"153","ACAOAUTOCTRL","3316","1"
"153","ACAOAUTOCTRL","3328","1"
"167","ACAOAUTOCTRL","9401","1"
"193","ACAOAUTOCTRL","4153","1"
"200","ACAOAUTOCTRL","3961","1"
"200","ACAOAUTOCTRL","3962","1"
"201","ACAOAUTOCTRL","4599","1"
"205","ACAOAUTOCTRL","5009","1"
"205","ACAOAUTOCTRL","5010","1"
"206","ACAOAUTOCTRL","5012","1"
"206","ACAOAUTOCTRL","5013","1"
"208","ACAOAUTODEST","6349",""
"209","ACAOAUTODEST","6350",""
"210","ACAOAUTODEST","6348",""
"211","ACAOAUTODEST","6328",""
"211","ACAOAUTODEST","6538",""
"211","ACAOAUTODEST","6545",""
"211","ACAOAUTODEST","7413",""
"211","ACAOAUTODEST","7418",""
"211","ACAOAUTODEST","8974","0"
"212","ACAOAUTODEST","2620","0"
"212","ACAOAUTODEST","2633",""
"212","ACAOAUTODEST","3329","0"
"212","ACAOAUTODEST","7372",""
"212","ACAOAUTODEST","7414",""
"212","ACAOAUTODEST","8975","0"
"212","ACAOAUTODEST","9394","0"
"213","ACAOAUTODEST","4903","0"
"213","ACAOAUTODEST","4919","0"
"213","ACAOAUTODEST","6345",""
"213","ACAOAUTODEST","6544",""
"213","ACAOAUTODEST","6546",""
"213","ACAOAUTODEST","7550","0"
"214","ACAOAUTODEST","3327","0"
"214","ACAOAUTODEST","6329",""
"214","ACAOAUTODEST","6539",""
"214","ACAOAUTODEST","8976","0"
"214","ACAOAUTODEST","9395","0"
"216","ACAOAUTODEST","8319","0"
"216","ACAOAUTODEST","8320","0"
"216","ACAOAUTODEST","8338","0"
"216","ACAOAUTODEST","8390","0"
"216","ACAOAUTODEST","8391","0"
"216","ACAOAUTODEST","8496","0"
"216","ACAOAUTODEST","8711","0"
"216","ACAOAUTODEST","8712","0"
"216","ACAOAUTODEST","8762","0"
"216","ACAOAUTODEST","8763","0"
"216","ACAOAUTODEST","8797","0"
"216","ACAOAUTODEST","8798","0"
"216","ACAOAUTODEST","8935","0"
"216","ACAOAUTODEST","8978","0"
"217","ACAOAUTODEST","6305",""
"217","ACAOAUTODEST","7415",""
"217","ACAOAUTODEST","7416",""
"217","ACAOAUTODEST","7419",""
"217","ACAOAUTODEST","8893","0"
"218","ACAOAUTODEST","3611","0"
"218","ACAOAUTODEST","6346",""
"219","ACAOAUTOCTRL","8835","1"
"220","ACAOAUTOCTRL","9329","1"
"221","ACAOAUTOCTRL","9400","1"
"225","ACAOAUTOCTRL","9436","1"
"236","ACAOAUTOCTRL","9617","1"
"236","ACAOAUTOCTRL","9622","1"
