"SeqObjDyn","Tipo","TipoRetorno","Descricao","MensInicial","MensFalso","MensVerdadeiro","Uso","Conexao","BancoDados","Usuario","DBVersion","Comando","UsoJuncaoPessoa","UsoPessoa","UsoProcesso","UsoAgenda","UsoHistorico","UsoAcao","UsoResultado","UsoReqResultado","UsoResultadoCmpl","UsoWorkFlow","DtaAlteracao","UsuAlteracao","USOMSGCENTER","ChkSum","USOMSGCTRSMS"
"1","TESTE","","Fin_Probabilidade Aprovação Crédito","Não preenchido *Probabilidade Aprovação Crédito*","Dispensa *Probabilidade Aprovação Crédito*","Não preenchido *Probabilidade Aprovação Crédito*","Fin_Probabilidade Aprovação Crédito","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM  IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.PROB_APROV_CRED1 IS NOT NULL
","0","0","0","1","0","","","1","0","0","19/12/2014 00:00:00","VTCCONS","0","",""
"2","TESTE","","Fin_Nro Chassi","Não preenchido *Nro Chassi*","Dispensa *Nro Chassi*","Não preenchido *Nro Chassi*","Fin_Nro Chassi","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ISNULL (ACV.NRO_CHASSI1, '') <> ''
AND RTRIM (ACV.NRO_CHASSI1) <> ''","0","0","0","1","0","","","1","0","0","24/04/2019 00:00:00","VTCCONS","0","",""
"3","TESTE","","Fin_Valor Recurso Próprio","Não preenchido *Valor Recurso Próprio*","Dispensa *Valor Recurso Próprio*","Não preenchido *Valor Recurso Próprio*","Fin_Valor Recurso Próprio","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANHAMENTO_VENDA ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.VLR_REC_PROPRIO IS NOT NULL
","0","0","0","1","0","","","1","0","0","09/12/2012 00:00:00","VTCCONS","0","",""
"4","TESTE","","Fin_Origem do Faturamento","Não preenchido *Origem do Faturamento*","Não preenchido *Origem do Faturamento* no formulario Acompanhamento de Vendas.","Dispensa *Origem do Faturamento*","Fin_Origem do Faturamento","","","","","SELECT COUNT (*) into :vnIgualZero
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.ORIGEM_FATURAMENTO IS NOT NULL
","0","0","0","1","0","","","1","0","0","17/08/2015 00:00:00","VTCCONS","0","",""
"5","TESTE","","Fin_Data Prevista de Faturamento","Não preenchido *Data Prevista de Faturamento*","Dispensa *Data Prevista de Faturamento* no formulario Acompanhamento de Vendas.","Não preenchido *Data Prevista de Faturamento*","Fin_Data Prevista de Faturamento","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.PREV_FATURAM1 IS NOT NULL
","0","0","0","1","0","","","1","0","0","17/08/2015 00:00:00","VTCCONS","0","",""
"6","TESTE","","Fin_Instituição Financeira","Não preenchido *Instituição Financeira*","Dispensa *Instituição Financeira*","Não preenchido *Instituição Financeira*","Fin_Instituição Financeira","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANHAMENTO_VENDA ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.INST_FINANCEIRA IS NOT NULL
","0","0","0","1","0","","","1","0","0","09/12/2012 00:00:00","VTCCONS","0","",""
"7","TESTE","","Fin_Agência","Não preenchido *Agência*","Dispensa *Agência*","Não preenchido *Agência*","Fin_Agência","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.NOME_AGENC1 IS NOT NULL

","0","0","0","1","0","","","1","0","0","18/01/2015 00:00:00","VTCCONS","0","",""
"8","TESTE","","Fin_Nro Agência","Não preenchido *Nro Agência*","Dispensa *Nro Agência*","Não preenchido *Nro Agência*","Fin_Nro Agência","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.NRO_AGENC1 IS NOT NULL
","0","0","0","1","0","","","1","0","0","18/01/2015 00:00:00","VTCCONS","0","",""
"9","TESTE","","Fin_Nº Pedido na Fábrica","Não preenchido *Nº Pedido na Fábrica*","Dispensa *Nº Pedido na Fábrica*","Não preenchido *Nº Pedido na Fábrica*","Fin_Nº Pedido na Fábrica","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANHAMENTO_VENDA ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.N__PEDIDO_NA_FABRI IS NOT NULL
","0","0","0","1","0","","","1","0","0","09/12/2012 00:00:00","VTCCONS","0","",""
"10","TESTE","","Fin_Nro PAC","Não preenchido *Nro PAC*","Dispensa *Nro PAC*","Não preenchido *Nro PAC*","Fin_Nro PAC","","","","","SELECT COUNT (*) into :vnDiferenteZero 
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
WHERE ACV.PROCESSO = :vCRMnProcessoAtivo 
AND ACV.NRO_PAC1 IS NOT NULL
","0","0","0","1","0","","","1","0","0","19/12/2014 00:00:00","VTCCONS","0","",""
