"CODAPLICACAO","CHAVEAPLICACAO","NROEMPRESA","SEQPOLSEG","PERMISSAO"
"ATFX_FORMACTTO","6","0","0","32"
"ATFX_FORMACTTO","6","0","1","32"
"ATFX_FORMACTTO","6","0","2","8"
"ATFX_FORMACTTO","6","0","3","8"
"ATFX_FORMACTTO","6","0","4","32"
"ATFX_FORMACTTO","7","0","0","8"
"ATFX_FORMACTTO","7","0","1","32"
"ATFX_FORMACTTO","7","0","2","8"
"ATFX_FORMACTTO","7","0","3","8"
"ATFX_FORMACTTO","7","0","4","8"
"ATFX_FORMACTTO","8","0","0","8"
"ATFX_FORMACTTO","8","0","1","32"
"ATFX_FORMACTTO","8","0","2","8"
"ATFX_FORMACTTO","8","0","3","8"
"ATFX_FORMACTTO","8","0","4","32"
"ATFX_FORMACTTO","9","0","0","8"
"ATFX_FORMACTTO","9","0","1","32"
"ATFX_FORMACTTO","9","0","2","8"
"ATFX_FORMACTTO","9","0","3","8"
"ATFX_FORMACTTO","9","0","4","32"
"ATFX_FORMACTTO","76","0","1","32"
"ATFX_FORMACTTO","76","0","2","8"
"ATFX_FORMACTTO","76","0","3","16"
"ATFX_FORMACTTO","76","0","4","32"
"ATFX_FORMACTTO","140","0","0","32"
"ATFX_FORMACTTO","140","0","1","32"
"ATFX_FORMACTTO","140","0","2","8"
"ATFX_FORMACTTO","140","0","3","8"
"ATFX_FORMACTTO","140","0","4","32"
"ATFX_FORMACTTO","147","0","0","8"
"ATFX_FORMACTTO","147","0","1","32"
"ATFX_FORMACTTO","147","0","2","8"
"ATFX_FORMACTTO","147","0","3","8"
"ATFX_FORMACTTO","147","0","4","32"
"ATFX_FORMACTTO","148","0","0","32"
"ATFX_FORMACTTO","148","0","1","32"
"ATFX_FORMACTTO","148","0","2","8"
"ATFX_FORMACTTO","148","0","3","16"
"ATFX_FORMACTTO","148","0","4","32"
"ATFX_FORMACTTO","181","0","0","8"
"ATFX_FORMACTTO","181","0","1","32"
"ATFX_FORMACTTO","181","0","2","8"
"ATFX_FORMACTTO","181","0","3","8"
"ATFX_FORMACTTO","181","0","4","32"
"ATFX_FORMACTTO","182","0","0","8"
"ATFX_FORMACTTO","182","0","1","32"
"ATFX_FORMACTTO","182","0","2","8"
"ATFX_FORMACTTO","182","0","3","8"
"ATFX_FORMACTTO","182","0","4","32"
"ATFX_FORMACTTO","183","0","0","8"
"ATFX_FORMACTTO","183","0","1","32"
"ATFX_FORMACTTO","183","0","2","8"
"ATFX_FORMACTTO","183","0","3","8"
"ATFX_FORMACTTO","183","0","4","32"
"ATFX_FORMACTTO","184","0","0","8"
"ATFX_FORMACTTO","184","0","1","32"
"ATFX_FORMACTTO","184","0","2","8"
"ATFX_FORMACTTO","184","0","3","8"
"ATFX_FORMACTTO","184","0","4","32"
"ATFX_FORMACTTO","185","0","0","8"
"ATFX_FORMACTTO","185","0","1","32"
"ATFX_FORMACTTO","185","0","2","8"
"ATFX_FORMACTTO","185","0","3","8"
"ATFX_FORMACTTO","185","0","4","32"
"ATFX_FORMACTTO","208","0","0","8"
"ATFX_FORMACTTO","208","0","1","32"
"ATFX_FORMACTTO","208","0","2","8"
"ATFX_FORMACTTO","208","0","3","8"
"ATFX_FORMACTTO","208","0","4","32"
"ATFX_FORMACTTO","215","0","0","8"
"ATFX_FORMACTTO","215","0","1","32"
"ATFX_FORMACTTO","215","0","2","8"
"ATFX_FORMACTTO","215","0","3","8"
"ATFX_FORMACTTO","215","0","4","32"
"ATFX_FORMACTTO","217","0","0","8"
"ATFX_FORMACTTO","217","0","1","32"
"ATFX_FORMACTTO","217","0","2","8"
"ATFX_FORMACTTO","217","0","3","8"
"ATFX_FORMACTTO","217","0","4","32"
"ATFX_FORMACTTO","218","0","0","8"
"ATFX_FORMACTTO","218","0","1","32"
"ATFX_FORMACTTO","218","0","2","8"
"ATFX_FORMACTTO","218","0","3","8"
"ATFX_FORMACTTO","218","0","4","32"
"ATFX_GRUPO","206","0","2","8"
"ATFX_GRUPO","206","0","3","8"
"ATFX_GRUPO","206","0","4","8"
"ATFX_GRUPO","206","0","6","8"
"ATFX_GRUPO","206","0","7","8"
"ATFX_GRUPO","206","0","8","8"
"ATFX_GRUPO","206","0","9","8"
"ATFX_PAPELCTT","57","0","0","8"
"ATFX_PAPELCTT","57","0","2","32"
"ATFX_PAPELCTT","57","0","3","32"
"ATFX_PAPELCTT","57","0","4","32"
"ATFX_PAPELCTT","59","0","0","8"
"ATFX_PAPELCTT","59","0","2","32"
"ATFX_PAPELCTT","59","0","3","32"
"ATFX_PAPELCTT","59","0","4","32"
"ATFX_PAPELCTT","60","0","0","8"
"ATFX_PAPELCTT","60","0","2","32"
"ATFX_PAPELCTT","60","0","3","32"
"ATFX_PAPELCTT","60","0","4","32"
"ATFX_PAPELCTT","61","0","0","8"
"ATFX_PAPELCTT","61","0","2","32"
"ATFX_PAPELCTT","61","0","3","32"
"ATFX_PAPELCTT","61","0","4","32"
"ATFX_PAPELCTT","62","0","0","32"
"ATFX_PAPELCTT","62","0","2","32"
"ATFX_PAPELCTT","62","0","3","32"
"ATFX_PAPELCTT","62","0","4","32"
"ATFX_PAPELCTT","119","0","0","8"
"ATFX_PAPELCTT","119","0","2","32"
"ATFX_PAPELCTT","119","0","3","32"
"ATFX_PAPELCTT","119","0","4","32"
"ATFX_PAPELCTT","133","0","0","8"
"ATFX_PAPELCTT","148","0","0","8"
"ATFX_PAPELCTT","149","0","0","8"
"ATFX_PAPELCTT","186","0","0","32"
