"SeqAplicacao","SeqUsuario","NroEmpresa","Executar","Incluir","Alterar","Excluir","RegistrarLog","Verimpressao","Exportar","Imprimir"
"0","1","1","S","S","N","N","N"," "," ","N"
"0","241","1","S","N","N","N","N"," ","S","S"
"0","290","1","S","S","S","S","N","S","S","S"
"0","410","1","S","N","N","N","N"," ","S","S"
"0","431","1","S","N","N","N","N"," ","S","S"
"0","448","1","S","S","S","S","N","S","S","S"
"0","530","1","S","N","N","N","N"," ","S","S"
"0","552","1","S","N","N","N","N","S","S","S"
"0","564","1","S","N","N","N","N","S","S","S"
"11","1","1","S","S","S","N","N"," "," "," "
"11","1","2","S","S","S","N","N"," "," "," "
"11","1","3","S","S","S","N","N"," "," "," "
"11","1","4","S","S","S","N","N"," "," "," "
"11","1","7","S","S","S","N","N"," "," "," "
"11","1","11","S","S","S","N","N"," "," "," "
"11","1","891","S","S","S","N","N","S","S","S"
"11","290","2","S","S","S","S","N","S","S","S"
"11","290","3","S","S","S","S","N","S","S","S"
"11","290","4","S","S","S","S","N","S","S","S"
"11","290","7","S","S","S","S","N","S","S","S"
"11","290","11","S","S","S","S","N","S","S","S"
"13","255","1","S","S","S","S","N","S","S","S"
"18","290","1","S","S","S","N","N"," "," "," "
"22","255","1","S","S","S","S","N","S","S","S"
"26","255","1","S","S","S","S","N","S","S","S"
"27","255","1","S","S","S","S","N","S","S","S"
"27","516","1","S","S","S","N","N"," "," "," "
"27","530","1","S","S","S","S","N","N","N","N"
"27","1388","1","S","S","N","N","N","N","N","N"
"30","3","1","S","S","S","S","N","S","S","S"
"30","516","1","S","S","S","S","N","S","S","S"
"31","248","1","S","S","S","S","N","S","S","S"
"32","255","1","S","S","S","S","N","S","S","S"
"32","516","1","S","N","N","N","N"," "," "," "
"32","530","1","S","S","S","S","N","N","N","N"
"33","248","2","S","S","S","S","N","S","S","S"
"34","1","2","S","S","S","N","N"," "," "," "
"37","255","1","S","S","S","S","N","S","S","S"
"38","1","1","S","S","S","N","N"," "," "," "
"38","1","2","S","S","S","S","N"," "," "," "
"38","3","1","S","S","S","S","N","S","S","S"
"38","290","1","S","S","S","S","N","S","S","S"
"39","248","1","S","S","S","S","N","S","S","S"
"41","1","2","S","N","N","N","N","S","S","S"
"41","1","4","S","N","N","N","N"," "," "," "
"41","1","7","S","N","N","N","N"," "," "," "
"41","8","1","S","S","S","S","N","S","S","S"
"41","9","1","S","S","S","S","N","S","S","S"
"41","10","1","S","S","S","S","N","S","S","S"
"41","11","1","S","S","S","S","N","S","S","S"
"41","12","1","S","S","S","S","N","S","S","S"
"41","13","1","S","S","S","S","N","S","S","S"
"41","127","11","S","N","N","N","N"," "," "," "
"41","181","3","S","S","S","N","N","S"," ","S"
"41","241","1","S","S","S","S","N","S","S","S"
"41","242","1","S","S","S","S","N","S","S","S"
"41","243","1","S","S","S","S","N","S","S","S"
"41","244","1","S","S","S","S","N","S","S","S"
"41","245","1","S","S","S","S","N","S","S","S"
"41","246","1","S","S","S","S","N","S","S","S"
"41","246","7","S","N","N","N","N"," "," "," "
"41","247","1","S","S","S","S","N","S","S","S"
"41","247","7","S","N","N","N","N"," "," "," "
"41","271","1","S","S","S","S","N","S","S","S"
"41","272","1","S","S","S","S","N","S","S","S"
"41","273","1","S","S","S","S","N","S","S","S"
"41","274","1","S","S","S","S","N","S","S","S"
"41","275","1","S","S","S","S","N","S","S","S"
"41","276","1","S","S","S","S","N","S","S","S"
"41","278","1","S","S","S","S","N","S","S","S"
"41","290","1","S","S","S","S","N","S","S","S"
"41","449","1","S","S","S","S","N","S","S","S"
"41","516","1","S","S","S","S","N","S","S","S"
"42","255","1","S","S","S","S","N","S","S","S"
"42","516","1","S","S","S","N","N"," "," "," "
