"Seq","Modulo","Item","SeqPolSeg","Str","DtaAlteracao","UsuAlteracao"
"9","CRM_M001","ATD_CT0_10","2","T","25/03/2013 12:19:26","VTCCONS"
"10","CRM_M001","ATD_CT0_20","2","T","25/03/2013 12:19:26","VTCCONS"
"11","CRM_M001","ATD_CT0_22","2","T","25/03/2013 12:19:26","VTCCONS"
"12","CRM_M001","ATD_PRC_20_DEL","2","0","27/03/2013 19:35:51","VTCCONS"
"13","CRM_M001","ATD_PRC_20_DEL","3","1","25/03/2013 12:19:37","VTCCONS"
"14","CRM_M001","ATD_PRC_20_DELALL","2","0","27/03/2013 19:35:51","VTCCONS"
"15","CRM_M001","ATD_PRC_20_DEL","4","1","27/03/2013 19:35:03","VTCCONS"
"16","CRM_M001","ATD_PRC_20_DELALL","4","1","27/03/2013 19:35:03","VTCCONS"
"17","CRM_M001","ATD_CT0_10","0","T","27/03/2013 19:35:20","VTCCONS"
"18","CRM_M001","ATD_CT0_20","0","T","27/03/2013 19:35:20","VTCCONS"
"19","CRM_M001","ATD_CT0_22","0","T","27/03/2013 19:35:20","VTCCONS"
"20","CRM_M001","ATD_AG0_10_REC","0","T","27/03/2013 19:35:20","VTCCONS"
"21","CRM_M001","ATD_PRC_20_DEL","0","1","27/03/2013 19:35:20","VTCCONS"
"22","CRM_M001","ATD_PRC_20_DELALL","0","1","27/03/2013 19:35:20","VTCCONS"
"23","CRM_M001","ATD_PES_10","2","1","27/10/2016 09:57:33","VANESSA.ALVES"
"24","CRM_M001","ATD_PES_11","2","1","09/10/2013 10:45:05","VTCCONS"
"25","CRM_M001","ATD_SGM_20","2","8","05/11/2019 10:29:43","DIEGO.MARQUES"
"26","CRM_M001","ATD_PES_10","4","1","09/10/2013 11:55:24","VTCCONS"
"27","CRM_M001","ATD_PES_11","4","1","09/10/2013 11:55:24","VTCCONS"
"28","CRM_M001","ATD_SGM_20","4","32","31/10/2019 10:11:32","VTCCONS"
"29","CRM_M001","ATD_SGM_20","0","4.0000","14/04/2014 13:57:21","VTCCONS"
"30","CRM_M001","ATD_SGM_20","1","32","22/04/2026 12:14:00","V:NICOLAS"
"31","CRM_M001","ATD_SGM_20","3","16","28/05/2024 13:27:20","NETO.PRADO"
"32","GLB_M001","GLB_USU_10","0","0","16/09/2014 11:49:06","VTCCONS"
