"Modulo","Item","Lista","Nro","Str","CTRLATUALIZACAO"
"CRM_M001","ATD_AG0_08_DTA","Alerta","40","A","0"
"CRM_M001","ATD_AG0_08_DTA","Desconsidera","90","D","0"
"CRM_M001","ATD_AG0_08_DTA","Restringe","0","R","0"
"CRM_M001","ATD_AG0_10_REC","Ele próprio","10","D","0"
"CRM_M001","ATD_AG0_10_REC","Grupo a que pertence","20","G","0"
"CRM_M001","ATD_AG0_10_REC","Não permitido","0","N","0"
"CRM_M001","ATD_AG0_10_REC","Todos","99","T","0"
"CRM_M001","ATD_AG0_20_DLM","Inserir (nova)","8","N","0"
"CRM_M001","ATD_AG0_20_DLM","Inserir/Alterar","16","O","0"
"CRM_M001","ATD_CT0_10","De sua carteira","","C","0"
"CRM_M001","ATD_CT0_10","Não permitido","1","N","0"
"CRM_M001","ATD_CT0_10","Todos","","T","0"
"CRM_M001","ATD_CT0_20"," Totalmente restrito","0","X","0"
"CRM_M001","ATD_CT0_20"," Ver de todos","100","VT","0"
"CRM_M001","ATD_CT0_20","Total acesso","999","T","0"
"CRM_M001","ATD_CT0_20","Ver da sua carteira","200","VC","0"
"CRM_M001","ATD_CT0_20","Ver e alterar da sua carteira","300","AC","0"
"CRM_M001","ATD_CT0_20","Ver todos e alterar da sua carteira","350","VTAC","0"
"CRM_M001","ATD_CT0_22"," Totalmente restrito","0","X","0"
"CRM_M001","ATD_CT0_22"," Ver de todos","100","VT","0"
"CRM_M001","ATD_CT0_22","Total acesso","999","T","0"
"CRM_M001","ATD_CT0_22","Ver da sua carteira","200","VC","0"
"CRM_M001","ATD_CT0_22","Ver e alterar da sua carteira","300","AC","0"
"CRM_M001","ATD_CT0_22","Ver todos e alterar da sua carteira","350","VTAC","0"
"CRM_M001","ATD_PES_30_LNK","Sempre exato","1","1","0"
"CRM_M001","ATD_PES_30_LNK","Sempre parecido","2","0","0"
"CRM_M001","ATD_PES_30_LNK","Usuário decide","0","U","0"
"CRM_M001","ATD_PES_50_VINC","Definir principal","3","","0"
"CRM_M001","ATD_PES_50_VINC","Não permite","0","","0"
"CRM_M001","ATD_PES_50_VINC","Total","6","","0"
"CRM_M001","ATD_PES_70_PROCEMAIL","Somente o selecionado","1","S","0"
"CRM_M001","ATD_PES_70_PROCEMAIL","Todos os processos","2","T","0"
"CRM_M001","ATD_PES_70_PROCEMAIL","Usuário decide","0","D","0"
"CRM_M001","ATD_PRC_30_DLME","Inserir (nova)","8","N","0"
"CRM_M001","ATD_PRC_30_DLME","Inserir/Alterar","16","O","0"
"CRM_M001","ATD_PRC_30_DLME","Total (inclusive original)","256","P","0"
"CRM_M001","ATD_PRC_40_LNK","Alterar","16","O","0"
"CRM_M001","ATD_PRC_40_LNK","Excluir","32","P","0"
"CRM_M001","ATD_PRC_40_LNK","Inserir","8","N","0"
"CRM_M001","ATD_PRC_40_LNK","Visualizar","4","L","0"
"CRM_M001","ATD_SGM_20","Apenas leitura","4","N","0"
"CRM_M001","ATD_SGM_20","Inserir","8","N","0"
"CRM_M001","ATD_SGM_20","Inserir/Alterar","16","N","0"
"CRM_M001","ATD_SGM_20","Inserir/Alterar/Excluir","32","N","0"
"CRM_M001","ATD_TAG_01_HSTI","Associa e cria TAG nova","2","","0"
"CRM_M001","ATD_TAG_01_HSTI","Associa TAG existentes","1","","0"
"CRM_M001","ATD_TAG_01_HSTI","Sem permissão","0","","0"
"CRM_M001","ATD_TAG_01_PRCI","Associa e cria TAG nova","2","","0"
"CRM_M001","ATD_TAG_01_PRCI","Associa TAG existentes","1","","0"
"CRM_M001","ATD_TAG_01_PRCI","Sem permissão","0","","0"
"CRM_M001","ATD_TAG_02_HSTE","Excluir geral","9","","0"
"CRM_M001","ATD_TAG_02_HSTE","Não excluir","0","","0"
"CRM_M001","ATD_TAG_02_PRCE","Excluir geral","9","","0"
"CRM_M001","ATD_TAG_02_PRCE","Não excluir","0","","0"
"GLB_M000","GLB_SH0_10","30 dias","30","30","0"
"GLB_M000","GLB_SH0_10","60 dias","60","60","0"
"GLB_M000","GLB_SH0_10","90 dias","90","90","0"
"GLB_M000","GLB_SH0_10","Nunca","0","00","0"
"GLB_M000","GLB_SH0_20","Difícil(+ número)","3","3","0"
"GLB_M000","GLB_SH0_20","Forte(+ carc especiais)","4","4","0"
"GLB_M000","GLB_SH0_20","Fraco","1","1","0"
"GLB_M000","GLB_SH0_20","Médio(maiúc e miúsc)","2","2","0"
"GLB_M000","GLB_SH0_25","04","12","12","0"
"GLB_M000","GLB_SH0_25","06","6","6","0"
"GLB_M000","GLB_SH0_25","08","8","8","0"
"GLB_M000","GLB_SH0_25","10","10","10","0"
