"Modulo","Item","Descricao","DescRed","Tipo","SubTipo","Ordem"
"CRM_M001","AA","Relacionados ao acesso do atendente ao cadastro de pessoa","","T","","AA"
"CRM_M001","AB","Relacionados ao acesso do atendente aos telefones e e-mails","","T","","AB"
"CRM_M001","ATD_AG0_04_FUTURA","Permite andamento de agendas futuras até n dias (dias corridos, 0 = até hoje, >= 999 não controla)","Agenda futura","N","","EE.AGDAFU"
"CRM_M001","ATD_AG0_05_RETRO","Permite agendamento retroativo até quantos minutos úteis (> 10.000=Ilimitado)","Agenda retroativ","N","","EE.AGDANT"
"CRM_M001","ATD_AG0_06_FRMTRB","Permite alterar a forma de trabalho da agenda","Alt. forma trab.","B","","EE.AGDFRMT"
"CRM_M001","ATD_AG0_07_REAGBLC","Permite reagendar em bloco","Reagendar em bloco.","B","","EE.AGDRBLC"
"CRM_M001","ATD_AG0_08_DTA","Ao dar andamento com controle de limite de dias a prorrogar com base em perspectiva, qual a atitude:","Andamento dias prorrogar","C","L","EE.AGDTPO"
"CRM_M001","ATD_AG0_10_REC","Incluir recados para:","Incluir recados","C","L","EE.RA01"
"CRM_M001","ATD_AG0_20_DLM","Acesso à data limite para execução de atividades","Data limite","N","L","EE.DLMT1"
"CRM_M001","ATD_AG0_70_QTLM","Limite máx. de linhas para visualização da agenda (Acima de 10, 0 = Não controla)","Limite linhas agd","N","","EE.XALMT"
"CRM_M001","ATD_AG0_71_COR","Utiliza controle de cores na agenda (atrasos, limites de data, etc.)","Usa cores agd","B","","EE.XACOR"
"CRM_M001","ATD_AG0_72_EXP","Permite a impressão/exportação de agendas","Imprimir agd","B","","EE.EXPAGD"
"CRM_M001","ATD_AG0_73_HPT","Permitir agendar atividades com horário fora do período padrão de trabalho","Agd fora horário","B","","EE.HPTAGD"
"CRM_M001","ATD_APP_01","Permite inativar/ativar acesso do contato no App","Inativar ctto app.","B","","DD.B90"
"CRM_M001","ATD_CHM_01","Desabilitar a chamada de navegadores de internet.","Desabilitar navegadores","B","","TT_01"
"CRM_M001","ATD_CT0_10","Alterar dados do contato","Alterar contato","C","L","DD.A01"
"CRM_M001","ATD_CT0_20","Quanto aos dados do posicionamento do contato","Alterar pos cont.","C","L","DD.B02"
"CRM_M001","ATD_CT0_22","Quanto aos dados de orientação quanto à abordagem do contato","Alterar pos cont.","C","L","DD.B03"
"CRM_M001","ATD_EML_10","Permite incluir/alterar um e-mail/fone de OPT-IN/OPT-OUT","Altera email opt-out","B","","AB_10"
"CRM_M001","ATD_HST_10_RETR","Qtde de dias para registro de andamento retroativo (Juno)","Histórico retroativo","N","","EH.HS10"
"CRM_M001","ATD_HST_19_EPRC","Exibir mensagem informando o número do processo gerado após inclusão de histórico avulso","Informar nro. processo","B","","EH.HS19"
"CRM_M001","ATD_HST_20_SPRC","Permite solicitar o número do processo antes de incluir histórico avulso","Solic. nro. processo","B","","EH.HS20"
