"SeqCons","Pos","ColName","Coluna","TpDado","Cor","Formato","Vars"
"85","1","TIPO","Tipo","","","",""
"85","2","SEQPESSOA","Seqpessoa","","","",""
"85","3","NOMERAZAO","Nomerazao","","","",""
"85","4","CIDADE","Cidade","","","",""
"85","5","EMAIL","Email","","","",""
"85","6","DTA_INCALT_EMAIL","Dta incalt email","","","",""
"85","7","QUEM_ALTEROU","Quem alterou","","","",""
"85","8","OBSERVACAO","Observacao","","","",""
"128","1","USUINCLUSAO","Usuinclusao","","","",""
"128","2","DTAREALIZACAO","Dtarealizacao","","","",""
"128","3","PROCESSO","Processo","","","",""
"128","4","TIPO_EQUIPAMENTO","Tipo equipamento","","","",""
"128","5","MARCA","Marca","","","",""
"128","6","MODELO_EQUIPAMENTO","Modelo equipamento","","","",""
"128","7","QTDE_PESO_TRASEIRO__","Qtde peso traseiro  ","","","",""
"128","8","KG_PESO_TRASEIRO__1_","Kg peso traseiro  1 ","","","",""
"128","9","POSICAO_PESO_TRASEIR","Posicao peso traseir","","","",""
"128","10","QTDE_PESO_TRAS2","Qtde peso tras2","","","",""
"128","11","KG_PESO_TRASEIRO__2_","Kg peso traseiro  2 ","","","",""
"128","12","QTDE_PESO_DIANTEIRO","Qtde peso dianteiro","","","",""
"128","13","KG_PESO_DIANTEIRO","Kg peso dianteiro","","","",""
"128","14","LASTRO_DIANTEIRO__","Lastro dianteiro  ","","","",""
"128","15","LASTRO_TRASEIRO","Lastro traseiro","","","",""
"128","16","RODADO_TRASEIRO","Rodado traseiro","","","",""
"128","17","RODADO_DIANTEIRO","Rodado dianteiro","","","",""
"128","18","QTD_VRC","Qtd vrc","","","",""
"128","19","QTD_VCR","Qtd vcr","","","",""
"128","20","MEDIDA_BITOLA","Medida bitola","","","",""
"128","21","AMS","Ams","","","",""
"128","22","RECEPTOR","Receptor","","","",""
"128","23","RADIO","Radio","","","",""
"128","24","ATIVACAO","Ativacao","","","",""
"128","25","MONITOR","Monitor","","","",""
"128","26","VOLANTE","Volante","","","",""
"128","27","CONECTIVIDADCONECTIV","Conectividadconectiv","","","",""
"128","28","CONFIGURACOES_AMS","Configuracoes ams","","","",""
"128","29","CHASSI","Chassi","","","",""
"128","30","TESTE","Teste","","","",""
"128","31","SEQPESSOA","Seqpessoa","","","",""
"128","32","NOMERAZAO","Nomerazao","","","",""
