"SeqCons","Var","Ord","Descricao","Padrao","DepAnt","Instrucao","InstrSql","Lista","SQLCmd","Externa","TpDado","Tudo","LimLow","CorLow","LimHig","CorHig"
"5","DT1","1","Data inicial..:","Ontem (id)","0","","","","","0","","0","0,00","0","0,00","0"
"5","DT2","3","Data final..:","Ontem (fd)","0","","","","","0","","0","","","",""
"5","LS1","4","Empresa..:","","0","","SELECT NOMEREDUZIDO
FROM GE_EMPRESA
WHERE EMUSO = 1
ORDER BY NOMEREDUZIDO

","","","0","","1","0,00","0","0,00","0"
"5","LS2","5","Campanha..:","","0","","SELECT CAMPANHA 
FROM IV_CAMPANHA
WHERE EMUSO = 1
ORDER BY CAMPANHA

","","","0","","1","0,00","0","0,00","0"
"5","SN1","6","Listar Detalhe ?","0","0","","","","","0","","0","0,00","0","0,00","0"
"6","DT1","2","Data inicial..:","Início deste mês","0","","","","","0","","0","","","",""
"6","DT2","3","até..:","Hoje (fd)","0","","","","","0","","0","","","",""
"6","LS1","1","Empresa..:","","0","","SELECT NOMEREDUZIDO FROM GE_EMPRESA
ORDER BY NOMEREDUZIDO","","","0","","1","","","",""
"6","LS2","6","Visão","","0","","","Diária;Semanal;Mensal","","0","","0","","","",""
"6","LS3","10","Perfil dos clientes..:","","0","","SELECT LISTA
FROM IV_ATRIBLISTA
WHERE ATRIBUTO = 'PERFIL CLIENTE SERVIÇOS'
ORDER BY LISTA","FATURAMENTO ABAIXO DE 30 MIL","","0","","1","","","",""
"6","LS4","8","Tipo de avaliação..:","","0","","","Serviço;Máquina;Peça","","0","","1","","","",""
"6","SN1","4","Concluídas ?","1","0","","","","","0","","0","","","",""
"6","SN2","5","Produtivos ?","0","0","","","","","0","","0","","","",""
"6","SN3","9","Detalhar ?","0","0","","","","","0","","0","","","",""
"7","DT1","4","Data inicial..:","Início deste mês","0","","","","","0","","0","","","",""
"7","DT2","5","final..:","Hoje (fd)","0","","","","","0","","0","","","",""
"7","LS2","2","Grupo ou usuário..:","","0","","SELECT CODUSUARIO 
FROM GE_USUARIO 
ORDER BY TIPOUSUARIO , CODUSUARIO 
","","","0","","0","","","",""
"7","NR1","9","Dias para considerar atraso:","0","0","","","","","0","","0","","","",""
"7","OPT1","6","Qual ação.:","1","0","","SELECT ACA.DESCRICAO, ACA.ACAO
FROM IV_ACAO ACA
WHERE ACA.EMUSO = 'S'
ORDER BY ACA.DESCRICAO","","","0","","1","","","",""
"7","SN1","7","Detalhar ?","1","0","","","","","0","","0","","","",""
"7","SN2","8","Incluir Ação no resumo do vendedor","0","0","","","","","0","","0","","","",""
"7","SN3","3","Listar todas agendas abertas ?","0","0","Escolhendo essa opção, será descartado o período, e todas as agendas abertas serão impressas.","","","","0","","0","","","",""
"8","DT1","2","Data inicial..:","Início deste mês","0","","","","","0","","0","","","",""
"8","DT2","3","final..:","Hoje (fd)","0","","","","","0","","0","","","",""
"8","LS1","1","Empresa..:","","0","","SELECT NOMEREDUZIDO FROM GE_EMPRESA
ORDER BY NOMEREDUZIDO","","","0","","1","","","",""
"8","LS2","4","Produtivo..:","","0","","SELECT DISTINCT PRODUTIVO
FROM EXT_OSITEM
ORDER BY PRODUTIVO
","","","0","","1","","","",""
"9","DT1","2","Data inicial..:","Início deste mês","0","","","","","0","","0","","","",""
"9","DT2","3","até..:","Hoje (fd)","0","","","","","0","","0","","","",""
"9","LS1","1","Empresa..:","","0","","SELECT NOMEREDUZIDO FROM GE_EMPRESA
ORDER BY NOMEREDUZIDO","","","0","","1","","","",""
"9","LS2","4","Vendedor..:","","0","","SELECT DISTINCT VENDEDOR
FROM EXT_NFS
ORDER BY VENDEDOR","","","0","","1","","","",""
"10","DT1","2","Data inicial..:","Início deste mês","0","","","","","0","","0","","","",""
"10","DT2","3","até..:","Hoje (fd)","0","","","","","0","","0","","","",""
"10","LS1","1","Empresa..:","","0","","SELECT NOMEREDUZIDO FROM GE_EMPRESA
ORDER BY NOMEREDUZIDO","","","0","","1","","","",""
"10","LS2","4","Vendedor..:","","0","","SELECT DISTINCT VENDEDOR
FROM EXT_NFS
ORDER BY VENDEDOR
","","","0","","1","","","",""
