"SeqPasta","Descricao","CodPasta","SeqPastaPai"
"2","Qualidade","JDE0002",""
"3","JDE003 - Vendas","JDE003","1"
"4","Vendas","JDE003",""
"5","Serviços","SERV",""
"6","Qualificação","QUALIFIC",""
"7","Outros","Outros",""
"8","Gestao da Equipe","Gestao",""
"9","RELATÓRIO EM FASE DE MANUTENÇÃO","MANUTENÇ","4"
"10","John Deere M","01",""
"11","Venda Implemento","10",""
"12","Gestão Carteiras","g001",""
"13","Integração Veículo","INTVEIC","4"
"14","Comissao","Comissao",""
"15","AMS","AMS",""
"16","Comissao ","Comissao","4"
"17","Usado","Usado",""
"18","Relatórios Inativos","Inativos",""
"19","TRACBEL AGRO","Peças","0"
"20","TRACBEL AGRO","Peças",""
"21","Peças","Peças","20"
"22","Vendas","Vendas","20"
"23","Vendas Digitais","Digitais","20"
"24","DSI","DSI","20"
"25","Pedido","pd001",""
"26","Tecnologia da Informação (TI)","Testes",""
"27","Pneus","1","20"
"28","Validacao","va001",""
"29","Inteligência de Mercado","1","20"
