"SeqPasta","SeqCons"
"2","6"
"2","7"
"2","8"
"2","9"
"2","10"
"2","11"
"2","43"
"2","44"
"2","110"
"2","111"
"4","37"
"4","86"
"4","116"
"4","117"
"4","124"
"4","128"
"4","130"
"4","131"
"4","132"
"4","133"
"4","136"
"4","137"
"4","138"
"4","139"
"4","140"
"4","141"
"4","144"
"5","65"
"5","66"
"5","67"
"5","68"
"5","69"
"6","46"
"6","57"
"6","63"
"6","64"
"6","78"
"6","153"
"7","5"
"7","12"
"7","13"
"7","14"
"7","16"
"7","17"
"7","19"
"7","29"
"7","30"
"7","31"
"7","61"
"7","69"
"7","70"
"7","72"
"7","74"
"7","75"
"7","76"
"7","84"
"7","85"
"7","86"
"7","98"
"7","102"
"7","118"
"7","120"
"7","121"
"7","126"
"7","134"
"8","73"
"8","81"
"8","83"
"8","87"
"8","88"
"8","89"
"8","99"
"8","101"
"10","90"
"11","94"
"11","95"
"12","96"
"12","97"
"13","103"
"13","104"
"14","109"
"14","112"
"14","113"
"14","114"
"14","115"
"14","118"
"15","66"
"15","122"
"15","123"
"15","125"
"16","100"
"16","106"
"16","107"
"16","108"
"17","106"
"18","71"
"18","142"
"21","152"
"21","165"
"22","144"
"22","153"
"22","154"
"22","158"
"22","167"
"22","170"
"22","171"
"23","147"
"24","159"
"25","167"
"26","163"
"26","164"
"27","166"
"28","168"
"29","169"
