"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"1","84","RESUMOS","F","[[CEN]] = [[EMP]]","[COR_FUNDO] #COR=65535","[NEGRITO]"
"2","84","RESUMOS","D","[[CEN]] = '* TOTAL *'","[COR_FUNDO] #COR=32768","[COR_TEXTO] #COR=16777215"
"3","84","CALC_PERC_TAXA","A","[[FINAL]] > 0","[SET] [[TC]] = [[PEDIDO]] / [[FINAL]]",""
"4","84","TOTAL GERAL","D","[[CEN]] = '* TOTAL *'","[NEGRITO]",""
"5","84","COLUNAS TOTAIS","A","1 = 1","[[OPORT]] [NEGRITO]","[[PROXIMO]] [NEGRITO]"
"6","84","SUCESSO","","[[PEDIDO]] > 0","[[PEDIDO]] [LED] [VERDE]",""
"7","84","PERDAS","","[[PERDEU]] > 0","[[PERDEU]] [COR_TEXTO] #COR=255",""
"8","84","A_TEMPERATURA","A","[[EMP]] != [[CEN]]","[[QUENTES]] [COR_FUNDO] #COR=12910532","[[MORNAS]] [COR_FUNDO] #COR=12910532"
"9","84","A_TEMPERATURA_B","A","[[EMP]] != [[CEN]]","[[FRIAS]] [COR_FUNDO] #COR=12910532","[[PROXIMO]] [COR_FUNDO] #COR=65280"
"10","84","POUCAS OPORTUNIDADES","","[[EMP]] != [[CEN]] AND [[PROXIMO]] < 4","[[PROXIMO]] [LED] [VERMELHO]","[LED] [AMARELO]"
"11","84","B_OPORTUNIDADES","A","[[EMP]] != [[CEN]]","[[REMAN]] [COR_FUNDO] #COR=16050124","[[NOVAS]] [COR_FUNDO] #COR=16050124"
"12","84","B_OPORTUNIDADES_2","A","[[EMP]] != [[CEN]]","[[OPORT]] [COR_FUNDO] #COR=16050124","[[FINAL]] [COR_FUNDO] #COR=13034239"
"13","84","z23","A","[[TC]] > 0.99","[[TC]] [COR_FUNDO] #COR=65280","[COR_TEXTO] #COR=0"
"14","87","SE_APROV_ANTESPRAZO","01","[[APROV]] <= 1 and [[APROV]] >= 0","[[APROV]] [COR_FUNDO] #COR=32768","[[APROV]] [COR_TEXTO] #COR=16777215"
"15","87","SE_APROV_FORAPRAZO","01","[[APROV]] > 1","[[APROV]] [COR_FUNDO] #COR=255","[[APROV]][COR_TEXTO] #COR=16777215"
"16","87","SE_APROV_NOPRAZO","01","[[APROV]] = 1","[[APROV]] [COR_FUNDO] #COR=65535","[[APROV]] [COR_TEXTO] #COR=0"
"19","87","SE_RECPED_ANTESPRAZO","01","[[REC_PED]] < 35 and [[REC_PED]] >= 0","[[REC_PED]][COR_FUNDO] #COR=32768","[[REC_PED]][COR_TEXTO] #COR=16777215"
