"NomeTabela","Sequencia"
"APPEXEC","770446"
"DMN_DOC","77112"
"DMN_DOCTP","110"
"EXT_NFS","391421"
"EXT_NFSOPER","248"
"EXT_OS","8101"
"EXT_PESSOA","58214"
"EXT_PRODUTO","78755"
"EXT_TITULO","914703"
"EXT_TITULOMOV","2906174"
"EXT_VEIC","8021"
"EXT_VEICFAM","70"
"EXT_VEICMARCA","5"
"EXT_VEICMARCAEMP","2"
"EXT_VEICMODELO","4431168"
"EXT_VEICPLANOMAN","3571257"
"EXT_VEICPROP","12622"
"EXT_VEICTIPOMAN","1"
"EXT_VENDEDOR","563"
"GE_ALIAS","1416"
"GE_ATRIBUTOFIXO","222"
"GE_CONSSQL","1"
"GE_EMAIL","39927"
"GE_EMAILAGD","8"
"GE_EMAILTEMPLATE","8"
"GE_LGTB","147921528"
"GE_LOG2","3181791"
"GE_OBJDINAMICO","237"
"GE_OBJDINAPLIC","206"
"GE_PARAMLISTA","962"
"GE_PESSOA","123969"
"GE_PESSOAALERTA","768"
"GE_PESSOAFONE","114073"
"GE_PESSOAMURAL","167412"
"GE_POLSEGCTRL","306"
"GE_QVREGRA","240"
"GEP_EMAILSEND","563258"
"GEP_FILA","27988374"
"GEP_IMPORT","1220260"
"GEP_JOBAGD","46"
"GEP_JOBCAD","74"
"GEP_JOBFILA","686314"
"GEP_JOBFILALOG","14710"
"GEP_SYNCUSRSAT","3686453"
"IV_ACAO","6"
"IV_AGENDA","1827980"
"IV_AGENDALOG","9419872"
"IV_CAMPANHA","248"
"IV_CBRCOBRANCA","64567"
"IV_CBRCOBRANCALOTE","21048"
"IV_CBRCOBRANCATITLOG","304963"
"IV_CBRCRITERIO","124"
"IV_CBRCRITERIODEF","253"
"IV_CBRCRITERIOMSG","8"
"IV_CBRCRITMON","129142"
"IV_CBRTITULOHST","173561"
"IV_CLIENTEPROPR","256002"
"IV_CODPROCESSO","9414"
"IV_DOCTOAPL","10"
"IV_DOCTOAPLUSO","4"
"IV_EVENTO","131"
"IV_GLOBALPAR","274000"
"IV_HISTORICO","2518344"
"IV_NROPROCESSO","378692"
"IV_OCRMAGD","2361"
"IV_OCRMDEST","17"
"IV_PROCESSO","1620469"
"IV_PROCLINK","596878"
"IV_QUESTIONARIO","90373"
"IV_SMS","27058"
"IV_TXTPADRAO","214"
"IV_USRMETA","1"
"IVS_CARTEIRA","778"
"IVS_DEPTO","31"
"IVS_DEPTOPOT","128"
"IVS_SEGM","8"
"OUT_LOG_GLOBAL","1766"
