"Origem","Tabela","ChaveN1","ChaveN2","ChaveStr","ChaveLocalN1","ChaveLocalN2","ChaveLocalStr","DtaAlteracao","IndMudanca"
"IMPORTAÇÃO","IV_ACAO","220","0","x","710","0","x","22/11/2024 14:09:56","1"
"IMPORTAÇÃO","IV_ACAO","221","0","x","706","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","222","0","x","708","0","x","22/11/2024 14:09:56","1"
"IMPORTAÇÃO","IV_ACAO","223","0","x","704","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","224","0","x","705","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","225","0","x","701","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","226","0","x","698","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","227","0","x","713","0","x","22/11/2024 14:09:56","1"
"IMPORTAÇÃO","IV_ACAO","233","0","x","709","0","x","22/11/2024 14:09:56","1"
"IMPORTAÇÃO","IV_ACAO","234","0","x","702","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","235","0","x","684","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","236","0","x","685","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","237","0","x","712","0","x","22/11/2024 14:09:56","1"
"IMPORTAÇÃO","IV_ACAO","238","0","x","700","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","239","0","x","692","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","240","0","x","686","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","241","0","x","687","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","242","0","x","697","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","243","0","x","693","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","244","0","x","688","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","245","0","x","694","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","246","0","x","689","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","247","0","x","699","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","248","0","x","711","0","x","22/11/2024 14:09:56","1"
"IMPORTAÇÃO","IV_ACAO","249","0","x","695","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","250","0","x","696","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","251","0","x","690","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","262","0","x","703","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAO","263","0","x","691","0","x","22/11/2024 14:09:54","1"
"IMPORTAÇÃO","IV_ACAO","310","0","x","707","0","x","22/11/2024 14:09:55","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1567","0","x","5933","0","x","22/11/2024 14:10:05","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1946","0","x","5934","0","x","22/11/2024 14:10:05","1"
