"SeqCarteira","SeqCidade","DtaAlteracao","UsuAlterou"
"6","1651","18/04/2024 08:28:32","NETO.PRADO"
"6","2129","18/04/2024 08:28:25","NETO.PRADO"
"6","7735","18/04/2024 08:28:16","NETO.PRADO"
"6","8036","18/04/2024 08:29:01","NETO.PRADO"
"18","2643","05/09/2024 10:22:46","MATHEUS.AUGUSTO"
"18","5036","11/02/2015 15:10:57","JULIANA.PLACIDI"
"18","7896","30/12/2020 16:19:53","VANESSA.ALVES"
"18","7914","30/12/2020 16:20:09","VANESSA.ALVES"
"19","2375","13/12/2024 14:27:37","MATHEUS.AUGUSTO"
"19","3646","10/01/2023 16:56:19","VANESSA.ALVES"
"19","6114","10/01/2023 15:26:28","VANESSA.ALVES"
"27","359","12/03/2025 08:43:55","MATHEUS.AUGUSTO"
"27","3709","10/06/2025 16:59:52","MATHEUS.AUGUSTO"
"27","3792","12/03/2025 08:43:37","MATHEUS.AUGUSTO"
"27","7088","10/06/2025 17:00:00","MATHEUS.AUGUSTO"
"27","7405","12/03/2025 08:44:10","MATHEUS.AUGUSTO"
"27","7813","12/03/2025 08:44:03","MATHEUS.AUGUSTO"
"27","8160","12/03/2025 08:43:29","MATHEUS.AUGUSTO"
"29","1034","18/04/2024 10:55:20","NETO.PRADO"
"29","4379","18/04/2024 10:55:29","NETO.PRADO"
"29","6481","18/04/2024 10:55:45","NETO.PRADO"
"30","3366","18/04/2024 11:21:01","NETO.PRADO"
"30","7320","18/04/2024 11:21:10","NETO.PRADO"
"30","7378","18/04/2024 11:21:55","NETO.PRADO"
"30","8414","18/04/2024 11:21:44","NETO.PRADO"
"33","1001","13/12/2024 14:28:42","MATHEUS.AUGUSTO"
"33","2382","13/12/2024 14:28:48","MATHEUS.AUGUSTO"
"33","4423","13/12/2024 14:28:56","MATHEUS.AUGUSTO"
"33","8993","13/12/2024 14:28:36","MATHEUS.AUGUSTO"
"34","3608","11/01/2023 12:01:41","GUILHERME.PENNA"
"34","5450","17/04/2024 16:15:59","LIVIA.SILVA"
"35","242","05/09/2024 10:23:34","MATHEUS.AUGUSTO"
"35","1444","05/09/2024 10:23:22","MATHEUS.AUGUSTO"
"35","8899","18/04/2024 08:33:58","NETO.PRADO"
"39","2976","28/07/2014 16:53:44","JULIANA.PLACIDI"
"39","3694","15/06/2026 14:17:24","MATHEUS.AUGUSTO"
"39","3709","15/06/2026 14:17:45","MATHEUS.AUGUSTO"
"39","7088","15/06/2026 14:17:36","MATHEUS.AUGUSTO"
"39","8745","01/08/2024 07:41:54","NETO.PRADO"
"39","8974","28/07/2014 16:53:35","JULIANA.PLACIDI"
"41","1001","01/03/2013 15:28:13","MARCELO.EDER"
"41","2375","25/11/2015 14:29:56","BRUNA.FELICIO"
"41","2382","10/02/2015 16:24:35","JACQUELINE.DUARTE"
"41","4423","25/11/2015 14:30:15","BRUNA.FELICIO"
"46","2881","15/06/2026 14:33:00","MATHEUS.AUGUSTO"
"46","5355","15/06/2026 14:32:53","MATHEUS.AUGUSTO"
"46","5703","12/03/2025 08:50:09","MATHEUS.AUGUSTO"
"46","7762","15/06/2026 14:33:10","MATHEUS.AUGUSTO"
"48","561","18/04/2024 10:29:59","MATHEUS.AUGUSTO"
"48","1492","18/04/2024 10:30:11","MATHEUS.AUGUSTO"
"48","3904","18/04/2024 10:29:53","MATHEUS.AUGUSTO"
"53","5666","19/12/2019 16:42:10","VANESSA.ALVES"
"53","8382","19/12/2019 16:41:59","VANESSA.ALVES"
"58","592","12/03/2025 08:45:17","MATHEUS.AUGUSTO"
"58","3470","12/03/2025 08:45:33","MATHEUS.AUGUSTO"
"58","3694","10/06/2025 17:00:50","MATHEUS.AUGUSTO"
"58","3792","20/08/2026 10:30:12","RICARDO.MORETTI"
"58","5924","20/08/2026 10:30:56","RICARDO.MORETTI"
"71","7394","03/11/2014 09:21:33","JULIANA.PLACIDI"
"78","19","13/02/2015 08:51:32","JULIANA.PLACIDI"
"78","44","13/02/2015 08:51:40","JULIANA.PLACIDI"
"78","52","13/02/2015 08:51:47","JULIANA.PLACIDI"
"78","80","13/02/2015 08:51:54","JULIANA.PLACIDI"
"78","90","13/02/2015 08:51:59","JULIANA.PLACIDI"
"78","91","13/02/2015 08:52:05","JULIANA.PLACIDI"
"78","93","13/02/2015 08:52:08","JULIANA.PLACIDI"
"78","112","13/02/2015 08:52:15","JULIANA.PLACIDI"
"78","136","13/02/2015 08:52:17","JULIANA.PLACIDI"
"78","153","13/02/2015 08:53:41","JULIANA.PLACIDI"
"78","199","13/02/2015 08:52:19","JULIANA.PLACIDI"
"78","228","13/02/2015 08:52:21","JULIANA.PLACIDI"
"78","230","13/02/2015 08:52:22","JULIANA.PLACIDI"
"78","233","13/02/2015 08:52:24","JULIANA.PLACIDI"
"78","240","13/02/2015 08:52:29","JULIANA.PLACIDI"
"78","257","13/02/2015 08:52:55","JULIANA.PLACIDI"
"78","297","13/02/2015 08:52:59","JULIANA.PLACIDI"
"78","307","13/02/2015 08:53:04","JULIANA.PLACIDI"
"78","310","13/02/2015 08:53:09","JULIANA.PLACIDI"
"78","313","13/02/2015 08:53:14","JULIANA.PLACIDI"
"78","325","13/02/2015 08:53:21","JULIANA.PLACIDI"
"78","360","13/02/2015 08:53:58","JULIANA.PLACIDI"
"78","379","13/02/2015 08:54:06","JULIANA.PLACIDI"
"78","395","13/02/2015 08:54:17","JULIANA.PLACIDI"
"78","8942","13/02/2015 08:54:09","JULIANA.PLACIDI"
"91","1330","11/01/2023 15:44:38","VANESSA.ALVES"
"91","4570","17/04/2024 15:41:29","NETO.PRADO"
"91","7394","13/08/2020 11:42:06","VANESSA.ALVES"
"91","8942","05/09/2024 10:20:31","MATHEUS.AUGUSTO"
"92","2656","18/04/2024 11:29:19","NETO.PRADO"
"92","4609","18/04/2024 11:29:29","NETO.PRADO"
"92","6566","18/04/2024 11:29:38","NETO.PRADO"
"92","7403","18/04/2024 11:29:51","NETO.PRADO"
"101","1003","22/08/2024 11:18:34","MATHEUS.AUGUSTO"
"101","1034","22/08/2024 11:19:23","MATHEUS.AUGUSTO"
"101","1055","22/08/2024 11:17:15","MATHEUS.AUGUSTO"
"101","2656","22/08/2024 11:20:34","MATHEUS.AUGUSTO"
"101","3366","22/08/2024 11:19:45","MATHEUS.AUGUSTO"
"101","4379","22/08/2024 11:19:39","MATHEUS.AUGUSTO"
"101","4428","22/08/2024 11:18:25","MATHEUS.AUGUSTO"
"101","4609","22/08/2024 11:20:25","MATHEUS.AUGUSTO"
"101","5589","22/08/2024 11:17:55","MATHEUS.AUGUSTO"
"101","5593","22/08/2024 11:17:08","MATHEUS.AUGUSTO"
"101","5666","22/08/2024 11:18:47","MATHEUS.AUGUSTO"
"101","6077","22/08/2024 11:19:10","MATHEUS.AUGUSTO"
"101","6146","22/08/2024 11:19:04","MATHEUS.AUGUSTO"
"101","6481","22/08/2024 11:19:32","MATHEUS.AUGUSTO"
"101","6566","22/08/2024 11:20:45","MATHEUS.AUGUSTO"
"101","6851","22/08/2024 11:17:35","MATHEUS.AUGUSTO"
"101","6941","22/08/2024 11:17:41","MATHEUS.AUGUSTO"
"101","7320","22/08/2024 11:19:52","MATHEUS.AUGUSTO"
"101","7378","22/08/2024 11:20:16","MATHEUS.AUGUSTO"
"101","7403","22/08/2024 11:20:54","MATHEUS.AUGUSTO"
"101","7628","22/08/2024 11:18:57","MATHEUS.AUGUSTO"
"101","8382","22/08/2024 11:19:17","MATHEUS.AUGUSTO"
"101","8414","22/08/2024 11:20:07","MATHEUS.AUGUSTO"
"101","9150","22/08/2024 11:18:17","MATHEUS.AUGUSTO"
"101","9161","22/08/2024 11:18:11","MATHEUS.AUGUSTO"
"101","9226","22/08/2024 11:17:48","MATHEUS.AUGUSTO"
"101","9319","22/08/2024 11:17:27","MATHEUS.AUGUSTO"
"101","9881","22/08/2024 11:17:21","MATHEUS.AUGUSTO"
"101","9899","22/08/2024 11:18:03","MATHEUS.AUGUSTO"
"102","242","22/08/2024 08:53:22","MATHEUS.AUGUSTO"
"102","359","22/08/2024 08:48:25","MATHEUS.AUGUSTO"
"102","592","22/08/2024 08:47:00","MATHEUS.AUGUSTO"
"102","1358","22/08/2024 08:45:48","MATHEUS.AUGUSTO"
"102","1444","22/08/2024 08:51:11","MATHEUS.AUGUSTO"
"102","1651","22/08/2024 08:52:21","MATHEUS.AUGUSTO"
"102","1869","22/08/2024 08:46:34","MATHEUS.AUGUSTO"
"102","2129","22/08/2024 08:52:32","MATHEUS.AUGUSTO"
"102","2643","22/08/2024 08:50:05","MATHEUS.AUGUSTO"
"102","2881","22/08/2024 08:47:29","MATHEUS.AUGUSTO"
"102","2976","22/08/2024 08:50:18","MATHEUS.AUGUSTO"
"102","3252","22/08/2024 08:46:25","MATHEUS.AUGUSTO"
"102","3470","22/08/2024 08:46:53","MATHEUS.AUGUSTO"
"102","3694","22/08/2024 08:47:48","MATHEUS.AUGUSTO"
"102","3709","22/08/2024 08:48:38","MATHEUS.AUGUSTO"
"102","3792","22/08/2024 08:47:06","MATHEUS.AUGUSTO"
"102","3851","22/08/2024 08:45:55","MATHEUS.AUGUSTO"
"102","4317","22/08/2024 08:46:09","MATHEUS.AUGUSTO"
"102","4570","22/08/2024 08:50:35","MATHEUS.AUGUSTO"
"102","5036","22/08/2024 08:48:52","MATHEUS.AUGUSTO"
"102","5355","22/08/2024 08:47:23","MATHEUS.AUGUSTO"
"102","5703","22/08/2024 08:47:55","MATHEUS.AUGUSTO"
"102","5924","22/08/2024 08:46:40","MATHEUS.AUGUSTO"
"102","7088","22/08/2024 08:48:46","MATHEUS.AUGUSTO"
"102","7394","22/08/2024 08:50:12","MATHEUS.AUGUSTO"
"102","7405","22/08/2024 08:48:03","MATHEUS.AUGUSTO"
"102","7735","22/08/2024 08:51:42","MATHEUS.AUGUSTO"
"102","7762","22/08/2024 08:47:40","MATHEUS.AUGUSTO"
"102","7813","22/08/2024 08:48:14","MATHEUS.AUGUSTO"
"102","7896","22/08/2024 08:49:17","MATHEUS.AUGUSTO"
"102","7914","22/08/2024 08:49:42","MATHEUS.AUGUSTO"
"102","8036","22/08/2024 08:53:57","MATHEUS.AUGUSTO"
"102","8160","22/08/2024 08:47:15","MATHEUS.AUGUSTO"
"102","8745","22/08/2024 08:49:56","MATHEUS.AUGUSTO"
"102","8899","22/08/2024 08:51:30","MATHEUS.AUGUSTO"
"102","8942","22/08/2024 08:51:19","MATHEUS.AUGUSTO"
"102","8974","22/08/2024 08:50:26","MATHEUS.AUGUSTO"
"102","9124","22/08/2024 08:46:02","MATHEUS.AUGUSTO"
"102","9238","22/08/2024 08:46:17","MATHEUS.AUGUSTO"
"124","561","22/08/2024 09:18:24","MATHEUS.AUGUSTO"
"124","1001","22/08/2024 09:17:17","MATHEUS.AUGUSTO"
"124","1492","22/08/2024 09:18:32","MATHEUS.AUGUSTO"
"124","2375","22/08/2024 09:17:12","MATHEUS.AUGUSTO"
"124","2382","22/08/2024 09:17:31","MATHEUS.AUGUSTO"
"124","3608","22/08/2024 09:17:36","MATHEUS.AUGUSTO"
"124","3642","22/08/2024 09:18:10","MATHEUS.AUGUSTO"
"124","3646","22/08/2024 09:17:04","MATHEUS.AUGUSTO"
"124","3904","22/08/2024 09:18:39","MATHEUS.AUGUSTO"
"124","4079","22/08/2024 09:17:49","MATHEUS.AUGUSTO"
"124","4402","22/08/2024 09:18:18","MATHEUS.AUGUSTO"
"124","4423","22/08/2024 09:17:25","MATHEUS.AUGUSTO"
"124","5450","22/08/2024 09:18:03","MATHEUS.AUGUSTO"
"124","6114","22/08/2024 09:16:49","MATHEUS.AUGUSTO"
"124","8993","22/08/2024 09:16:57","MATHEUS.AUGUSTO"
"126","233","02/02/2018 09:45:35","BRUNA.FELICIO"
"126","659","09/02/2018 14:46:39","BRUNA.FELICIO"
"126","1001","02/02/2018 09:40:05","BRUNA.FELICIO"
"126","1055","02/02/2018 09:40:46","BRUNA.FELICIO"
"126","1869","02/02/2018 09:41:41","BRUNA.FELICIO"
"126","2375","02/02/2018 09:40:14","BRUNA.FELICIO"
"126","2382","02/02/2018 09:40:35","BRUNA.FELICIO"
"126","3252","02/02/2018 09:41:57","BRUNA.FELICIO"
"126","5589","02/02/2018 09:42:43","BRUNA.FELICIO"
"126","5593","02/02/2018 09:42:56","BRUNA.FELICIO"
"126","6114","02/02/2018 09:45:26","BRUNA.FELICIO"
"126","6804","02/02/2018 09:43:19","BRUNA.FELICIO"
"126","6851","02/02/2018 09:43:30","BRUNA.FELICIO"
"126","7762","02/02/2018 09:43:40","BRUNA.FELICIO"
"126","9150","02/02/2018 09:43:52","BRUNA.FELICIO"
"126","9161","02/02/2018 09:44:11","BRUNA.FELICIO"
"126","9226","02/02/2018 09:44:25","BRUNA.FELICIO"
"126","9238","02/02/2018 09:44:39","BRUNA.FELICIO"
"126","9319","02/02/2018 09:44:51","BRUNA.FELICIO"
"126","9881","02/02/2018 09:45:03","BRUNA.FELICIO"
"126","9899","02/02/2018 09:45:17","BRUNA.FELICIO"
"127","121","03/01/2019 15:07:33","DIEGO.MARQUES"
"127","561","02/02/2018 16:46:38","DIEGO.MARQUES"
"127","1001","04/01/2019 11:14:50","DIEGO.MARQUES"
"127","1003","04/01/2019 11:13:22","DIEGO.MARQUES"
"127","1034","04/01/2019 11:13:30","DIEGO.MARQUES"
"127","1055","04/01/2019 11:15:13","DIEGO.MARQUES"
"127","1444","04/01/2019 11:12:42","DIEGO.MARQUES"
"127","1492","02/02/2018 16:46:49","DIEGO.MARQUES"
"127","1584","03/01/2019 15:10:40","DIEGO.MARQUES"
"127","1651","04/01/2019 11:13:42","DIEGO.MARQUES"
