"SeqCarteira","SeqDepto","DtaAlteracao","UsuAlteracao"
"6","2","02/01/2012 14:16:51","VTCCONS"
"18","2","03/01/2012 17:11:13","VTCCONS"
"19","2","10/01/2023 15:27:39","VANESSA.ALVES"
"27","2","08/02/2012 14:54:00","VTCCONS"
"29","2","18/04/2024 10:55:59","NETO.PRADO"
"30","2","18/04/2024 11:21:59","NETO.PRADO"
"33","2","08/02/2012 14:54:15","VTCCONS"
"34","2","08/02/2012 14:54:22","VTCCONS"
"35","2","08/02/2012 14:54:27","VTCCONS"
"39","2","05/07/2012 11:55:15","MARCELO.EDER"
"41","2","07/02/2013 14:57:45","MARCELO.EDER"
"46","2","08/02/2013 11:08:25","MARCELO.EDER"
"48","2","01/03/2013 15:31:40","MARCELO.EDER"
"53","2","08/07/2013 16:28:53","JULIANA.PLACIDI"
"58","2","08/01/2014 09:03:26","JULIANA.PLACIDI"
"80","3","18/03/2015 15:08:42","JULIANA.PLACIDI"
"91","2","13/07/2015 17:19:04","MARILIA.RESENDE"
"92","2","18/04/2024 11:29:58","NETO.PRADO"
"101","5","09/09/2016 09:48:44","BRUNA.FELICIO"
"102","5","09/09/2016 09:49:06","BRUNA.FELICIO"
"105","2","12/08/2016 10:24:53","BRUNA.FELICIO"
"106","2","12/08/2016 10:33:19","BRUNA.FELICIO"
"107","2","13/09/2021 09:38:27","VANESSA.ALVES"
"108","3","01/09/2016 15:22:56","BRUNA.FELICIO"
"109","3","01/09/2016 15:22:25","BRUNA.FELICIO"
"110","3","01/09/2016 15:24:49","BRUNA.FELICIO"
"111","3","31/10/2016 16:48:58","VANESSA.ALVES"
"112","3","01/09/2016 15:25:08","BRUNA.FELICIO"
"113","3","01/09/2016 15:21:57","BRUNA.FELICIO"
"114","3","01/09/2016 15:27:22","BRUNA.FELICIO"
"115","3","01/09/2016 15:27:54","BRUNA.FELICIO"
"116","3","01/09/2016 15:36:36","BRUNA.FELICIO"
"117","3","01/09/2016 15:40:21","BRUNA.FELICIO"
"118","3","01/09/2016 15:43:25","BRUNA.FELICIO"
"119","3","31/10/2016 16:49:28","VANESSA.ALVES"
"120","3","01/09/2016 15:54:26","BRUNA.FELICIO"
"121","3","09/09/2016 09:34:16","BRUNA.FELICIO"
"122","4","21/09/2016 09:38:11","BRUNA.FELICIO"
