"SeqCarteira","NroEmpresa","Carteira","Descricao","SeqUsrResp","SeqUrSuperv","SeqVendedor","SeqCanal","SeqRegional","SeqGrupoPreco","DTAALTERACAO","USUINCLUSAO","USUALTERACAO","DTAINCLUSAO","AUTOSINCCID","AUTOSINCSTATUS"
"6","1","MAQ_01RIB_06","MAQ_01RIB_06","886","","312","","","","13/03/2025 15:01:55","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","13/03/2025 15:01:55","0",""
"18","1","MAQ_01RIB_02","MAQ_01RIB_02","755","","260","","","","21/03/2025 14:59:00","NETO.PRADO","NETO.PRADO","21/03/2025 14:59:00","0",""
"19","3","MAQ_03BAR_02","MAQ_03BAR_02","883","","309","","","","14/03/2025 10:56:00","NETO.PRADO","NETO.PRADO","14/03/2025 10:56:00","0",""
"27","2","MAQ_02ARA_01","MAQ_02ARA_01","1471","","450","","","","11/08/2026 09:13:00","NETO.PRADO","RICARDO.MORETTI","21/02/2025 14:22:00","0",""
"29","11","MAQ_11FRA_01","MAQ_11FRA_01","1351","","407","","","","11/03/2025 11:16:56","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","11/03/2025 11:16:56","0",""
"30","11","MAQ_11FRA_02","MAQ_11FRA_02","459","","163","","","","11/03/2025 15:02:16","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","11/03/2025 15:02:16","0",""
"33","3","MAQ_03BAR_01","MAQ_03BAR_01","1308","","382","","","","11/03/2025 14:34:01","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","11/03/2025 14:34:01","0",""
"34","3","MAQ_03BAR_05","MAQ_03BAR_05","798","","427","","","","18/03/2025 11:31:00","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","18/03/2025 11:29:00","0",""
"35","1","MAQ_01RIB_03","MAQ_01RIB_03","844","","303","","","","13/03/2025 09:12:07","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","13/03/2025 09:12:07","0",""
"39","1","MAQ_01RIB_05","MAQ_01RIB_05","1446","","438","","","","25/03/2025 08:08:00","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","25/03/2025 08:08:00","0",""
"41","3","MAQ_03BAR_04","MAQ_03BAR_04","281","","84","","","","18/03/2025 16:27:00","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","18/03/2025 16:27:00","0",""
"46","2","MAQ_02ARA_03","MAQ_02ARA_03","1410","","424","","","","15/06/2026 14:21:00","NETO.PRADO","MATHEUS.AUGUSTO","21/02/2025 14:25:00","0",""
"48","7","MAQ_07ORL_02","MAQ_07ORL_02","890","","314","","","","13/03/2025 16:28:02","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","13/03/2025 16:28:02","0",""
"53","7","MAQ_07ORL_03","MAQ_07ORL_03","1464","","447","","","","04/07/2025 15:47:00","NETO.PRADO","MATHEUS.AUGUSTO","12/03/2025 11:28:00","0",""
"58","2","MAQ_02ARA_02","MAQ_02ARA_02","1472","","451","","","","20/08/2026 10:41:00","NETO.PRADO","RICARDO.MORETTI","21/02/2025 14:24:00","0",""
"69","12","VEND_IMP_01","VEND_IMP_01","516","","","","","","","","","","0",""
"71","12","VEND_DIRETORIA","VEND_DIRETORIA","503","","","","","","","","","","0",""
"78","12","FORA_REG_COL","FORA_REG_COL","482","","","","","","","","","","0",""
"80","1","BOLSA0_PECAS","BOLSA0_PECAS","25","","126","","","","10/03/2025 13:47:42","NETO.PRADO","NETO.PRADO","10/03/2025 13:47:42","0",""
"81","7","CALL_CENTER","CALL_CENTER","473","","","","","","","","","","0",""
"84","12","COL_FUNC","COL_FUNC","482","","","","","","","","","","0",""
"85","12","COL_INATIVOS","COL_INATIVOS","482","","","","","","","","","","0",""
"86","12","COL_FILIAIS","COL_FILIAIS","482","","","","","","","","","","0",""
"87","1","COL_COLLECTION","COL_COLLECTION","482","","","","","","","","","","0",""
"88","12","COL_PARCEIROS","COL_PARCEIROS","482","","","","","","","","","","0",""
"89","12","COL_REDE_CONCES","COL_REDE_CONCES","482","","","","","","","","","","0",""
"90","12","INT_MERCADO","INT_MERCADO","482","","","","","","","","","","0",""
"91","1","MAQ_01RIB_01","MAQ_01RIB_01","1068","","350","","","","16/12/2025 09:42:16","GUSTAVO.AGUIAR","MATHEUS.AUGUSTO","12/03/2025 10:09:00","0",""
"92","11","MAQ_11FRA_03","MAQ_11FRA_03","548","","180","","","","24/03/2025 14:55:25","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","24/03/2025 14:55:25","0",""
"97","12","SIND_CATI","SIND_CATI","482","","","","","","","","","","0",""
"99","1","FORA_DO_SETOR","FORA_DO_SETOR","482","","","","","","","","","","0",""
"101","1","RAO_PNEUS_02","RAO_PNEUS_02","761","","","","","","","","","","0",""
"102","1","RAO_PNEUS_03","RAO_PNEUS_03","1070","","","","","","","","","","0",""
"105","10","CONTA_CHAVE_01","CONTA_CHAVE_01","433","","","","","","11/08/2025 17:25:26","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","28/04/2025 15:57:00","0",""
"106","10","CONTA_CHAVE_02","CONTA_CHAVE_02","433","","","","","","28/04/2025 15:59:00","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","28/04/2025 15:59:00","0",""
"107","10","CONTA_CHAVE_03","CONTA_CHAVE_03","879","","","","","","18/07/2025 09:59:00","MATHEUS.AUGUSTO","MATHEUS.AUGUSTO","18/07/2025 09:59:00","0",""
"108","1","RAO_PEÇAS_02","RAO_PEÇAS_02","402","","156","","","","10/03/2025 14:00:44","NETO.PRADO","NETO.PRADO","10/03/2025 14:00:44","0",""
"109","1","RAO_PEÇAS_03","RAO_PEÇAS_03","48","","","","","","","","","","0",""
"110","1","RAO_PEÇAS_04","RAO_PEÇAS_04","36","","158","","","","10/03/2025 14:00:57","NETO.PRADO","NETO.PRADO","10/03/2025 14:00:57","0",""
"111","2","ARA_PEÇAS_01","ARA_PEÇAS_01","877","","316","","","","10/03/2025 13:48:25","NETO.PRADO","NETO.PRADO","10/03/2025 13:48:25","0",""
"112","3","BRT_PEÇAS_01","BRT_PEÇAS_01","915","","326","","","","10/03/2025 13:52:10","NETO.PRADO","NETO.PRADO","10/03/2025 13:52:10","0",""
"113","3","BRT_PEÇAS_02","BRT_PEÇAS_02","649","","223","","","","10/03/2025 13:52:23","NETO.PRADO","NETO.PRADO","10/03/2025 13:52:23","0",""
"114","3","BRT_PEÇAS_03","BRT_PEÇAS_03","277","","162","","","","10/03/2025 13:52:36","NETO.PRADO","NETO.PRADO","10/03/2025 13:52:36","0",""
"115","11","FRA_PEÇAS_01","FRA_PEÇAS_01","1456","","444","","","","04/05/2026 17:11:00","NETO.PRADO","RICARDO.MORETTI","10/03/2025 13:54:00","0",""
"116","4","GUA_PEÇAS_01","GUA_PEÇAS_01","758","","268","","","","10/03/2025 13:55:34","NETO.PRADO","NETO.PRADO","10/03/2025 13:55:34","0",""
"117","12","ITP_PEÇAS_01","ITP_PEÇAS_01","1085","","358","","","","10/03/2025 13:56:19","NETO.PRADO","NETO.PRADO","10/03/2025 13:56:19","0",""
"118","5","ITV_PEÇAS_01","ITV_PEÇAS_01","627","","229","","","","10/03/2025 13:56:31","NETO.PRADO","NETO.PRADO","10/03/2025 13:56:31","0",""
"119","10","MTA_PEÇAS_01","MTA_PEÇAS_01","691","","231","","","","10/03/2025 13:56:58","NETO.PRADO","NETO.PRADO","10/03/2025 13:56:58","0",""
"120","7","ORL_PEÇAS_01","ORL_PEÇAS_01","496","","168","","","","10/03/2025 13:57:11","NETO.PRADO","NETO.PRADO","10/03/2025 13:57:11","0",""
"121","1","RAO_PEÇAS_05","RAO_PEÇAS_05","433","","","","","","","","","","0",""
"122","1","RAO_AMS_01","RAO_AMS_01","879","","","","","","29/08/2025 09:51:00","RICARDO.MORETTI","RICARDO.MORETTI","29/08/2025 09:51:00","0",""
"123","2","ARA_AMS_02","ARA_AMS_02","757","","","","","","","","","","0",""
"124","1","RAO_PNEUS_04","RAO_PNEUS_04","1080","","","","","","","","","","0",""
"125","3","BRT_AMS_03","BRT_AMS_03","862","","","","","","","","","","0",""
"126","891","C.E_VENDA_01","Colorado Equipamentos Vendas Manitou 01","433","","","","","","","","","","0",""
"127","891","C.E_VENDA_02","Colorado Equipamentos Vendas Manitou 02","578","","","","","","","","","","0",""
"128","891","C.E_LOCAÇÃO_01","Colorado Equipamentos Locação 01","433","","","","","","","","","","0",""
"129","891","C.E_USADO_01","Colorado Equipamentos Vendas Usados 01","147","","","","","","","","","","0",""
"130","891","C.E_FILIAIS","Colorado Equipamentos Cadastros Filiais","482","","","","","","","","","","0",""
"135","891","C.E_VENDA_03","Colorado Equipamentos Vendas Manitou 03","598","","","","","","","","","","0",""
"136","891","C.E_VENDA_04","Colorado Equipamentos Vendas Manitou 04","624","","","","","","","","","","0",""
"137","891","C.E_VENDA_05","Colorado Equipamentos Vendas Manitou 05","433","","","","","","","","","","0",""
"138","891","C.E_INT.MERCADO","Colorado Equipamentos IM","605","","","","","","","","","","0",""
"139","1","NOVOS_NEGOCIOS","Novos Negocios - Prefeituras/Industrias","38","","","","","","","","","","0",""
"140","7","MAQ_07ORL_01","MAQ_07ORL_01","1433","","429","","","","13/03/2025 15:08:00","MATHEUS.AUGUSTO","RICARDO.MORETTI","13/03/2025 15:08:00","0",""
"141","12","FORA_ATUAÇÃO","INTELIGÊNCIA DE MERCADO FORA ATUAÇÃO","482","","","","","","","","","","0",""
