"SEQPOTENCIALDP","SEQDEPTO","POTENCIAL","ORDEM","DIASCICLOCTTO","DIASCICLOVISITA","USUALTERACAO","DTAALTERACAO"
"1","2","A","10","30","30","MATHEUS.AUGUSTO","09/01/2025 15:31:40"
"2","3","A","10","360","360","MATHEUS.AUGUSTO","07/02/2025 00:00:00"
"3","4","Alto","10","360","360","PTF v4.01","05/06/2023 18:10:10"
"4","5","A","10","30","30","MATHEUS.AUGUSTO","20/05/2025 07:55:13"
"5","6","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"6","7","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"7","8","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"8","9","Alto","10","360","360","PTF v4.01","05/06/2023 18:10:10"
"9","10","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"10","11","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"11","12","Alto","10","360","360","PTF v4.01","05/06/2023 18:10:10"
"12","13","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"13","14","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"14","15","Alto","10","360","360","PTF v4.01","05/06/2023 18:10:10"
"15","16","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"16","17","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"17","19","Alto","10","30","30","VANESSA.ALVES","09/05/2024 00:00:00"
"18","20","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"19","21","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"20","22","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"21","23","Alto","10","","","PTF v4.01","05/06/2023 18:10:10"
"22","2","B","20","60","60","MATHEUS.AUGUSTO","15/05/2025 00:00:00"
"23","3","B","20","360","360","MATHEUS.AUGUSTO","07/02/2025 00:00:00"
"24","4","Médio","20","360","360","PTF v4.01","05/06/2023 18:10:10"
"25","5","B","20","60","60","MATHEUS.AUGUSTO","20/05/2025 00:00:00"
"26","6","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"27","7","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"28","8","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"29","9","Médio","20","360","360","PTF v4.01","05/06/2023 18:10:10"
"30","10","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"31","11","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"32","12","Médio","20","360","360","PTF v4.01","05/06/2023 18:10:10"
"33","13","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"34","14","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"35","15","Médio","20","360","360","PTF v4.01","05/06/2023 18:10:10"
"36","16","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"37","17","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"38","19","Médio","20","45","45","VANESSA.ALVES","09/05/2024 00:00:00"
"39","20","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"40","21","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"41","22","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"42","23","Médio","20","","","PTF v4.01","05/06/2023 18:10:10"
"43","2","C","30","90","90","NETO.PRADO","12/06/2024 00:00:00"
"44","3","C","30","360","360","MATHEUS.AUGUSTO","07/02/2025 00:00:00"
"45","4","Baixo","30","360","360","PTF v4.01","05/06/2023 18:10:10"
"46","5","C","30","90","90","MATHEUS.AUGUSTO","20/05/2025 00:00:00"
"47","6","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"48","7","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"49","8","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"50","9","Baixo","30","360","360","PTF v4.01","05/06/2023 18:10:10"
"51","10","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"52","11","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"53","12","Baixo","30","360","360","PTF v4.01","05/06/2023 18:10:10"
"54","13","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"55","14","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"56","15","Baixo","30","360","360","PTF v4.01","05/06/2023 18:10:10"
"57","16","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"58","17","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"59","19","Baixo","30","90","90","VANESSA.ALVES","09/05/2024 00:00:00"
"60","20","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"61","21","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"62","22","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"63","23","Baixo","30","","","PTF v4.01","05/06/2023 18:10:10"
"64","2","D","40","120","120","NETO.PRADO","12/06/2024 00:00:00"
"65","3","D","40","360","360","MATHEUS.AUGUSTO","07/02/2025 00:00:00"
"66","4","Muito baixo","40","360","360","PTF v4.01","05/06/2023 18:10:10"
"67","5","D","40","120","120","MATHEUS.AUGUSTO","20/05/2025 00:00:00"
"68","6","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"69","7","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"70","8","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"71","9","Muito baixo","40","360","360","PTF v4.01","05/06/2023 18:10:10"
"72","10","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"73","11","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"74","12","Muito baixo","40","360","360","PTF v4.01","05/06/2023 18:10:10"
"75","13","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"76","14","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"77","15","Muito baixo","40","360","360","PTF v4.01","05/06/2023 18:10:10"
"78","16","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"79","17","Muito baixo","40","","","PTF v4.01","05/06/2023 18:10:10"
"80","19","Muito baixo","40","120","120","VANESSA.ALVES","09/05/2024 00:00:00"
