"SeqDepto","Depto","Descricao","SeqUsrDirDepto","SeqSegm","CtrlPorEmpresa","MultCarteira","CodProcesso","CicloA","CicloB","CicloC","CicloD","CicloN","CicloP","CicloAExt","CicloBExt","CicloCExt","CicloDExt","AcaoContato","AcaoExterna","SeqDeptoPreco","SeqNegocio","CICLOE","CICLOEEXT","INDUSAPOTZ","DTAINCLUSAO","USUINCLUSAO","DTAALTERACAO","USUALTERACAO"
"2","MAQ-NOVOS","Venda de Máquinas e Implemento","859","2","1","1","50","180","180","180","360","0","0","180","180","180","360","768","767","","","360","360","","","","",""
"3","MAQ-PEÇAS","Venda de Peças","35","1","0","0","32","360","360","360","360","0","0","360","360","360","360","381","381","","","360","360","","","","",""
"4","MAQ-AMS","Venda de AMS","516","2","0","0","","360","360","360","360","","","360","360","360","360","","","","","","","","","","",""
"5","MAQ-PNEUS","Venda de Pneus","35","1","0","0","","","","","","","","","","","","","","","","","","","","","",""
"6","MAQ - ADM","Administração","464","3","0","0","","","","","","","","","","","","","","","","","","","","","",""
"7","MAQ-SERV","Venda de Serviços","516","4","0","0","9405","","","","","","","","","","","","","","","","","","","","",""
"8","MAQ-USADOS","Venda de Máquinas e Imp Usados","516","2","0","0","","","","","","","","","","","","","","","","","","","","","",""
"9","EQUIP-VENDAS","Col Equip Vendas","174","2","0","0","16","360","360","360","360","","","360","360","360","360","180","179","","","","","","","","",""
"10","EQUIP - ADM","Col Equip Administração","174","3","0","0","","","","","","","","","","","","","","","","","","","","","",""
"11","EQUIP-PNEUS","Col Equip Pneus","35","2","0","0","","","","","","","","","","","","","","","","","","","","","",""
"12","EQUIP-USADOS","Col Equip Usados","147","2","0","0","19","360","360","360","360","","","360","360","360","360","199","179","","","","","","","","",""
"13","EQUIP-POS VD","Col Equip Pos Vendas","174","3","0","0","","","","","","","","","","","","","","","","","","","","","",""
"14","EQUIP-LOCAC","Col Equip Locação","174","2","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15","EQUIP-SERVIC","Col Equip Serviços","174","2","0","0","","360","360","360","360","","","360","360","360","360","","","","","","","","","","",""
"16","EQUIP-PEÇAS","Col Equip Peças","174","1","0","0","","","","","","","","","","","","","","","","","","","","","",""
"17","EXECUT-VENDA","Executivo de Vendas","28","2","0","0","7","","","","","","","","","","","","","","","","","","","","",""
"19","PROSP-MAQ","Prospecção de Maquinas e Imple","516","2","0","0","31","120","120","120","180","","","120","120","120","180","376","376","","","180","180","","","","",""
"20","PECAS_EXTERN","Venda de Peças Externo","35","1","0","0","9406","","","","","","","","","","","","","","","","","","","","",""
"21","PROSP-PECAS","Prospecção Peças","516","2","0","0","33","","","","","","","","","","","392","","","","","","","","","",""
"22","PROSP-POSVEN","Prospecção Pós Venda","516","2","0","0","33","","","","","","","","","","","478","","","","","","","","","",""
"23","MAQ-HUSQV","Venda produtos Husqvarna","35","1","0","0","","","","","","","","","","","","","","","","","","","","","",""
"24","IRRIGACAO","VALLEY IRRIGACAO","851","2","0","0","40","","","","","","","","","","","592","592","","","","","","","","",""
"25","VENDAS-DIGIT","Vendas Digitais","516","2","0","0","31","","","","","","","","","","","376","376","","","","","","","","",""
"26","DADOS-CADAST","DADOS CADASTRAIS","862","3","0","0","","","","","","","","","","","","","","","","","","","","","",""
"27","DSI","Soluções Integradas","875","5","0","0","48","","","","","","","","","","","734","734","","","","","","","","",""
"28","DSI-PUK","Soluções Integradas","875","5","0","0","50","","","","","","","","","","","768","870","","","","","","","","",""
"29","MARKETING","Marketing","1337","6","0","0","","","","","","","","","","","","","","","","","","","","","",""
"30","BLOQUEADO","BLOQUEADO","862","8","0","0","","","","","","","","","","","","","","","","","","","","","",""
"31","TI","TECNOLOGIA DA INFORMAÇÃO","862","7","0","0","","","","","","","","","","","","","","","","","","","","","",""
