"SeqDepto","Resultado","IndContato","IndExterno","IndExtFormaCtto","UsuAlteracao","DtaAlteracao"
"2","2612","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3223","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3225","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3226","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3231","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3232","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3234","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3235","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3236","1","","1","MATHEUS.AUGUSTO","04/07/2025 19:59:00"
"2","3639","1","","1","MATHEUS.AUGUSTO","11/08/2025 09:47:00"
"2","3640","1","","1","MATHEUS.AUGUSTO","11/08/2025 09:48:00"
"2","3663","1","","1","MATHEUS.AUGUSTO","11/08/2025 09:48:00"
"3","1607","1","1","","MATHEUS.AUGUSTO","05/03/2026 17:53:00"
"3","1609","1","1","","MATHEUS.AUGUSTO","05/03/2026 17:53:00"
"3","1610","1","1","","MATHEUS.AUGUSTO","05/03/2026 17:53:00"
"3","1611","1","1","","MATHEUS.AUGUSTO","05/03/2026 17:53:00"
"3","2685","1","1","0","MATHEUS.AUGUSTO","05/03/2026 17:53:00"
"9","774","1","","1","VANESSA.ALVES","19/03/2018 15:30:00"
"9","775","1","","1","VANESSA.ALVES","19/03/2018 15:30:00"
"9","776","1","","1","VANESSA.ALVES","19/03/2018 15:30:00"
"9","778","1","","1","VANESSA.ALVES","19/03/2018 15:30:00"
"9","779","1","","1","VANESSA.ALVES","19/03/2018 15:33:00"
"9","781","1","","1","VANESSA.ALVES","19/03/2018 15:21:00"
"9","782","1","","1","VANESSA.ALVES","19/03/2018 15:21:00"
"9","783","1","0","1","VANESSA.ALVES","19/03/2018 15:21:00"
"9","784","1","","1","VANESSA.ALVES","19/03/2018 15:21:00"
"9","785","1","","1","VANESSA.ALVES","19/03/2018 15:21:00"
"9","786","1","","1","VANESSA.ALVES","19/03/2018 15:21:00"
"12","774","1","","1","VANESSA.ALVES","20/03/2018 16:54:00"
"12","775","1","","1","VANESSA.ALVES","20/03/2018 16:54:00"
"12","776","1","","1","VANESSA.ALVES","20/03/2018 16:54:00"
"12","778","1","","1","VANESSA.ALVES","20/03/2018 16:54:00"
"12","861","1","","1","VANESSA.ALVES","19/03/2018 16:28:00"
"12","862","1","","1","VANESSA.ALVES","19/03/2018 16:28:00"
"12","864","1","","1","VANESSA.ALVES","19/03/2018 16:28:00"
"12","865","1","","1","VANESSA.ALVES","19/03/2018 16:28:00"
"12","866","1","","1","VANESSA.ALVES","19/03/2018 16:28:00"
"12","899","1","","1","VANESSA.ALVES","19/03/2018 16:28:00"
"19","1586","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","1590","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","1663","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","1801","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","2048","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","2049","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","2050","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","2054","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","2092","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"19","2094","1","1","","VANESSA.ALVES","19/07/2022 16:10:00"
"25","1278","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"25","1586","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"25","1588","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"25","1590","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"25","1595","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"25","1663","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"25","2004","1","1","0","MATHEUS.AUGUSTO","28/01/2025 11:55:00"
"28","2612","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3231","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3234","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3235","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3236","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3708","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3710","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
"28","3711","1","","1","MATHEUS.AUGUSTO","09/01/2026 09:00:00"
