"SEQ","Tipo","Nr1De","Nr1Para","Nr2PAra","Nr2De","Obs","Ativo"
"22","RESULTADO","940221","255","","","",""
"23","RESULTADO","940225","305","","","",""
"24","RESULTADO","288","190","","","",""
"25","RESULTADO","284","26","","","",""
"26","RESULTADO","283","25","","","",""
"27","RESULTADO","282","24","","","",""
"28","RESULTADO","289","11","","","",""
"29","RESULTADO","290","10","","","",""
"30","RESULTADO","287","940121","","","",""
"31","RESULTADO","286","940120","","","",""
"32","RESULTADO","285","940119","","","",""
"33","AÇÃO","63","940006","","","",""
