"SeqAcaoAuto","Pcte","NroEmpresa","Resultado","ResultadoCmpl","Acao","SeqUsuario","AssuntoCmpl","Operacao","UsaObjDyn","Exigida","GerarPara","FormaGeracao","QtdeDias","QtdeHU","Departamento","AtivoReceptivo","FormaPrimCont","Prioridade","SemConfirmacao","TipoAgendamento","Mesmoprocesso","SeqOrder","CHKSUM","QuebraDNA","EXIGESCOLHAATDGRPO","INDGERAPARAPESPRC","EMUSO","PROPAGAFORMTRAB","SOLICDATAAGD","HORAAGENDA"
"94000000","","1","940003","","940062","8","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"94000004","","7","940016","","","247","","","","S",""," ","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"94000013","","","940009","","940015","","","","","S",""," ","0","0,00","","A","","2","N","A","S","1","","0","0","","1","","0",""
"94000016","","","940008","","940015","","","","","S",""," ","0","","","A","","2","N","A","S","1","","0","0","","1","","0",""
"94000017","","7","940052","","940015","193","","","","S",""," ","0","0,00","","A","","2","N","A","N","1","","0","0","","1","","0",""
"94000018","","","940059","","940018","","","","","S",""," ","0","","","A","","2","N","A","S","1","","0","0","","1","","0",""
"94000019","","","940069","","","","","","","S",""," ","0","","","A","","2","N","C","S","1","","0","0","","1","","0",""
"94000058","","","940096","","940011","879","","","0","S",""," ","0","0,00","","A","","2","N","A","S","1","","0","0","","1","0","0",""
"94000059","","","940097","","940010","167","","","","S",""," ","0","0,00","","A","","2","N","A","S","1","","0","0","","1","","0",""
"94000072","","","940028","","940014","","","","","S",""," ","0","","","A","","2","N","A","N","1","","0","0","","1","","0",""
"94000083","","1","940119","","940025","242","","","","S",""," ","0","0,00","","A","","2","N","A","S","1","","0","0","","1","","0",""
"2058","","","819","","315","796","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2093","","","1190","","323","1272","","","0","S","","","0","0,00","","A","","","N","A","S","1","","0","1","","1","0","0",""
"2094","","","1392","","277","767","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2095","","","1388","","324","489","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2145","","","1368","","","796","","","","S","","","0","0,00","","A","","","S","C","S","1","","","","","1","","0",""
"2146","","","1368","","","779","","","","S","","","0","0,00","","A","","","S","C","S","1","","","","","1","","0",""
"2147","","","1368","","","1337","","","0","S","","","0","0,00","","A","","","S","C","S","1","","0","0","","1","0","0",""
"2150","","","127","Insatisfeito AMS","334","875","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2151","","","1424","","335","796","","","","N","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2157","","","1414","","","-5","","","","S","","","0","0,00","","A","","","N","C","S","1","","","","","1","","0",""
"2158","","","1414","","","875","","","","S","","","0","0,00","","A","","","N","C","S","1","","","","","1","","0",""
"2160","","","1417","","164","","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2161","","","1418","","164","","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2162","","","1419","","164","","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"2176","","2","1339","","333","167","","","","S","","","0","0,00","","A","","","N","A","S","1","","","","","1","","0",""
"1","","","940039","","","-5","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"9","","7","940097","","","247","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"14","","2","940026","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"15","","3","940026","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"16","","11","940026","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"17","","3","940025","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"18","","2","940025","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"19","","11","940025","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"20","","11","940023","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"21","","3","940023","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"22","","2","940023","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"32","","11","940024","","940000","20","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"33","","3","940024","","940000","181","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"34","","2","940024","","940000","22","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"36","","3","940016","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"37","","11","940016","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"38","","2","940016","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
