"Acao","SeqCtrl","Base","SeqUsrBase","Minuto","Destinatario","Atitude","IntervaloExec","DtaProxExec","TipoDest","Papel","SeqTxtPadrao","Evento"
"46","1","A","653","1440","653","EMAIL","30","02/09/2026 19:58:54","","","",""
"46","2","A","653","1440","603","EMAIL","30","02/09/2026 19:58:54","","","",""
"63","1","A","1","480","796","EMAIL","30","02/09/2026 19:58:58","","","",""
"312","1","A","1","960","291","EMAIL","1440","02/09/2026 22:01:32","","","",""
"312","2","A","1","960","516","EMAIL","1440","02/09/2026 22:01:32","","","",""
"312","3","A","1","960","603","EMAIL","1440","02/09/2026 22:01:33","","","",""
"382","1","A","402","960","25","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","2","A","36","960","25","EMAIL","1440","02/09/2026 22:01:33","","","",""
"382","3","A","48","960","25","EMAIL","1440","02/09/2026 22:01:34","","","",""
"382","4","A","606","960","25","EMAIL","1440","02/09/2026 22:01:34","","","",""
"382","5","A","691","960","25","EMAIL","1440","02/09/2026 22:01:31","","","",""
"382","6","A","59","960","421","EMAIL","1440","02/09/2026 22:01:31","","","",""
"382","7","A","592","960","421","EMAIL","1440","02/09/2026 22:01:31","","","",""
"382","8","A","367","960","421","EMAIL","1440","02/09/2026 22:01:31","","","",""
"382","9","A","607","960","64","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","10","A","649","960","64","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","11","A","50","960","64","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","12","A","459","960","326","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","13","A","627","960","326","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","14","A","697","960","24","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","15","A","496","960","24","EMAIL","1440","02/09/2026 22:01:32","","","",""
"382","16","A","589","960","24","EMAIL","1440","02/09/2026 22:01:33","","","",""
"382","17","A","1","960","692","EMAIL","1440","02/09/2026 22:01:34","","","",""
"382","19","A","1","960","291","EMAIL","1440","02/09/2026 22:01:33","","","",""
"609","1","A","1","480","-7","EMAIL","30","02/09/2026 19:58:58","","","",""
"629","1","A","1","960","986","EMAIL","30","02/09/2026 19:58:58","","","",""
"632","1","A","1","960","986","EMAIL","30","02/09/2026 19:58:59","","","",""
"638","1","A","1","960","986","EMAIL","30","02/09/2026 19:58:59","","","",""
"645","1","A","1","960","986","EMAIL","30","02/09/2026 19:58:59","","","",""
"649","1","A","1","960","986","EMAIL","30","02/09/2026 19:58:59","","","",""
"662","1","A","1","960","986","EMAIL","30","02/09/2026 19:58:59","","","",""
"671","1","A","1115","480","1332","EMAIL","30","02/09/2026 19:59:01","","","","E-mail"
"676","1","A","1115","480","1332","EMAIL","30","02/09/2026 19:58:54","","","",""
"704","1","A","1115","480","1332","EMAIL","30","02/09/2026 19:59:01","","","","E-mail"
"726","1","A","1","480","727","EMAIL","30","02/09/2026 19:58:54","","","",""
"741","1","A","1","480","727","EMAIL","30","02/09/2026 19:58:54","","","",""
"750","1","A","1","480","727","EMAIL","30","02/09/2026 19:58:55","","","",""
"756","1","A","1","480","727","EMAIL","30","02/09/2026 19:58:55","","","",""
"769","1","A","1","960","859","EMAIL","30","02/09/2026 19:58:59","","","",""
"825","1","A","1","60","1382","EMAIL","30","02/09/2026 19:58:58","","","",""
"831","1","A","1","480","867","EMAIL","30","02/09/2026 19:58:58","","","",""
"894","1","A","1","960","941","EMAIL","30","02/09/2026 19:59:01","","","",""
"895","1","A","1","960","941","EMAIL","30","02/09/2026 19:59:01","","","",""
"940031","4","A","1","480","-7","EMAIL","30","02/09/2026 19:58:59","","","",""
