"SeqAcaoRem","Pcte","Resultado","Acao","NaoTrabalhada","Interativo","UsuAlteracao","DtaAlteracao","INDREMPES"
"1","","89","940013","1","","","","0"
"2","","89","10","1","","","","0"
"3","","90","940013","1","","","","0"
"4","","90","10","1","","","","0"
"5","","232","39","1","","","","0"
"6","","222","49","1","","","","0"
"7","","276","41","1","","","","0"
"8","","232","41","1","","","","0"
"9","","232","49","1","","","","0"
"10","","232","51","1","","","","0"
"11","","232","37","1","","","","0"
"12","","232","36","1","","","","0"
"13","","232","53","1","","","","0"
"14","","232","46","1","","","","0"
"15","","222","51","1","","","","0"
"16","","222","35","1","","","","0"
"17","","222","43","1","","","","0"
"18","","276","35","1","","","","0"
"19","","276","51","1","","","","0"
"20","","276","39","1","","","","0"
"21","","222","41","1","","","","0"
"23","","349","41","1","","","","0"
"24","","349","39","1","","","","0"
"25","","349","51","1","","","","0"
"26","","314","57","1","","","","0"
"27","","314","60","1","","","","0"
"28","","314","57","1","","","","0"
"29","","314","59","1","","","","0"
"30","","314","58","1","","","","0"
"31","","321","58","1","","","","0"
"32","","321","57","1","","","","0"
"33","","321","59","1","","","","0"
"34","","321","57","1","","","","0"
"35","","321","60","1","","","","0"
"36","","325","58","1","","","","0"
"37","","325","57","1","","","","0"
"38","","325","59","1","","","","0"
"39","","325","57","1","","","","0"
"40","","325","60","1","","","","0"
"41","","319","58","1","","","","0"
"42","","319","57","1","","","","0"
"43","","319","59","1","","","","0"
"44","","319","57","1","","","","0"
"45","","319","60","1","","","","0"
"46","","222","42","1","","","","0"
"47","","232","42","1","","","","0"
"49","","222","39","1","","","","0"
"51","","373","58","1","","","","0"
"52","","220","39","1","","","","0"
"53","","220","51","1","","","","0"
"54","","221","39","1","","","","0"
"55","","221","51","1","","","","0"
"56","","471","53","1","","","","0"
"57","","471","37","1","","","","0"
"58","","471","38","1","","","","0"
"59","","471","46","1","","","","0"
"60","","471","39","1","","","","0"
"61","","471","51","1","","","","0"
"62","","471","36","1","","","","0"
"63","","471","49","1","","","","0"
"64","","471","43","1","","","","0"
"65","","471","41","1","","","","0"
"67","","453","36","1","","","","0"
"68","","453","39","1","","","","0"
"69","","453","49","1","","","","0"
"70","","453","51","1","","","","0"
"71","","453","43","1","","","","0"
"72","","366","41","1","","","","0"
"73","","366","51","1","","","","0"
"74","","366","87","1","","","","0"
"75","","366","80","1","","","","0"
"76","","453","80","1","","","","0"
"77","","222","80","1","","","","0"
"79","","276","87","1","","","","0"
"80","","276","80","1","","","","0"
"81","","373","60","1","","","","0"
"82","","373","66","1","","","","0"
"83","","222","87","1","","","","0"
"84","","592","43","1","","","","0"
"85","","592","35","1","","","","0"
"86","","592","87","1","","","","0"
"87","","592","51","1","","","","0"
"88","","592","41","1","","","","0"
"89","","220","48","1","","","","0"
"90","","221","48","1","","","","0"
"91","","220","41","1","","","","0"
"92","","220","100","1","","","","0"
"93","","236","135","1","","","","0"
"94","","482","135","1","","","","0"
"95","","493","135","1","","","","0"
"96","","302","60","1","","","","0"
"97","","220","135","1","","","","0"
"98","","221","135","1","","","","0"
"99","","258","135","1","","","","0"
"100","","257","135","1","","","","0"
"101","","591","115","1","","","","0"
"102","","720","131","1","","","","0"
"103","","720","164","1","","","","0"
"104","","720","176","1","","","","0"
"105","","222","76","1","","","","0"
"106","","222","51","1","","","","0"
"107","","222","137","1","","","","0"
"108","","591","188","1","","","","0"
"109","","591","136","1","","","","0"
"110","","823","131","1","","","","0"
"112","","984","51","1","","","","0"
"113","","984","39","1","","","","0"
"114","","220","115","1","","","","0"
"115","","220","46","1","","","","0"
"116","","221","115","1","","","","0"
"117","","221","46","1","","","","0"
"118","","359","66","1","","","","0"
"119","","359","68","1","","","","0"
"120","","360","68","1","","","","0"
"121","","360","66","1","","","","0"
"122","","984","115","1","","","","0"
"123","","614","51","1","","","","0"
"124","","614","157","1","","","","0"
"125","","614","47","1","","","","0"
"126","","614","137","1","","","","0"
"127","","614","135","1","","","","0"
"128","","984","51","1","","","","0"
