"Atributo","Lista"
"Benefício","Projeto Cultivar"
"CAMPANHA AGRISHOW_2012","ALVO AGRISHOW"
"Cor preferido","Amarelo"
"Cor preferido","Azul"
"Cor preferido","Preta"
"Cor preferido","Rosa"
"Cor preferido","Verde"
"Cor preferido","Vermelho"
"PERFIL CLIENTE SERVIÇOS","FATURAMENTO ACIMA DE 50 MIL"
"PERFIL CLIENTE SERVIÇOS","FATURAMENTO ENTRE 30 E 50 MIL"
"Persona John Deere","Inovador"
"Persona John Deere","Pragmático"
"Persona John Deere","Retardatário"
"Potencial Carteira Peças","1A"
"Potencial Carteira Peças","1B"
"Potencial Carteira Peças","1C"
"Potencial Carteira Peças","2A"
"Potencial Carteira Peças","2B"
"Potencial Carteira Peças","2C"
"Potencial Carteira Peças","3A"
"Potencial Carteira Peças","3B"
"Potencial Carteira Peças","3C"
"Projeto Cultivar","Não"
"Projeto Cultivar","Sim"
"Time Preferido","Atletico Mineiro"
"Time Preferido","Atletico Paranaense"
"Time Preferido","Botafogo"
"Time Preferido","Comercial"
"Time Preferido","Corinthians"
"Time Preferido","Cruzeiro"
"Time Preferido","Flamengo"
"Time Preferido","Fluminense"
"Time Preferido","Palmeiras"
"Time Preferido","Ponte Preta"
"Time Preferido","Santos"
"Time Preferido","Sao Paulo"
"Time Preferido","Vasco"
