"Atributo","UsaFeminino","UsaMasculino","UsaPessoaJuridica","UsaContato","Principal","TipoDado","Obrigatorio","Validade","Ordem","SeqAtributo"
"Benefício","S","S","S","N","N","L","N","","50","9"
"CAMPANHA AGRISHOW 2012","N","N","N","S","N","C","N","","1","2"
"CAMPANHA AGRISHOW_2012","S","S","S","N","N","L","N","","10","3"
"Cor preferido","S","S","S","N","N","L","N","","10","5"
"NJUR","S","S","S","N","N","N","N","","10","6"
"PERFIL CLIENTE SERVIÇOS","S","S","S","N","N","L","N","","10","4"
"Persona John Deere","S","S","S","N","N","L","N","","50","10"
"Potencial Carteira Peças","S","S","S","N","N","L","N","","50","7"
"Projeto Cultivar","S","S","S","N","N","L","N","","50","8"
"Time Preferido","S","S","S","N","N","L","N","","50","1"
