"SeqCampanha","Campanha","Descricao","Detalhe","Grupo","DtaInicio","DtaFim","EmUso","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","ProvedorSmsPL","Resultado","PrioridadeMail2Easy","DetHistorico","PRIORIDADEALLIN","PRIORIDADEEMAIL","PRIORIDADESMS","PRIORIDADECORREIO","SEQTXTPADRAO","INDINTERATIVO","CODCAMPANHA","SEQCONTEUDO","SEQFORMULARIO","SEQEMAILTEMPLATE","PROVEDOREMAILPL","EMAILHORAINI","EMAILHORAFIM","SMSHORAINI","SMSHORAFIM","QTDMSG","IDULTUPLOAD"
"14","AGRISHOW2012","Agrishow 2012","","","30/04/2012 00:00:00","07/05/2012 00:00:00","0","VTCCONS","30/04/2012 00:00:00","VTCCONS","30/04/2012 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"19","PESQUISA","PESQUISA SATISFAÇÃO FÁBRICA","","","24/07/2012 00:00:00","31/12/2049 00:00:00","0","MARCELO.EDER","24/07/2012 00:00:00","MARCELO.EDER","24/07/2012 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"21","AGR_2014","AGRISHOW 2014","CAMPANHA AGRISHOW2014","VENDAS","08/07/2013 00:00:00","31/12/2014 00:00:00","0","VTCCONS","08/07/2013 00:00:00","VTCCONS","08/07/2013 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"22","AT_EMAIL","Atualizar Email","Atualização de Email","Atualização","10/07/2013 00:00:00","31/12/2013 00:00:00","0","VTCCONS","10/07/2013 00:00:00","VTCCONS","10/07/2013 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"23","CAMP_141","Campanha dos 141","Campanha para queima total dos 141 tratores da série 5000 em estoque.","VENDAS","12/11/2014 00:00:00","31/12/2014 00:00:00","0","JULIANA.PLACIDI","12/11/2014 00:00:00","JULIANA.PLACIDI","12/11/2014 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"25","PROSP C/ FRO","Prospects c/ Frota","Campanha para registrar os monitoramentos ao segmento de Prospects com Frota. O objetivo é direcionar as vendas para esses prospects pois são potenciais clientes de máquinas agrícolas.","VENDAS","10/03/2015 00:00:00","31/12/2015 00:00:00","0","JULIANA.PLACIDI","10/03/2015 00:00:00","JULIANA.PLACIDI","10/03/2015 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"29","AGRISHOW2015","AGRISHOW 2015","Oportunidades de venda geradas no período da Agrishow 2015","VENDAS","07/04/2015 00:00:00","31/12/2015 00:00:00","0","JACQUELINE.DUARTE","07/04/2015 00:00:00","JACQUELINE.DUARTE","07/04/2015 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"30","FECHAM. MAIO","FECHAMENTO MAIO","campanha com 20 tratores para faturamento e pagamento até o final do mês de Maio..","VENDAS","26/05/2015 00:00:00","31/05/2015 00:00:00","0","JULIANA.PLACIDI","26/05/2015 00:00:00","JULIANA.PLACIDI","26/05/2015 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"33","CALLCENTER","CALLCENTER","Essa campanha refere-se a carteira de clientes que encontra-se na base do Call Center: São eles: Ativos potencial Z e Prospects potencial: C, D, Z e sem potencial.","VENDAS","19/06/2015 00:00:00","19/08/2015 00:00:00","0","JULIANA.PLACIDI","19/06/2015 00:00:00","JULIANA.PLACIDI","19/06/2015 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"34","JULHO 2015","JULHO 2015","Campanha focada nas principais culturas mais lucrativas, no mês de Julho. Serão criadas agendas para os CEN's.","VENDAS","13/07/2015 00:00:00","31/07/2015 00:00:00","0","MARILIA.RESENDE","13/07/2015 00:00:00","MARILIA.RESENDE","13/07/2015 00:00:00","","","","","","","","","","","","","","","","","","","","",""
