"SeqCbrCriterio","Criterio","NroEmprAgenda","VlrPrior0","VlrPrior1","SeqTxt1CobeMail","Dias1Cob","SeqTxt1CobSMS","SeqTxt2CobeMail","Dias2Cob","SeqTxt2CobSMS","DiasGerarAgenda","IndExecAutomatica","IndAceitaNovoTitulo","Acao","ResultadoBaixa","PapelDestino","SeqUsrDestino","RELACDESTINO","INDAVISOINDIVIDUALSM","resultadosaida","VLRMINIMO","INDAGDAVULSA","INDAVISOINDIVIDSMS","INDGERAAVISODIAUTL","EMAILREMETENTE"
"1","1_BOLETO","1","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"2","2_BOLETO","2","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"3","3_BOLETO","3","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"4","4_BOLETO","3","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"5","5_BOLETO","5","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"6","7_BOLETO","7","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"7","9_BOLETO","9","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
"8","10_BOLETO","10","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"9","11_BOLETO","11","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
"10","12_BOLETO","12","","","","","","","","","","1","0","227","970","","579","","0","971","","","1","1",""
"11","891_BOLETO","891","","","","","","","","","","0","0","227","970","","579","","0","971","","0","1","1",""
"12","1_BOLETO MÁQUINAS","1","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
"13","2_CHEQUE","2","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
"14","3_CHEQUE","3","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
"15","11_CHEQUE","11","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
"16","891_BOLETO MÁQUINAS","891","","","","","","","","","","0","0","227","970","","579","","0","971","","0","1","1",""
"17","4_CHEQUE","4","","","","","","","","","","1","0","227","970","","579","","0","971","","0","1","1",""
