"SeqCbrCritDef","SeqCbrCriterio","Origem","NroEmpresa","Departamento","Especie","TipoCobranca","IndCobrJuridica","LocalCobranca","VlrAberto","DiasAbertoDe","DiasAbertoAte","AtividadePessoa","FisicaJuridica","diasvencidode","diasvencidoate"
"1","1","Protheus","1","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"2","2","Protheus","2","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"3","3","Protheus","3","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"4","4","Protheus","4","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"5","5","Protheus","5","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"6","6","Protheus","7","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"7","7","Protheus","9","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"8","8","Protheus","10","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"9","9","Protheus","11","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"10","10","Protheus","12","** Todos **","BL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"11","11","** Todas **","891","** Todos **","BOLETO BANCARIO","** Todos **","0","** Todos **","1,00","","","","","2","45"
"13","13","Protheus","2","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"14","14","Protheus","3","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"15","15","Protheus","11","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"16","16","** Todas **","891","** Todos **","BOLETO DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","45"
"17","17","Protheus","4","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"18","18","Protheus","7","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"20","20","** Todas **","2","** Todos **","DUPLIC DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","45"
