"SeqClasseRes","Classe","Cor","DtaAlteracao","UsuAlteracao"
"1","Pesquisa Realizada","","",""
"2","Contato Ñ Realizado","","",""
"3","Recusou-se Responder","","",""
"4","Peças","","",""
"5","Seguros","","",""
"6","Serviços","","",""
"7","Vendas","","",""
"8","Ag. Test Drive","","",""
"9","Insucesso","","",""
"10","Sucesso","","",""
"11","4-Faturamento","","",""
"12","3-Pedido","","",""
"13","1-Cobertura","","",""
"14","2-Oportunidade","","",""
"15","Status Peças","","",""
"16","Status Serviços","","",""
"17","Status Máquinas","","",""
"18","2-Oportunidade Manit","","",""
"19","1-Cobertura Manitou","","",""
"20","3-Pedido Manitou","","",""
"21","4-Faturamento Manito","","",""
"22","1-Cobertura Usado","","",""
"23","2-Oportunidade Usado","","",""
"24","3-Pedido Usado","","",""
"25","4-Faturamento Usado","","",""
"26","Status Equipamentos","","",""
"27","1-Cobertura Peças","","",""
"28","2-Oportunidade Peças","","",""
"29","3-Pedido Peças","","",""
"30","4-Faturamento Peças","","",""
"31","1-Cobertura Pneus","","",""
"32","4-Faturamento Pneus","","",""
"33","3-Pedido Pneus","","",""
"34","2-Oportunidade Pneus","","",""
"35","1-Cobertura Peças Ex","","",""
"36","2-Oportunidade Serv","","",""
"37","1-Cobertura Serv","","",""
"38","3-Pedido Serviço","","",""
"39","2-Oportunidade Prosp","","",""
"40","1-Cobertura Prosp","","",""
