"CodProcesso","Pcte","Descricao","DescrRed","EmUso","TipoProcesso","UsaPerspectiva","UsaPercConclusao","UsaValor","UsaMaterial","UsaStatus","UsaStatusDes","UsaResumo","UsaFichCad","DescValor","DescPersp","UsaQtde","DescQtde","UsaProduto","ProdFamilia","CorLinha","AcaoProsp","AcaoAcomp","AcaoVenda","FaseEnvioERP","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","CriaFichaNeg","ResProrrConcl","QTDPRODUTO","QTDPRODUTOUND","INDFASEBASEACAO","INDUSABOARD"
"1","","ATENDIMENTO A CLIENTES","ATEND CLIENTES","1","OUTRO","0","","0","0","0","","1","0","","","0","","0","","","","","","","","","LIVIA.SILVA","08/03/2023 11:35:00","","","","","","0"
"3","","Nota Fiscal","NOTA FISCAL","1","VENDA","0","","0","0","0","","0","0","","","0","","0","","","","","","","","","VTCCONS","15/04/2020 17:22:00","","","","","","0"
"4","","ATIVIDADE OFF LINE CENS","OFF LINE","1","OUTRO","0","","0","0","0","","1","0","","","0","","0","","","","","","","","","VTCCONS","19/02/2015 10:59:00","","","","","","0"
"5","","PÓS VENDAS","PÓS VENDAS","1","SERVIÇOS","0","","0","0","0","","0","0","","","0","","0","","","","","","","","","VTCCONS","05/10/2012 15:15:00","","","","","","0"
"6","","Venda de Implemento","VENDA_IMPLEM","1","VENDA","1","","0","0","1","","1","0","","Perspectiva","0","","1","","","52","52","54","","","","DIEGO.MARQUE","30/12/2021 16:27:00","","","","","","0"
"7","","VENDA EQUIPAMENTO JD","VENDA EQUIPAMEN","1","VENDA","1","","0","0","1","1","0","0","","Perspectiva","0","","1","","","","","","","","","DIEGO.MARQUE","15/12/2023 11:49:00","","","1","1","","0"
"11","","Monitor Cliente Estratégico","MONIT CLI ESTR","1","OUTRO","0","","0","0","0","0","0","0","","","0","","1","","0","","","","","","","DIEGO.MARQUE","28/10/2020 10:48:00","","","","","","0"
"12","","Prospecção de Peças","PROSP PEÇAS","1","PROSPECÇÃO","0","","0","0","0","0","1","0","","","0","","0","","","","","","","","","VANESSA.ALVE","16/01/2017 10:27:00","","","","","","0"
"13","","VENDA DIRETA EQUIPAMENTO","VENDA DIRETA JD","1","VENDA","0","","0","0","0","0","1","0","","","0","","1","","32768","","","","","","","NETO.PRADO","28/11/2024 17:44:00","","","","","","0"
"14","","VENDA AMS","VENDA AMS","1","VENDA","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","DIEGO.MARQUE","04/07/2021 18:43:00","","","","","","0"
"15","","VENDA EQUIPAMENTO","VENDA EQUIP","0","VENDA","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","VANESSA.ALVE","19/05/2017 10:33:00","","","","","","0"
"16","","Venda Equipamento Manitou","VENDA MANITOU","1","VENDA","1","","0","0","1","0","1","0","","Perspectiva","0","","1","","","","","","","","","VTCCONS","05/03/2018 10:02:00","","","1","1","","0"
"17","","Prospecção Manitou","PROSP MANITOU","1","","1","","1","0","1","0","0","0","Valor","Perspectiva","0","","1","","0","","179","","","","","VANESSA.ALVE","21/03/2018 13:22:00","","","","","","0"
"18","","Cobrança","COBRANÇA","1","OUTRO","0","0","0","0","0","0","0","0","","","0","","0","","255","","","","","VTCCONS","11/09/2017 11:58:37","VTCCONS","26/09/2017 15:48:00","","","","","","0"
"19","","VENDA USADOS","VENDA USADOS","1","","1","","0","0","1","1","1","0","","Perspectiva","0","","1","","","","","","","","","VANESSA.ALVE","21/03/2018 13:06:00","","","1","1","","0"
"20","","Venda IBM","VENDA IBM","1","PROSPECÇÃO","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","VANESSA.ALVE","09/10/2017 15:59:00","","","","","","0"
"21","","Processo Locação Equipamentos","LOCAÇÃO EQUIP","1","","1","","0","0","1","0","1","0","","Perspectiva","0","","1","","","","","","","","","VANESSA.ALVE","20/11/2017 12:07:00","","","","","","0"
"22","","Análise de Cédito","CRÉDITO","1","OUTRO","0","","0","0","0","0","0","0","","","0","","0","","255","","","","","","","VANESSA.ALVE","22/11/2017 08:34:00","","","","","","0"
"23","","Venda Serviço AMS","SERVIÇO AMS","1","","1","","1","0","1","0","0","0","Valor","Perspectiva","0","","0","","","","","","","","","MATHEUS.AUGU","30/01/2026 14:47:00","","","","","","0"
"24","","VENDA DE SERVIÇOS","VENDA SERVIÇOS","1","VENDA","0","","0","0","1","1","0","0","","Perspectiva","0","","0","","","","","","","","","LIVIA.SILVA","30/09/2022 11:32:00","","","","","","0"
"25","","GARANTIA JD","GARANTIA JD","1","","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","DIEGO.MARQUE","18/05/2018 10:07:00","","","","","","0"
"26","","PROSPECÇÃO IM","PROSPECÇÃO IM","1","PROSPECÇÃO","0","","0","0","0","0","0","0","","","0","","0","","0","","","","","","","VANESSA.ALVE","06/04/2022 20:41:00","","","","","","0"
"27","","Prospecção Usados","PROSPECÇÃO USAD","1","PROSPECÇÃO","1","","0","0","1","0","1","0","","Perspectiva","0","","1","","","","","","","","","VANESSA.ALVE","22/03/2018 15:06:00","","","1","1","","0"
"28","","Processo de Suporte","PROC SUPORTE","1","OUTRO","0","","0","0","1","1","1","0","","","0","","0","","","","","","","","","DIEGO.MARQUE","12/05/2020 16:24:00","","","","","","0"
"29","","ATENDIMENTO REMOTO CSO","ATEND CSO","1","OUTRO","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","LIVIA.SILVA","28/12/2022 10:31:00","","","","","","0"
"30","","VALIDAÇÃO USADO","VALIDAÇÃO USADO","1","","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","DIEGO.MARQUE","21/08/2019 16:10:00","","","","","","0"
"31","","Prospecção Clientes MAQ IM","PROSP CLIENTE","1","PROSPECÇÃO","1","","1","0","1","0","1","0","Valor","Perspectiva","0","","1","","32768","","","609","","","","MATHEUS.AUGU","30/06/2025 16:50:00","","","","","","0"
"32","","Prospecção Peças/Serviços","PROSP PEC/SERV","1","PROSPECÇÃO","0","","0","0","0","0","0","0","Valor","Perspectiva","0","","0","","","","","","","","","MATHEUS.AUGU","04/12/2025 08:09:00","","","","","","0"
"33","","Prospecção Cliente PosVenda IM","PROSP POSVEN IM","1","PROSPECÇÃO","0","","0","0","0","0","0","0","","","0","","0","","12615680","","","","","","","VANESSA.ALVE","12/05/2022 15:35:00","","","","","","0"
"34","","Venda Peças/Pneus Tracbel Agro","VEND PEC/PN","1","VENDA","0","","0","0","0","0","0","0","","","0","","1","","","","","","","","","MATHEUS.AUGU","12/01/2026 17:10:00","","","","","","0"
"35","","Demonstracao","DEMOSTRACAO","1","","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","MATHEUS.AUGU","09/01/2026 10:11:00","","","","","","0"
"36","","VENDA IMPLEMENTOS","VENDA IMPLEMENT","0","OUTRO","1","","0","0","1","0","1","0","","Perspectiva","0","","1","","","","","","","","","DIEGO.MARQUE","24/05/2021 15:41:00","","","","","","0"
"37","","Venda Produto Colorado - NOVO","VENDA COLORADO","1","VENDA","1","","0","0","1","0","0","0","","Perspectiva","0","","1","","16711680","","","","","","","MATHEUS.AUGU","06/06/2025 14:46:00","","","","","","0"
"38","","Prospecção Cliente Seguros","PROSP_SEGURO","1","PROSPECÇÃO","0","","0","0","0","0","0","0","","","0","","0","","","","","","","","","DIEGO.MARQUE","22/05/2023 10:54:00","","","","","","0"
