"SeqUsuario","Acao","UltimoUsuario"
"8","62","582"
"8","67","414"
"8","940003","414"
"8","940005","37"
"8","940028","655"
"8","940033","414"
"8","940036","107"
"8","940056","51"
"8","940058","51"
"9","62","542"
"9","940028","417"
"9","940033","394"
"10","62","575"
"10","67","45"
"10","940028","354"
"10","940058","30"
"11","62","354"
"11","67","354"
"11","940003","354"
"11","940005","414"
"11","940028","699"
"11","940033","354"
"11","940056","353"
"11","940058","353"
"12","47","417"
"12","62","354"
"12","67","394"
"12","940003","307"
"12","940005","413"
"12","940028","45"
"12","940033","82"
"12","940056","51"
"13","47","80"
"13","62","421"
"13","67","80"
"13","940003","80"
"13","940005","80"
"13","940028","646"
"13","940033","80"
"13","940056","80"
"13","940058","80"
"21","940000","102"
"21","940052","84"
"22","940000","300"
"181","940000","277"
"182","940000","24"
"182","940014","48"
"182","940052","24"
"213","940033","97"
"218","940033","394"
"231","97","57"
"231","210","113"
"231","325","641"
"239","75","551"
"239","78","551"
"239","156","551"
"239","168","551"
"239","190","551"
"239","212","551"
"239","277","663"
"239","519","551"
"240","940006","334"
"240","940026","334"
"240","940027","119"
"240","940029","119"
"240","940030","119"
"240","940032","334"
"241","35","539"
"241","161","28"
"241","940002","88"
"242","940002","127"
"242","940012","127"
"242","940025","127"
"243","273","591"
"243","528","591"
"243","940002","26"
"243","940025","539"
"244","940025","300"
"245","940002","60"
"245","940025","43"
"246","940025","26"
"247","940006","28"
"247","940012","28"
"247","940025","327"
"248","63","471"
"248","285","656"
"248","940006","406"
"248","940026","613"
"248","940027","471"
"248","940029","613"
"248","940030","471"
"248","940032","471"
"255","281","82"
"255","291","603"
"255","292","279"
"256","57","510"
"256","58","510"
"256","59","487"
"256","940010","167"
"256","940021","167"
"265","22","40"
"265","26","40"
"265","33","40"
"265","49","40"
"265","57","40"
"265","940009","40"
"265","940010","67"
"265","940011","63"
"265","940013","67"
"265","940065","40"
"271","940031","742"
"272","940031","24"
"273","940031","421"
"274","940031","64"
"275","940031","64"
"276","940031","307"
"336","6","134"
"336","47","457"
"336","62","457"
"336","940003","427"
"336","940005","427"
"336","940020","86"
"337","6","349"
"337","47","347"
"337","940003","347"
"337","940036","347"
"337","940057","347"
"338","6","350"
"338","940003","350"
"338","940005","395"
"338","940036","350"
"338","940063","350"
"339","940003","346"
"339","940005","346"
"339","940036","346"
"339","940063","346"
"340","940003","348"
"340","940036","58"
"340","940063","345"
"341","940003","344"
"341","940036","332"
"341","940063","344"
"358","12","45"
"358","13","45"
"358","14","45"
"358","15","45"
"358","16","45"
"409","21","38"
"409","23","38"
"409","24","411"
"409","29","411"
"409","30","411"
"409","31","411"
"412","21","43"
"412","23","43"
"412","24","43"
"412","29","43"
"412","30","43"
"412","31","43"
"412","55","43"
"412","60","43"
"412","68","43"
"445","42","450"
"445","44","450"
"446","43","167"
"446","59","167"
"446","121","510"
"446","252","510"
"447","26","440"
"447","38","440"
"447","65","525"
"447","157","525"
"447","166","527"
"448","39","67"
"448","51","67"
"448","53","67"
"449","47","354"
"449","61","368"
"449","67","80"
"449","85","347"
"449","96","417"
"449","109","80"
"449","940028","42"
"451","42","77"
"451","44","77"
"467","80","514"
"467","131","615"
"501","601","723"
"523","123","573"
"577","41","489"
"577","43","489"
"577","49","549"
"577","57","167"
"577","58","549"
"577","59","549"
"577","68","549"
"577","100","489"
"577","115","167"
"577","116","549"
"577","148","489"
"577","157","489"
"577","162","645"
"577","184","549"
"577","188","489"
"577","215","167"
"577","217","549"
"577","220","167"
"577","222","645"
"577","223","489"
"577","247","549"
"577","250","489"
"577","251","549"
"577","253","489"
"577","254","167"
"577","255","489"
"577","257","167"
"577","258","549"
"577","259","549"
"577","260","489"
"577","304","167"
"577","306","167"
"577","308","489"
"577","322","645"
"577","333","549"
"617","126","581"
"617","305","594"
"617","308","581"
"617","368","658"
"679","376","1243"
"679","392","888"
"679","432","722"
"679","478","745"
"679","555","834"
"679","767","1397"
"735","511","634"
"748","542","656"
"869","801","853"
"869","814","852"
"951","769","127"
"965","769","934"
"966","769","934"
"1048","63","686"
"1048","620","884"
"1048","625","884"
"1093","654","895"
"1093","666","819"
"1094","666","831"
"1097","666","1254"
"1098","641","774"
"1098","654","774"
"1098","668","774"
"1100","654","843"
"1101","668","1014"
"1102","654","1090"
"1106","674","1266"
"1107","578","819"
"1107","704","1458"
"1107","711","819"
"1107","774","1251"
"1108","47","1045"
"1108","669","1016"
"1108","701","733"
"1109","701","878"
"1109","704","878"
"1109","774","878"
"1110","701","667"
"1111","704","659"
"1113","578","827"
"1113","704","827"
"1113","774","827"
"1114","47","911"
"1114","578","911"
"1114","704","911"
"1114","774","911"
"1115","701","1041"
"1115","704","1041"
"1116","704","1034"
"1116","774","1361"
"1117","675","1030"
"1117","704","1030"
"1117","774","1030"
"1119","774","1038"
"1120","704","1037"
"1121","594","594"
"1121","595","594"
"1121","596","594"
"1121","600","594"
"1121","601","594"
"1121","602","594"
"1121","611","594"
"1121","612","594"
"1121","706","594"
"1121","708","594"
"1121","710","594"
"1121","772","864"
"1121","774","864"
"1121","782","594"
"1121","800","864"
"1121","804","864"
"1121","807","864"
"1121","811","864"
"1121","813","594"
"1121","816","864"
"1121","846","594"
"1121","851","594"
"1121","863","864"
"1122","594","1348"
"1122","595","1348"
"1122","596","1348"
"1122","600","594"
"1122","611","594"
"1122","612","1348"
"1122","706","594"
"1122","710","594"
"1122","772","1453"
"1122","774","1453"
"1122","800","1453"
"1122","804","1453"
"1122","807","1453"
"1122","811","1453"
"1122","813","1348"
"1122","816","1453"
"1122","846","1451"
"1122","851","1348"
"1122","863","1453"
"1122","909","1453"
"1123","594","909"
"1123","595","909"
"1123","596","909"
"1123","600","909"
"1123","601","909"
"1123","602","909"
"1123","611","909"
"1123","612","909"
"1123","706","909"
"1123","708","909"
"1123","710","909"
"1123","772","909"
"1123","774","909"
"1123","782","909"
"1123","800","909"
"1123","804","909"
"1123","807","909"
"1123","811","909"
"1123","813","909"
"1123","816","909"
"1123","846","909"
"1123","851","909"
"1123","863","909"
"1124","594","1316"
"1124","595","1316"
"1124","596","1316"
"1124","600","1316"
"1124","601","1316"
"1124","602","1316"
"1124","611","1429"
"1124","612","1316"
"1124","710","1429"
"1124","772","909"
"1124","774","909"
"1124","782","1316"
"1124","800","1316"
"1124","804","909"
"1124","805","1316"
"1124","807","909"
"1124","811","909"
"1124","813","1316"
"1124","816","909"
"1124","846","1429"
"1124","848","1316"
"1124","851","1316"
"1124","863","909"
"1125","594","1383"
"1125","595","1383"
"1125","596","594"
"1125","600","1383"
"1125","601","594"
"1125","602","1383"
"1125","611","1383"
"1125","612","1383"
"1125","706","594"
"1125","710","1383"
"1125","772","1453"
"1125","774","1453"
"1125","782","1383"
"1125","800","1453"
"1125","804","1453"
"1125","805","1383"
"1125","807","1453"
"1125","811","1453"
"1125","813","1383"
"1125","816","1453"
"1125","846","1453"
"1125","851","1383"
"1125","863","1453"
"1125","909","1453"
"1126","594","1348"
"1126","595","1348"
"1126","596","1348"
"1126","600","1026"
"1126","601","1063"
"1126","611","1026"
"1126","612","1348"
"1126","706","1250"
"1126","710","1026"
"1126","772","1451"
"1126","774","1451"
"1126","800","1348"
"1126","804","1451"
"1126","805","1348"
"1126","807","1451"
"1126","811","1451"
"1126","813","1348"
"1126","815","1348"
"1126","816","1451"
"1126","846","1451"
"1126","863","1026"
"1127","594","1348"
"1127","595","1348"
"1127","596","1250"
"1127","600","1348"
"1127","611","1348"
"1127","612","1348"
"1127","710","1348"
"1127","772","1451"
"1127","774","1451"
"1127","800","1451"
"1127","804","1451"
"1127","805","1348"
"1127","807","1451"
"1127","811","1451"
"1127","813","1348"
"1127","816","1451"
"1127","846","1026"
"1127","851","1348"
"1127","863","1451"
"1132","643","988"
"1132","644","632"
"1132","665","632"
"1132","707","986"
"1132","711","632"
"1145","653","167"
"1158","772","909"
"1158","774","909"
"1158","807","909"
"1158","811","909"
"1158","846","1429"
"1159","772","1453"
"1159","774","594"
"1159","807","594"
"1159","811","1453"
"1159","846","594"
"1255","594","1246"
"1255","595","1246"
"1255","596","1246"
"1255","600","1246"
"1255","601","1246"
"1255","602","1246"
"1255","611","1246"
"1255","612","1246"
"1255","673","1246"
"1255","710","1246"
"1255","772","1246"
"1255","774","1246"
"1255","782","1246"
"1255","800","1246"
"1255","804","1246"
"1255","807","1246"
"1255","811","1246"
"1255","813","1246"
"1255","815","1246"
"1255","816","1246"
"1255","846","1246"
"1255","851","1246"
"1255","863","1246"
"1255","909","1246"
"1256","594","1026"
"1256","595","1026"
"1256","596","1026"
"1256","600","1026"
"1256","601","1026"
"1256","602","1026"
"1256","611","1026"
"1256","612","1026"
"1256","673","1026"
"1256","708","1026"
"1256","710","1026"
"1256","772","1451"
"1256","774","1451"
"1256","782","1026"
"1256","800","1451"
"1256","804","1451"
"1256","805","1026"
"1256","807","1451"
"1256","811","1451"
"1256","813","1026"
"1256","816","1451"
"1256","846","1026"
"1256","851","1026"
"1256","863","1451"
"1257","594","1239"
"1257","595","1239"
"1257","596","1246"
"1257","600","1239"
"1257","601","1246"
"1257","602","1239"
"1257","611","1239"
"1257","612","1239"
"1257","706","1239"
"1257","710","1239"
"1257","772","1239"
"1257","774","1239"
"1257","800","1239"
"1257","804","1239"
"1257","805","1246"
"1257","807","1239"
"1257","811","1239"
"1257","813","1246"
"1257","816","1239"
"1257","846","1239"
"1257","863","1239"
"1257","909","1239"
"1258","594","1026"
"1258","595","1239"
"1258","596","1026"
"1258","600","1239"
"1258","601","1026"
"1258","602","1239"
"1258","611","1239"
"1258","612","1239"
"1258","710","1239"
"1258","772","1239"
"1258","774","1239"
"1258","782","1239"
"1258","800","1026"
"1258","804","1239"
"1258","805","1026"
"1258","807","1239"
"1258","811","1239"
"1258","813","1026"
"1258","816","1239"
"1258","846","1239"
"1258","851","1026"
"1258","863","1239"
"1258","909","1239"
"1259","594","864"
"1259","595","864"
"1259","596","864"
"1259","600","864"
"1259","602","864"
"1259","611","864"
"1259","612","864"
"1259","673","864"
"1259","706","864"
"1259","710","864"
"1259","772","864"
"1259","774","864"
"1259","782","864"
"1259","800","864"
"1259","804","864"
"1259","805","864"
"1259","807","864"
"1259","811","864"
"1259","813","864"
"1259","816","864"
"1259","846","864"
"1259","851","864"
"1259","863","864"
"1259","909","864"
"1260","594","864"
"1260","595","864"
"1260","596","864"
"1260","600","864"
"1260","602","864"
"1260","611","864"
"1260","612","864"
"1260","710","864"
"1260","772","864"
"1260","774","864"
"1260","800","864"
"1260","804","864"
"1260","807","864"
"1260","811","864"
"1260","816","864"
"1260","846","864"
"1260","863","864"
"1260","909","864"
"1271","748","829"
"1272","875","1468"
"1272","892","1353"
"1272","894","1353"
"1272","905","1468"
"1272","906","1353"
"1273","755","868"
"1302","667","1010"
"1303","667","990"
"1307","667","1219"
"1319","900","1006"
"1379","819","652"
"1380","806","1419"
"1380","820","1419"
"1380","822","167"
"1380","824","1419"
"1382","825","1083"
"1406","579","802"
"1422","768","1246"
"1422","823","1246"
"1422","856","1246"
"1422","859","1246"
"1448","872","656"
"1448","883","1438"
"1448","884","1438"
"1448","891","656"
"1449","706","652"
"1449","879","1402"
"1449","887","1402"
"1450","707","1468"
"1450","808","1468"
"1450","811","811"
"1450","899","1383"
