"SeqEvento","Pcte","Evento","Origem","NroEmpresa","NroEmpresaDestino","ResultAtivo","GeraAndSempre","ResultRec","ResultRecPE","GeraRecSempre","AtuHistProcesso","Descricao","DetalheAuto","ProcedureAdicional","ProcessoUnico","GeraAcao","ExcluiProcesso","ObsTec","UsuAlteracao","DtaAlteracao","DtaUltUso","DescAcaoOutroProc","RESULTRECHSTE","RESULTRECHSTNE","DESCACAOOUTRAEMPR","EMUSO"
"1","","EVENTOPECA","COLORADO","0","0","","0","53","53","0","0","Evento gerado pelas notas fiscais de Peças","","","0","0","","","VTCCONS","29/05/2012 16:13:00","30/12/2016 19:28:25","0","","","","1"
"2","","EVENTOMAQ","COLORADO","0","0","","0","66","66","0","0","Evento gerado pelas notas fiscais de Maquina","","","0","0","","","VTCCONS","05/06/2012 16:24:00","30/11/2016 19:07:59","0","","","","1"
"3","","EVENTOSERV","COLORADO","0","0","","0","54","54","0","0","Evento gerado pelas ORDEM DE SERVICO","","","0","0","","","VTCCONS","30/05/2012 17:37:00","31/12/2016 19:09:32","0","","","","1"
"4","","EVENTOOSAB","COLORADO","0","0","","0","59","59","0","0","Evento gerado pela abertura ORDEM DE SERVICO","","","0","0","","","VTCCONS","01/06/2012 16:50:00","01/06/2012 16:52:13","0","","","","1"
"6","","MUDOUSTATUS","IMPORT","0","0","","1","654","","0","","Evento MUDOUSTATUS, orig. IMPORT","","","0","0","","","VTCCONS","04/01/2017 17:06:00","23/03/2018 06:03:47","","","","","1"
"7","","VEICFATCANCTRT","SISDIA","0","0","","0","697","","0","0","Cancelamento do faturamento","","","1","0","","","VANESSA.ALVES","10/02/2017 13:31:00","","0","","","","1"
"8","","OSCANCELADATRT","SISDIA","0","0","","0","698","","0","0","Ordem de serviços cancelada","","","1","0","","","VANESSA.ALVES","10/02/2017 09:40:00","29/07/2021 15:20:30","0","","","","1"
"9","","PECAFATCANCTRT","SISDIA","0","0","","0","701","","0","0","NF Peça Cancelada","","","1","0","","","VANESSA.ALVES","10/02/2017 15:01:00","","0","","","","1"
"10","","OSABERTATRT","SISDIA","0","0","","0","59","","0","0","Abertura de ordem de serviço trator","","","1","0","","","VTCCONS","24/01/2017 09:19:00","29/07/2021 15:58:04","0","","","","1"
"11","","NFS INCLUÍDA","SISDIA","1","1","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","16/01/2017 10:52:25","16/01/2017 10:52:25","0","","","","1"
"12","","NFS INCLUÍDA","SISDIA","4","4","","1","","","0","0","Evento NFS INCLUÍDA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","16/01/2017 10:52:25","16/01/2017 10:52:25","0","","","","1"
"13","","NFS ALTERADA","SISDIA","1","1","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","16/01/2017 11:30:05","16/01/2017 11:30:05","0","","","","1"
"14","","NFS ALTERADA","SISDIA","4","4","","1","","","0","0","Evento NFS ALTERADA, orig. SISDIA","","","0","0","","Cadastrado automaticamente","* Auto","16/01/2017 11:30:05","16/01/2017 11:30:05","0","","","","1"
"15","","VEICPROPCONFTRT","SISDIA","0","0","669","0","","","0","0","Pedido Confirmado SISDIA trator","","","0","0","","","VTCCONS","24/01/2017 10:58:00","","1","","","","1"
"16","","PECAORC","SISDIA","0","0","","1","","","0","","Evento PECAORC, orig. SISDIA","","","0","0","","","Serv. Processo","23/01/2017 17:36:52","29/07/2021 17:57:05","","","","","1"
"17","","PECAPEDESPPC","SISDIA","0","0","","1","","","0","","Evento PECAPEDESPPC, orig. SISDIA","","","0","0","","","Serv. Processo","23/01/2017 17:36:56","29/07/2021 17:37:20","","","","","1"
"18","","OSENCERRADATRT","SISDIA","0","0","","1","","","0","","Evento OSENCERRADATRT, orig. SISDIA","","","0","0","","","Serv. Processo","23/01/2017 17:37:06","29/07/2021 17:24:35","","","","","1"
"19","","OSFATURADATRT","SISDIA","0","0","","1","54","54","0","","Evento OSFATURADATRT, orig. SISDIA","","","0","0","","","VTCCONS","20/09/2018 14:08:00","29/07/2021 17:24:35","","","","","1"
"20","","PECAPEDESPOS","SISDIA","0","0","","1","","","0","","Evento PECAPEDESPOS, orig. SISDIA","","","0","0","","","Serv. Processo","23/01/2017 17:37:29","29/07/2021 14:49:24","","","","","1"
