"SeqFormulario","Pcte","Descricao","Objetivo","Script","PrimeiraQuestao","EmUso","Layout","UsaObs","QuestaoGuia","Restricao","IndUsoPessoa","INDUSOPROJETO","INDUSOPROPRIEDADE","INDUMPORPESSOA","INDUSAASSINATURA"
"1","","AFERICAO_SERVICOS","Aferição de Serviços OLD","Formulário de aferição de vendas de serviços","1","S","S","1","","N","1","","","","0"
"2","","AFERICAO_PECAS","Aferição de Peças OLD","Formulário de aferição de vendas de peças","1","S","S","1","","N","1","","","","0"
"3","","AFERICAO_VENDA_MQ_IM","Aferição Vendas Máquinas Implem OLD","Formulário de aferição de vendas de Máquinas e Implementos","1","S","S","1","","N","1","","","","0"
"4","","AFERICAO_POS_SOLUCAO","Aferição de Satisfação Após Solução","Formulário de aferição de satisfação após aplicada a solução pelo departamento responsável.","1","S","S","1","","N","1","","","","0"
"5","","RESPONSAVEL_TECNICO","Responsável Técnico pelo Serviço","Quem é o responsável Técnico pelo Atendimento ?","1","S","F","1","","N","1","","","","0"
"6","","AVALIA_USADO_ENTRADA","Usados dados como entrada","Obter informações sobre o Usado que será dado como entrada, como a finalidade de facilitar o trabalho do responsável por fazer a avaliação.","1","S","F","1","","N","1","","","","0"
"7","","AVALIA_COLHEIT_USADA","Avaliação de Colheitadeira Usada","Este formulários será usado para avaliar a Coheitadeira usada que será dada como entrada no negócio","1","S","S","1","","N","1","","","","0"
"8","","AVAL_COLH_CANA_USADA","Avaliação de Colhedora de Cana Usada","Este formulário destina-se a avaliação de Colhedora de Cana usada que será dada como entrada no negócio.","1","S","S","1","","N","1","","","","0"
"9","","AVAL_TRATORES_USADOS","Avaliação de Tratores Usados","Este formulário destina-se a avaliação de Colhedora de Cana usada que será dada como entrada no negócio.","1","I","S","","","","1","","","","0"
"10","","ACOMPANHAM_VENDA_IMP","Acompanhamento Venda de Implemento","Acompanhamento Venda de Implemento","19","S","F","1","","R","1","1","","","0"
"11","","COMPETID_NEGOC_IMPL","Competidores na Negociação do Implemento","Competidores na Negociação do Implemento","1","S","F","1","","N","1","","","","0"
"12","","APRESENT_IMPLEMENTO","Apresentação do Implemento","Apresentação do Implemento","1","S","F","0","","N","1","","","","0"
