"SeqPar","SeqGlbPar","NroEmpresa","Campo1","Campo2","Campo3","Campo4","Campo5","Campo6","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaAlteracao","UsuAlteracao","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","SimNao7","SimNao8","SimNao9","SimNao10"
"10426","9400","1","","","","","","","","","","","","","","","","","","","Inroda","","","","","","","","","","24/09/2018 14:08:00","DIEGO.MARQUES","0","0","0","0","0","0","0","0","1","0"
"10431","9400","1","","","","","","","","","","","","","","","","","","","Alma","","","","","","","","","","02/10/2018 10:08:00","DIEGO.MARQUES","0","0","0","0","0","0","0","0","1","0"
"10433","9401","0","Massey","Potencia Variável","","","","","","","","","","","","","","","","","MF270","","","","","","","","","","08/10/2018 09:03:00","DIEGO.MARQUES","1","","","","","","","","",""
"10434","9401","0","Agrale","a) <= 49 CV","","","","","","","","","","","","","","","","","AGR 4230.4","","","","","","","","","","08/10/2018 12:22:00","DIEGO.MARQUES","1","","","","","","","","",""
"10435","9401","0","Agrale","a) <= 49 CV","","","","","","","","","","","","","","","","","AGR 4223","","","","","","","","","","08/10/2018 13:58:00","DIEGO.MARQUES","1","","","","","","","","",""
"10436","9401","0","Agrale","b) de 50 a 59 CV","","","","","","","","","","","","","","","","","AGR 540","","","","","","","","","","08/10/2018 13:59:00","DIEGO.MARQUES","1","","","","","","","","",""
"10437","9401","0","Agrale","b) de 50 a 59 CV","","","","","","","","","","","","","","","","","AGR 565 Compact","","","","","","","","","","08/10/2018 13:59:00","DIEGO.MARQUES","1","","","","","","","","",""
"10438","9401","0","Agrale","Potencia Variável","","","","","","","","","","","","","","","","","AGR 575 Super","","","","","","","","","","08/10/2018 14:00:00","DIEGO.MARQUES","1","","","","","","","","",""
"10439","9401","0","Agrale","a) <= 49 CV","","","","","","","","","","","","","","","","","AGR 575 Compact","","","","","","","","","","08/10/2018 14:01:00","DIEGO.MARQUES","1","","","","","","","","",""
"10440","9401","0","Agrale","Potencia Variável","","","","","","","","","","","","","","","","","AGR 5105","","","","","","","","","","08/10/2018 14:02:00","DIEGO.MARQUES","1","","","","","","","","",""
"10441","9401","0","Agrale","Potencia Variável","","","","","","","","","","","","","","","","","AGR 6185","","","","","","","","","","08/10/2018 14:20:00","DIEGO.MARQUES","1","","","","","","","","",""
"10442","9401","0","Agrale","Potencia Variável","","","","","","","","","","","","","","","","","AGR 7215","","","","","","","","","","08/10/2018 14:43:00","DIEGO.MARQUES","1","","","","","","","","",""
"10443","9401","0","Case","","","","","","","","","","","","","","","","","","CS FARMALL 60","","","","","","","","","","08/10/2018 14:45:00","DIEGO.MARQUES","1","","","","","","","","",""
"10444","9401","0","Case","","","","","","","","","","","","","","","","","","CS FARMALL 110A","","","","","","","","","","08/10/2018 15:04:00","DIEGO.MARQUES","1","","","","","","","","",""
"10445","9401","0","Case","","","","","","","","","","","","","","","","","","CS FARMALL 130A","","","","","","","","","","08/10/2018 15:04:00","DIEGO.MARQUES","1","","","","","","","","",""
"10446","9401","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08/10/2018 15:04:00","DIEGO.MARQUES","0","","","","","","","","",""
